Date, ISO BE,ISO BE Change %,DAX,DAX Change %
01/02/2005,96.2,-1.028806584,4350.49,2.247787819
01/03/2005,94.5,-1.767151767,4348.77,-0.039535776
01/04/2005,93.7,-0.846560847,4184.84,-3.769571626
01/05/2005,92.7,-1.067235859,4460.63,6.590216113
01/06/2005,93.2,0.539374326,4586.28,2.816866676
01/07/2005,96.8,3.862660944,4886.5,6.546046033
01/08/2005,97.6,0.826446281,4829.69,-1.162590811
01/09/2005,97.7,0.102459016,5044.12,4.439829471
01/10/2005,100.4,2.763561924,4929.07,-2.280873572
01/11/2005,99.3,-1.09561753,5193.4,5.362674906
01/12/2005,100,0.704934542,5408.26,4.137174106
01/01/2006,101.5,1.5,5674.15,4.916368666
01/02/2006,102.3,0.78817734,5796.04,2.148163161
01/03/2006,102.1,-0.195503421,5970.08,3.002739802
01/04/2006,101.8,-0.293829579,6009.89,0.666825235
01/05/2006,100.8,-0.982318271,5692.86,-5.275138147
01/06/2006,101.4,0.595238095,5683.31,-0.167753994
01/07/2006,100.2,-1.183431953,5681.97,-0.023577809
01/08/2006,100.1,-0.099800399,5859.57,3.125676482
01/09/2006,100.1,0,6004.33,2.470488449
01/10/2006,100,-0.0999001,6268.92,4.406653199
01/11/2006,101.6,1.6,6309.19,0.642375401
01/12/2006,102.3,0.688976378,6596.92,4.560490332
01/01/2007,102.9,0.586510264,6789.11,2.913329251
01/02/2007,101.3,-1.554907677,6715.44,-1.085120141
01/03/2007,101.6,0.296150049,6917.03,3.001888186
01/04/2007,101.3,-0.295275591,7408.87,7.11056624
01/05/2007,101.8,0.493583416,7883.04,6.400031314
01/06/2007,100.9,-0.884086444,8007.32,1.576549149
01/07/2007,101.1,0.198216056,7584.14,-5.284914303
01/08/2007,100.6,-0.494559842,7638.17,0.712407735
01/09/2007,99.7,-0.894632207,7861.51,2.923998811
01/10/2007,100,0.300902708,8019.22,2.006103153
01/11/2007,98.7,-1.3,7870.52,-1.854295056
01/12/2007,99.8,1.114488349,8067.32,2.500470109
01/01/2008,97.6,-2.204408818,6851.75,-15.06782922
01/02/2008,97.5,-0.102459016,6748.13,-1.512314372
01/03/2008,97.3,-0.205128205,6534.97,-3.158801031
01/04/2008,95.7,-1.644398767,6948.82,6.332852331
01/05/2008,95.6,-0.104493208,7096.79,2.129426291
01/06/2008,94.3,-1.359832636,6418.32,-9.560237798
01/07/2008,91.1,-3.393425239,6479.56,0.954143763
01/08/2008,89.7,-1.536772777,6422.3,-0.88370198
01/09/2008,90.1,0.445930881,5831.02,-9.206670507
01/10/2008,83.8,-6.992230855,4987.97,-14.45801935
01/11/2008,81.5,-2.744630072,4669.44,-6.385964631
01/12/2008,79.3,-2.699386503,4810.2,3.014494243
01/01/2009,81.3,2.522068096,4338.35,-9.809363436
01/02/2009,82.7,1.72201722,3843.74,-11.40087821
01/03/2009,82,-0.84643289,4084.76,6.270455338
01/04/2009,84.8,3.414634146,4769.45,16.76206191
01/05/2009,86.6,2.122641509,4940.82,3.59307677
01/06/2009,90.1,4.041570439,4808.64,-2.67526443
01/07/2009,92.1,2.219755827,5332.14,10.88665402
01/08/2009,95.5,3.691639522,5464.61,2.484368377
01/09/2009,98.2,2.827225131,5675.16,3.852973954
01/10/2009,98.1,-0.101832994,5414.96,-4.584892761
01/11/2009,99.5,1.427115189,5625.95,3.896427674
01/12/2009,98.7,-0.804020101,5957.43,5.891982687
01/01/2010,98,-0.709219858,5608.79,-5.85218794
01/02/2010,97.4,-0.612244898,5598.46,-0.184175196
01/03/2010,99.6,2.258726899,6153.55,9.915048067
01/04/2010,101.1,1.506024096,6135.7,-0.29007646
01/05/2010,100.4,-0.692383778,5964.33,-2.792998354
01/06/2010,100.3,-0.099601594,5965.52,0.019951948
01/07/2010,102.2,1.894317049,6147.97,3.05840899
01/08/2010,103.7,1.467710372,5925.22,-3.623147153
01/09/2010,103.5,-0.192864031,6229.02,5.127235782
01/10/2010,104.8,1.256038647,6601.37,5.977665829
01/11/2010,106.1,1.240458015,6688.49,1.319726057
01/12/2010,105.6,-0.471253534,6914.19,3.374453726
01/01/2011,103.6,-1.893939394,7077.48,2.361664924
01/02/2011,103.1,-0.482625483,7272.32,2.752957267
01/03/2011,102.4,-0.678952473,7041.31,-3.176565388
01/04/2011,101.7,-0.68359375,7514.46,6.719630296
01/05/2011,101.5,-0.196656834,7293.69,-2.93793566
01/06/2011,101.3,-0.197044335,7376.24,1.131800227
01/07/2011,101.3,0,7158.77,-2.948250057
01/08/2011,97.1,-4.146100691,5784.85,-19.19212379
01/09/2011,95.8,-1.338825953,5502.02,-4.889150108
01/10/2011,95.6,-0.208768267,6141.34,11.61973239
01/11/2011,95.5,-0.10460251,6088.84,-0.854862294
01/12/2011,95.4,-0.104712042,5898.35,-3.128510521
01/01/2012,96.8,1.467505241,6458.91,9.503674756
01/02/2012,97.9,1.136363636,6856.08,6.14917997
01/03/2012,98.7,0.817160368,6946.83,1.323642665
01/04/2012,98.6,-0.101317123,6761.19,-2.672298012
01/05/2012,96.9,-1.724137931,6264.38,-7.347966852
01/06/2012,94.8,-2.167182663,6416.28,2.424820972
01/07/2012,93.7,-1.160337553,6772.26,5.548074585
01/08/2012,92.8,-0.960512273,6970.79,2.931517691
01/09/2012,93.4,0.646551724,7216.15,3.519830607
01/10/2012,93.7,0.321199143,7260.63,0.616395169
01/11/2012,92.9,-0.853788687,7405.5,1.995281401
01/12/2012,95.2,2.475780409,7612.39,2.793734387
01/01/2013,96.2,1.050420168,7776.05,2.149916124
01/02/2013,99.3,3.222453222,7741.7,-0.441740987
01/03/2013,98.8,-0.503524673,7795.31,0.692483563
01/04/2013,97.9,-0.910931174,7913.71,1.518861982
01/05/2013,98.5,0.612870276,8348.84,5.498432467
01/06/2013,97.7,-0.812182741,7959.22,-4.6667561
01/07/2013,98.9,1.228249744,8275.97,3.979661324
01/08/2013,100.4,1.516683519,8103.15,-2.088214433
01/09/2013,100.9,0.498007968,8594.4,6.062457193
01/10/2013,99.8,-1.090188305,9033.92,5.114027739
01/11/2013,101.3,1.503006012,9405.3,4.110950728
01/12/2013,101.7,0.394866732,9552.16,1.561460028
01/01/2014,102.7,0.983284169,9306.48,-2.571983719
01/02/2014,102.8,0.097370983,9692.08,4.14334958
01/03/2014,101.8,-0.972762646,9555.91,-1.404961577
01/04/2014,102,0.196463654,9603.23,0.495190934
01/05/2014,100.6,-1.37254902,9943.27,3.540891971
01/06/2014,100.1,-0.497017893,9833.07,-1.108287314
01/07/2014,99.8,-0.2997003,9407.48,-4.328149805
01/08/2014,98,-1.803607214,9470.17,0.666384622
01/09/2014,97,-1.020408163,9474.3,0.043610622
01/10/2014,95.9,-1.134020619,9326.87,-1.556104409
01/11/2014,95.9,0,9980.85,7.011784232
01/12/2014,98.1,2.294056309,9805.55,-1.756363436
01/01/2015,98.9,0.815494393,10694.32,9.063948478
01/02/2015,99.5,0.606673407,11401.66,6.614165277
01/03/2015,99.6,0.100502513,11966.17,4.951121153
01/04/2015,100,0.401606426,11454.38,-4.27697417
01/05/2015,100.2,0.2,11413.82,-0.354100353
01/06/2015,100.1,-0.099800399,10944.97,-4.107739565
01/07/2015,98.7,-1.398601399,11308.99,3.325911355
01/08/2015,100.3,1.621073961,10259.46,-9.280492776
01/09/2015,99.2,-1.09670987,9660.44,-5.83870886
01/10/2015,101,1.814516129,10850.14,12.31517405
01/11/2015,101.6,0.594059406,11382.23,4.903992022
01/12/2015,100.8,-0.787401575,10743.01,-5.615946963
01/01/2016,99.3,-1.488095238,9798.11,-8.795486554
01/02/2016,97.6,-1.711983887,9495.4,-3.089473378
01/03/2016,98.8,1.229508197,9965.51,4.950923605
01/04/2016,99.9,1.113360324,10038.97,0.737142404
01/05/2016,99.4,-0.500500501,10262.74,2.229013534
01/06/2016,99,-0.402414487,9680.09,-5.677333733
01/07/2016,100.1,1.111111111,10337.5,6.791362477
01/08/2016,99.8,-0.2997003,10592.69,2.468585248
01/09/2016,101,1.20240481,10511.02,-0.7710034
01/10/2016,101.9,0.891089109,10665.01,1.465033841
01/11/2016,101,-0.883218842,10640.3,-0.231692235
01/12/2016,100.2,-0.792079208,11481.06,7.901656908
01/01/2017,100.7,0.499001996,11535.31,0.472517346
01/02/2017,100,-0.695134062,11834.41,2.59290821
01/03/2017,100.4,0.4,12312.87,4.042956092
01/04/2017,102.2,1.792828685,12438.01,1.016334941
01/05/2017,101,-1.174168297,12615.06,1.423459219
01/06/2017,100.7,-0.297029703,12325.12,-2.298364019
01/07/2017,101,0.297914598,12118.25,-1.678442076
01/08/2017,101.6,0.594059406,12055.84,-0.515008355
01/09/2017,101.9,0.295275591,12828.86,6.411996178
01/10/2017,102.4,0.490677134,13229.57,3.123504349
01/11/2017,103.4,0.9765625,13023.98,-1.554018763
01/12/2017,102.5,-0.87040619,12917.64,-0.816493883
01/01/2018,101.7,-0.780487805,13189.48,2.104409165
01/02/2018,100.6,-1.081612586,12435.85,-5.713871965
01/03/2018,101,0.397614314,12096.73,-2.726954732
01/04/2018,100.6,-0.396039604,12612.11,4.260490232
01/05/2018,99.1,-1.491053678,12604.89,-0.057246567
01/06/2018,97.6,-1.513622603,12306,-2.371222597
01/07/2018,97.5,-0.102459016,12805.5,4.058995612
01/08/2018,100.6,3.179487179,12364.06,-3.447268752
01/09/2018,100.4,-0.198807157,12246.73,-0.948960131
01/10/2018,99.6,-0.796812749,11447.51,-6.525986937
01/11/2018,98.6,-1.004016064,11257.24,-1.662108179
01/12/2018,97.3,-1.318458418,10558.96,-6.202941396
