Trade Date,PnL ($),Risk ($)
2006-02-28,"$2,148.16","$1,000"
2006-03-31,"($3,002.74)","$1,000"
2006-04-28,"($666.83)","$1,000"
2006-05-31,"$5,275.14","$1,000"
2006-06-30,"($167.75)","$1,000"
2006-07-31,"$23.58","$1,000"
2006-08-31,"($3,125.68)","$1,000"
2006-09-29,"($2,470.49)","$1,000"
2006-10-31,"($4,406.65)","$1,000"
2006-11-30,"$642.38","$1,000"
2006-12-29,"$4,560.49","$1,000"
2007-01-31,"$2,913.33","$1,000"
2007-02-28,"$1,085.12","$1,000"
2007-03-30,"$3,001.89","$1,000"
2007-04-30,"($7,110.57)","$1,000"
2007-05-31,"$6,400.03","$1,000"
2007-06-29,"($1,576.55)","$1,000"
2007-07-31,"($5,284.91)","$1,000"
2007-08-31,"($712.41)","$1,000"
2007-09-28,"($2,924.00)","$1,000"
2007-10-31,"$2,006.10","$1,000"
2007-11-30,"$1,854.30","$1,000"
2007-12-28,"$2,500.47","$1,000"
2008-01-31,"$15,067.83","$1,000"
2008-02-29,"$1,512.31","$1,000"
2008-03-31,"$3,158.80","$1,000"
2008-04-30,"($6,332.85)","$1,000"
2008-05-30,"($2,129.43)","$1,000"
2008-06-30,"$9,560.24","$1,000"
2008-07-31,"($954.14)","$1,000"
2008-08-29,"$883.70","$1,000"
2008-09-30,"($9,206.67)","$1,000"
2008-10-31,"$14,458.02","$1,000"
2008-11-28,"$6,385.96","$1,000"
2008-12-30,"($3,014.49)","$1,000"
2009-01-30,"($9,809.36)","$1,000"
2009-02-27,"($11,400.88)","$1,000"
2009-03-31,"($6,270.46)","$1,000"
2009-04-30,"$16,762.06","$1,000"
2009-05-29,"$3,593.08","$1,000"
2009-06-30,"($2,675.26)","$1,000"
2009-07-31,"$10,886.65","$1,000"
2009-08-31,"$2,361.15","$1,000"
2009-09-30,"$3,977.98","$1,000"
2009-10-30,"$4,584.89","$1,000"
2009-11-30,"$3,896.43","$1,000"
2009-12-30,"($5,891.98)","$1,000"
2010-01-29,"$5,852.19","$1,000"
2010-02-26,"$184.18","$1,000"
2010-03-31,"$9,915.05","$1,000"
2010-04-30,"($290.08)","$1,000"
2010-05-31,"$2,793.00","$1,000"
