Date,Return %,MAE %
2006-02-28,2.15,-1.34
2006-03-31,-3.00,-3.41
2006-04-28,-0.67,-2.54
2006-05-31,5.28,-2.54
2006-06-30,-0.17,-7.89
2006-07-31,0.02,-0.81
2006-08-31,-3.13,-3.60
2006-09-29,-2.47,-2.94
2006-10-31,-4.41,-5.00
2006-11-30,0.64,-1.08
2006-12-29,4.56,-1.80
2007-01-31,2.91,-1.00
2007-02-28,1.09,-3.70
2007-03-30,3.00,-4.14
2007-04-30,-7.11,-7.51
2007-05-31,6.40,-1.41
2007-06-29,-1.58,-3.15
2007-07-31,-5.28,-7.92
2007-08-31,-0.71,-1.00
2007-09-28,-2.92,-3.19
2007-10-31,2.01,-1.24
2007-11-30,1.85,-0.24
2007-12-28,2.50,-1.18
2008-01-31,15.07,-0.41
2008-02-29,1.51,-3.33
2008-03-31,3.16,0.00
2008-04-30,-6.33,-6.60
2008-05-30,-2.13,-4.07
2008-06-30,9.56,-0.07
2008-07-31,-0.95,-2.47
2008-08-29,0.88,-2.27
2008-09-30,-9.21,-11.90
2008-10-31,14.46,-0.79
2008-11-28,6.39,-6.31
2008-12-30,-3.01,-3.88
2009-01-30,-9.81,-15.44
2009-02-27,-11.40,-13.22
2009-03-31,-6.27,-11.14
2009-04-30,16.76,-2.14
2009-05-29,3.59,-2.44
2009-06-30,-2.68,-5.49
2009-07-31,10.89,-5.92
2009-08-31,2.36,-3.25
2009-09-30,3.98,-3.57
2009-10-30,4.58,-3.75
2009-11-30,3.90,-1.89
2009-12-30,-5.89,-7.12
2010-01-29,5.85,-2.30
2010-02-26,0.18,-2.41
2010-03-31,9.92,0.00
2010-04-30,-0.29,-2.11
2010-05-31,2.79,-2.30
2010-06-30,-0.02,-6.14
2010-07-30,3.06,-2.62
2010-08-31,-3.62,-5.11
2010-09-30,-5.13,-7.00
2010-10-29,5.98,-1.82
2010-11-30,1.32,-0.23
2010-12-30,-3.37,-5.97
2011-01-31,-2.36,-3.85
2011-02-28,-2.75,-5.15
2011-03-31,3.18,-1.16
2011-04-29,-6.72,-6.72
2011-05-31,2.94,-1.14
2011-06-30,-1.13,-1.16
2011-07-29,2.95,-2.00
2011-08-31,19.19,-1.72
2011-09-30,4.89,-0.17
2011-10-31,-11.62,-16.88
2011-11-30,0.85,-0.85
2011-12-30,3.13,-1.33
2012-01-31,9.50,0.00
2012-02-29,6.15,0.00
2012-03-30,1.32,-3.55
2012-04-30,2.67,-1.93
2012-05-31,7.35,-1.70
2012-06-29,-2.42,-2.60
2012-07-31,-5.55,-6.53
2012-08-31,-2.93,-4.92
2012-09-28,3.52,-1.12
2012-10-31,0.62,-1.32
2012-11-30,-2.00,-2.51
2012-12-28,2.79,0.00
2013-01-31,2.15,0.00
2013-02-28,-0.44,-3.07
2013-03-28,-0.69,-4.30
2013-04-30,-1.52,-2.19
2013-05-31,5.50,-0.21
2013-06-28,4.67,-0.56
2013-07-31,3.98,-2.88
2013-08-30,-2.09,-2.20
2013-09-30,6.06,-0.09
2013-10-31,-5.11,-5.54
2013-11-29,4.11,-0.79
2013-12-30,1.56,-4.48
2014-01-31,-2.57,-4.04
2014-02-28,4.14,-2.53
2014-03-31,1.40,0.00
2014-04-30,0.50,-4.07
2014-05-30,-3.54,-3.83
2014-06-30,1.11,-1.08
2014-07-31,4.33,-2.03
2014-08-29,-0.67,-2.06
2014-09-30,-0.04,-4.45
2014-10-31,1.56,-0.49
2014-11-28,-7.01,-7.14
2014-12-30,-1.76,-7.63
2015-01-30,9.06,-4.31
2015-02-27,6.61,-0.94
2015-03-31,4.95,-1.83
2015-04-30,-4.28,-5.30
2015-05-29,-0.35,-2.50
2015-06-30,4.11,-1.95
2015-07-31,-3.33,-7.83
2015-08-31,-9.28,-17.43
2015-09-30,5.84,-2.47
2015-10-30,12.32,-2.73
2015-11-30,4.90,-2.24
2015-12-30,5.62,-0.42
2016-01-29,8.80,0.00
2016-02-29,3.09,-0.30
2016-03-31,4.95,-0.26
2016-04-29,0.74,-4.82
2016-05-31,-2.23,-3.25
2016-06-30,5.68,-0.76
2016-07-29,6.79,-3.89
2016-08-31,-2.47,-4.50
2016-09-30,-0.77,-3.80
2016-10-31,1.47,-1.54
2016-11-30,0.23,-1.29
2016-12-30,-7.90,-7.91
2017-01-31,0.47,-0.58
2017-02-28,-2.59,-4.30
2017-03-31,4.04,0.00
2017-04-28,1.02,-3.02
2017-05-31,-1.42,-3.25
2017-06-30,2.30,-2.67
2017-07-31,-1.68,-1.85
2017-08-31,-0.52,-2.06
2017-09-29,6.41,-0.04
2017-10-30,3.12,0.00
2017-11-30,-1.55,-2.89
2017-12-29,0.82,-2.42
2018-01-31,-2.10,-5.26
2018-02-28,5.71,-0.85
2018-03-29,-2.73,-5.70
2018-04-30,-4.26,-4.55
2018-05-31,0.06,-4.70
2018-06-29,2.37,-4.48
2018-07-31,-4.06,-4.72
2018-08-31,-3.45,-5.35
2018-09-28,0.95,-0.76
2018-10-31,6.53,-1.03
2018-11-30,1.66,-2.12
2018-12-28,6.20,-2.75
2019-01-31,-5.82,-7.22
2019-02-28,-3.07,-3.43
2019-03-29,0.09,-1.87
2019-04-30,7.10,0.00
2019-05-31,5.00,-0.74
2019-06-28,-5.73,-6.07
2019-07-31,1.69,-2.07
2019-08-30,2.05,-0.53
2019-09-30,-4.09,-4.65
2019-10-31,3.53,-4.42
2019-11-29,2.87,0.00
2019-12-30,0.10,-2.64
2020-01-31,2.02,-2.95
2020-02-28,-8.41,-9.69
2020-03-31,16.44,-3.22
2020-04-30,-9.32,-13.08
2020-05-29,6.68,-6.45
2020-06-30,6.25,0.00
2020-07-31,0.02,-1.75
2020-08-31,5.13,0.00
2020-09-30,-1.43,-4.66
2020-10-30,9.44,-3.06
2020-11-30,-15.01,-16.34
2020-12-30,3.22,-2.12
2021-01-29,2.08,-3.01
2021-02-26,2.63,0.00
2021-03-31,8.86,0.00
2021-04-30,-0.85,-3.29
2021-05-31,1.88,-2.11
2021-06-30,0.71,-0.72
2021-07-30,-0.09,-1.80
2021-08-31,-1.87,-3.13
2021-09-30,-3.63,-5.15
2021-10-29,-2.81,-3.41
2021-11-30,3.75,-3.83
2021-12-30,-5.20,-5.79
2022-01-31,-2.60,-5.87
2022-02-28,-6.53,-10.75
2022-03-31,0.32,-3.21
2022-04-29,-2.20,-5.89
2022-05-31,-2.06,-3.49
2022-06-30,11.15,-2.23
2022-07-29,-5.48,-5.72
2022-08-31,-4.81,-5.38
2022-09-30,5.61,-5.69
2022-10-31,-9.41,-9.85
2022-11-30,8.63,-1.74
2022-12-30,-3.29,-4.21
2023-01-31,8.65,0.00
2023-02-28,1.57,-0.14
2023-03-31,1.72,-5.90
2023-04-28,1.88,-0.93
2023-05-31,1.62,-2.57
2023-06-30,-3.09,-4.87
2023-07-31,1.85,-4.28
2023-08-31,3.04,0.00
2023-09-29,-3.51,-5.07
2023-10-31,-3.75,-4.92
2023-11-30,9.49,-0.16
2023-12-29,-3.31,-4.86
2024-01-31,-0.91,-1.48
2024-02-29,4.58,-0.49
2024-03-28,4.61,-0.33
2024-04-30,-3.03,-4.68
2024-05-31,3.16,-0.31
2024-06-28,1.42,-1.55
2024-07-31,-1.50,-2.98
2024-08-30,-2.15,-2.50
2024-09-30,2.21,-3.69
2024-10-31,-1.28,-2.14
2024-11-29,-2.88,-2.95
2024-12-30,-1.44,-4.57
2025-01-31,-9.16,-9.50
2025-02-28,3.77,-2.21
2025-03-31,-1.72,-2.54
2025-04-30,-1.50,-2.00
2025-05-30,6.67,0.00
2025-06-30,-0.37,-3.94
2025-07-31,0.65,-1.21
2025-08-29,-0.68,-2.84
2025-09-30,0.09,-0.61
2025-10-31,0.32,-0.82
2025-11-28,0.51,-2.02
2025-12-30,-2.74,-2.90
2026-01-30,0.20,-0.91
2026-02-27,3.04,-1.08
2026-03-31,10.30,0.00
2026-04-30,-7.11,-9.31
2026-05-29,3.34,-2.04
2026-06-30,-0.43,-4.23
