date,R,MAE (R)
2/28/2006,2.15,-1.34
3/31/2006,-3.00,-3.41
4/28/2006,-0.67,-2.54
5/31/2006,5.28,-2.54
6/30/2006,-0.17,-7.89
7/31/2006,0.02,-0.81
8/31/2006,-3.13,-3.60
9/29/2006,-2.47,-2.94
10/31/2006,-4.41,-5.00
11/30/2006,0.64,-1.08
12/29/2006,4.56,-1.80
1/31/2007,2.91,-1.00
2/28/2007,1.09,-3.70
3/30/2007,3.00,-4.14
4/30/2007,-7.11,-7.51
5/31/2007,6.40,-1.41
6/29/2007,-1.58,-3.15
7/31/2007,-5.28,-7.92
8/31/2007,-0.71,-1.00
9/28/2007,-2.92,-3.19
10/31/2007,2.01,-1.24
11/30/2007,1.85,-0.24
12/28/2007,2.50,-1.18
1/31/2008,15.07,-0.41
2/29/2008,1.51,-3.33
3/31/2008,3.16,0.00
4/30/2008,-6.33,-6.60
5/30/2008,-2.13,-4.07
6/30/2008,9.56,-0.07
7/31/2008,-0.95,-2.47
8/29/2008,0.88,-2.27
9/30/2008,-9.21,-11.90
10/31/2008,14.46,-0.79
11/28/2008,6.39,-6.31
12/30/2008,-3.01,-3.88
1/30/2009,-9.81,-15.44
2/27/2009,-11.40,-13.22
3/31/2009,-6.27,-11.14
4/30/2009,16.76,-2.14
5/29/2009,3.59,-2.44
6/30/2009,-2.68,-5.49
7/31/2009,10.89,-5.92
8/31/2009,2.36,-3.25
9/30/2009,3.98,-3.57
10/30/2009,4.58,-3.75
11/30/2009,3.90,-1.89
12/30/2009,-5.89,-7.12
1/29/2010,5.85,-2.30
2/26/2010,0.18,-2.41
3/31/2010,9.92,0.00
4/30/2010,-0.29,-2.11
5/31/2010,2.79,-2.30
6/30/2010,-0.02,-6.14
7/30/2010,3.06,-2.62
8/31/2010,-3.62,-5.11
9/30/2010,-5.13,-7.00
10/29/2010,5.98,-1.82
11/30/2010,1.32,-0.23
12/30/2010,-3.37,-5.97
1/31/2011,-2.36,-3.85
2/28/2011,-2.75,-5.15
3/31/2011,3.18,-1.16
4/29/2011,-6.72,-6.72
5/31/2011,2.94,-1.14
6/30/2011,-1.13,-1.16
7/29/2011,2.95,-2.00
8/31/2011,19.19,-1.72
9/30/2011,4.89,-0.17
10/31/2011,-11.62,-16.88
11/30/2011,0.85,-0.85
12/30/2011,3.13,-1.33
1/31/2012,9.50,0.00
2/29/2012,6.15,0.00
3/30/2012,1.32,-3.55
4/30/2012,2.67,-1.93
5/31/2012,7.35,-1.70
6/29/2012,-2.42,-2.60
7/31/2012,-5.55,-6.53
8/31/2012,-2.93,-4.92
9/28/2012,3.52,-1.12
10/31/2012,0.62,-1.32
11/30/2012,-2.00,-2.51
12/28/2012,2.79,0.00
1/31/2013,2.15,0.00
2/28/2013,-0.44,-3.07
3/28/2013,-0.69,-4.30
4/30/2013,-1.52,-2.19
5/31/2013,5.50,-0.21
6/28/2013,4.67,-0.56
7/31/2013,3.98,-2.88
8/30/2013,-2.09,-2.20
9/30/2013,6.06,-0.09
10/31/2013,-5.11,-5.54
11/29/2013,4.11,-0.79
12/30/2013,1.56,-4.48
1/31/2014,-2.57,-4.04
2/28/2014,4.14,-2.53
3/31/2014,1.40,0.00
4/30/2014,0.50,-4.07
5/30/2014,-3.54,-3.83
6/30/2014,1.11,-1.08
7/31/2014,4.33,-2.03
8/29/2014,-0.67,-2.06
9/30/2014,-0.04,-4.45
10/31/2014,1.56,-0.49
11/28/2014,-7.01,-7.14
12/30/2014,-1.76,-7.63
1/30/2015,9.06,-4.31
2/27/2015,6.61,-0.94
3/31/2015,4.95,-1.83
4/30/2015,-4.28,-5.30
5/29/2015,-0.35,-2.50
6/30/2015,4.11,-1.95
7/31/2015,-3.33,-7.83
8/31/2015,-9.28,-17.43
