date,time,zone_id,tf,direction,score,entry,sl,tp1,tp2,sl_pips,tp1_pips,tp2_pips,rr,close_reason,close_price,pnl_pips,result,vu_components,vu_confidence,composition
2026-05-25,13:48:39,M30_short_4535_4571_886,M30,SHORT,3.7,4561.45,4578.12,4544.78,4528.11,16.7,16.7,33.3,1.99,SL_HIT,4578.35,-16.9,LOSS,2,MEDIUM,M30 short GP; H1 descending TL (2t @ 4562.5); Daily open; Session H/L
2026-05-29,07:01:04,M30_long_4501_4541_50pct,M30,LONG,4.0,4522.26,4501.85,4542.67,4563.08,20.4,20.4,40.8,2.0,TP2_HIT,4563.91,41.6,WIN,2,MEDIUM,M30 long GP; Daily open; Session H/L; HTF BULL
2026-06-01,10:40:04,M30_long_4476_4517_50pct,M30,LONG,6.0,4503.36,4477.23,4529.49,4555.62,26.1,26.1,52.3,2.0,SL_HIT,4476.35,-27.0,LOSS,2,MEDIUM,M30 long GP; M30 retest cluster; POC 4497.0; Daily open; HTF BULL
2026-06-05,09:50:07,M30_long_4426_4541,M30,LONG,51.8,4465.44,4425.44,4553.44,4585.44,40.0,88.0,120.0,3.0,SL_HIT,4423.38,-42.1,LOSS,2,MEDIUM,M30 long GP; M30 gp cluster; M30 gp cluster; M30 886 cluster; M30 382 cluster; M30 382 cluster; M30 382 cluster; M30 382 cluster; M30 50pct cluster; M30 gp cluster; M30 786 cluster; M30 886 cluster; M30 .886 @ 4471.2; M30 .886 @ 4471.2; M30 .886 @ 4471.2; M30 .886 @ 4471.2; M30 .886 @ 4471.2; M30 .382 @ 4468.6; M30 .382 @ 4468.6; M30 .382 @ 4468.6; M30 .382 @ 4468.6; M30 .382 @ 4468.6; M30 .382 @ 4466.7; M30 .382 @ 4466.7; M30 .382 @ 4466.7; M30 .382 @ 4466.7; M30 .382 @ 4466.7; M30 .382 @ 4467.6; M30 .382 @ 4467.6; M30 .382 @ 4467.6; M30 .382 @ 4467.6; M30 .382 @ 4467.6; M30 .382 @ 4472.4; M30 .382 @ 4472.4; M30 .382 @ 4472.4; M30 .382 @ 4472.4; M30 .382 @ 4472.4; M30 .886 @ 4465.7; M30 .886 @ 4465.7; M30 .886 @ 4465.7; M30 .886 @ 4465.7; M30 .886 @ 4465.7; VAH; H1 ascending TL (4t @ 4463.7); HTF BULL
2026-06-08,15:50:03,M30_long_4269_4468,M30,LONG,12.0,4335.8,4295.8,4423.8,4455.8,40.0,88.0,120.0,3.0,EXPIRED,4317.38,-18.4,EXPIRED,2,MEDIUM,M30 long GP; M30 gp cluster; M30 786 cluster; M30 786 cluster; M30 .786 @ 4343.6; M30 .786 @ 4343.6; M30 .786 @ 4343.6; M30 .786 @ 4343.6; M30 .786 @ 4343.6; HTF BULL
2026-06-09,18:40:00,M30_long_4237_4483_886,M30,LONG,13.0,4269.22,4229.22,4357.22,4389.22,40.0,88.0,120.0,3.0,SL_HIT,4228.36,-40.9,LOSS,2,MEDIUM,M30 long GP; M30 886 cluster; M30 .886 @ 4268.3; M30 .886 @ 4268.3; M30 .886 @ 4268.3; M30 .886 @ 4268.3; M30 .886 @ 4268.3; Daily open; Session H/L; HTF BULL
2026-06-10,06:30:12,M30_long_4172_4476_886,M30,LONG,18.0,4212.81,4172.81,4300.81,4332.81,40.0,88.0,120.0,3.0,SL_HIT,4171.58,-41.2,LOSS,2,MEDIUM,M30 long GP; M30 886 cluster; M30 786 cluster; M30 .886 @ 4206.3; M30 .886 @ 4206.3; M30 .886 @ 4206.3; M30 .886 @ 4206.3; M30 .886 @ 4206.3; M30 .786 @ 4211.2; M30 .786 @ 4211.2; M30 .786 @ 4211.2; M30 .786 @ 4211.2; M30 .786 @ 4211.2; Daily open
2026-06-11,19:09:40,M30_long_4131_4347_786,M30,LONG,7.5,4174.18,4134.18,4262.18,4294.18,40.0,88.0,120.0,3.0,EXPIRED,4213.59,39.4,EXPIRED,2,MEDIUM,M30 long GP; M30 786 cluster; M30 .786 @ 4176.9; M30 .786 @ 4176.9; M30 .786 @ 4176.9; M30 .786 @ 4176.9; M30 .786 @ 4176.9
2026-06-12,05:15:00,M30_long_4172_4342_886,M30,LONG,16.5,4188.69,4148.69,4276.69,4308.69,40.0,88.0,120.0,3.0,EXPIRED,4210.78,22.1,EXPIRED,2,MEDIUM,M30 long GP; M30 50pct cluster; M30 886 cluster; M30 .5 @ 4187.6; M30 .5 @ 4187.6; M30 .5 @ 4187.6; M30 .5 @ 4187.6; M30 .5 @ 4187.6; M30 .886 @ 4192.9; M30 .886 @ 4192.9; M30 .886 @ 4192.9; M30 .886 @ 4192.9; M30 .886 @ 4192.9; POC 4191.5; Daily open
2026-06-17,19:07:12,M30_short_4177_4335_50pct,M30,SHORT,20.0,4267.53,4307.53,4179.53,4147.53,40.0,88.0,120.0,3.0,EXPIRED,4279.91,-12.4,EXPIRED,2,MEDIUM,M30 short GP; M30 382 cluster; M30 50pct cluster; M30 gp cluster; M30 382 cluster; M30 382 cluster; M30 50pct cluster; M30 .382 @ 4256.7; M30 .382 @ 4256.7; M30 .382 @ 4256.7; M30 .382 @ 4256.7; M30 .382 @ 4256.7; M30 .382 @ 4252.9; M30 .382 @ 4252.9; M30 .382 @ 4252.9; M30 .382 @ 4252.9; M30 .382 @ 4252.9; M30 .5 @ 4255.4; M30 .5 @ 4255.4; M30 .5 @ 4255.4; M30 .5 @ 4255.4; M30 .5 @ 4255.4; M30 .382 @ 4250.6; M30 .5 @ 4256.3; M30 .5 @ 4261.3; 7 impulse legs (7M30)
2026-06-18,04:40:01,H4_long_4269_4750_886,H4,LONG,35.5,4312.74,4272.74,4400.74,4432.74,40.0,88.0,120.0,3.0,SL_HIT,4272.42,-40.3,LOSS,2,MEDIUM,H4 long GP; H4 886 cluster; H4 886 cluster; M30 382 cluster; M30 gp cluster; M30 382 cluster; M30 50pct cluster; M30 retest cluster; M30 retest cluster; H4 .886 @ 4320.3; H4 .886 @ 4320.3; H4 .886 @ 4320.3; H4 .886 @ 4320.3; H4 .886 @ 4320.3; H4 .886 @ 4325.1; H4 .886 @ 4325.1; H4 .886 @ 4325.1; H4 .886 @ 4325.1; H4 .886 @ 4325.1; M30 .382 @ 4327.0; M30 .382 @ 4327.0; M30 .382 @ 4327.0; M30 .382 @ 4327.0; M30 .382 @ 4327.0; M30 .5 @ 4323.1; M30 .5 @ 4323.1; M30 .5 @ 4323.1; M30 .5 @ 4323.1; M30 .5 @ 4323.1; Daily open; H4 .886 @ 4323.3; M30 .382 @ 4317.9; POC 4319.5; 3 impulse legs (3H4)
