instrument,date,regime,hl_75_pct,oc_med_pct,side,filled,outcome,pnl_pct,open,high,low,close
EURUSD,2019-01-01 00:00:00+00:00,RANGE,0.6662,0.2325,,False,no_fill,0.0,1.14649,1.14678,1.14579,1.14614
EURUSD,2019-01-02 00:00:00+00:00,BULL,0.646,0.2255,,False,no_fill,0.0,1.14614,1.1497,1.13091,1.13125
EURUSD,2019-01-03 00:00:00+00:00,RANGE,0.8583,0.2996,SELL,True,win,0.85825,1.13122,1.14112,1.13098,1.13902
EURUSD,2019-01-04 00:00:00+00:00,RANGE,0.887,0.3096,,False,no_fill,0.0,1.13906,1.1419,1.13458,1.13951
EURUSD,2019-01-06 00:00:00+00:00,RANGE,0.8602,0.3003,,False,no_fill,0.0,1.13974,1.1413,1.13972,1.14102
EURUSD,2019-01-07 00:00:00+00:00,RANGE,0.8361,0.2919,,False,no_fill,0.0,1.14104,1.14827,1.14047,1.1479
EURUSD,2019-01-08 00:00:00+00:00,RANGE,0.8543,0.2982,,False,no_fill,0.0,1.14786,1.14848,1.14219,1.14575
EURUSD,2019-01-09 00:00:00+00:00,RANGE,0.8326,0.2906,SELL,True,win,0.83255,1.14578,1.15584,1.1439,1.15541
EURUSD,2019-01-10 00:00:00+00:00,BULL,0.8908,0.3109,,False,no_fill,0.0,1.15542,1.15702,1.14846,1.15082
EURUSD,2019-01-11 00:00:00+00:00,BULL,0.8819,0.3078,,False,no_fill,0.0,1.15082,1.15406,1.14582,1.14687
EURUSD,2019-01-13 00:00:00+00:00,BULL,0.8688,0.3033,,False,no_fill,0.0,1.14609,1.14685,1.14592,1.14599
EURUSD,2019-01-14 00:00:00+00:00,BULL,0.8431,0.2943,,False,no_fill,0.0,1.146,1.1482,1.14508,1.14726
EURUSD,2019-01-15 00:00:00+00:00,BULL,0.8189,0.2859,,False,no_fill,0.0,1.14723,1.14898,1.13822,1.14142
EURUSD,2019-01-16 00:00:00+00:00,RANGE,0.8263,0.2884,,False,no_fill,0.0,1.14138,1.14248,1.13779,1.13996
EURUSD,2019-01-17 00:00:00+00:00,RANGE,0.8032,0.2804,,False,no_fill,0.0,1.13992,1.1406,1.13702,1.13922
EURUSD,2019-01-18 00:00:00+00:00,RANGE,0.7793,0.272,,False,no_fill,0.0,1.13922,1.14104,1.13532,1.1362
EURUSD,2019-01-20 00:00:00+00:00,RANGE,0.7649,0.267,,False,no_fill,0.0,1.13616,1.13686,1.13606,1.13651
EURUSD,2019-01-21 00:00:00+00:00,RANGE,0.7417,0.2589,,False,no_fill,0.0,1.13651,1.13914,1.13569,1.13689
EURUSD,2019-01-22 00:00:00+00:00,BEAR,0.7192,0.2511,,False,no_fill,0.0,1.13686,1.13738,1.1336,1.13634
EURUSD,2019-01-23 00:00:00+00:00,BEAR,0.6977,0.2435,,False,no_fill,0.0,1.13638,1.13946,1.13508,1.13862
EURUSD,2019-01-24 00:00:00+00:00,BEAR,0.6824,0.2382,BUY,True,win,0.44417,1.13858,1.13915,1.12894,1.1313
EURUSD,2019-01-25 00:00:00+00:00,BEAR,0.7221,0.2521,,False,no_fill,0.0,1.1313,1.14176,1.1305,1.14057
EURUSD,2019-01-27 00:00:00+00:00,RANGE,0.7901,0.2758,,False,no_fill,0.0,1.14016,1.14136,1.14014,1.14128
EURUSD,2019-01-28 00:00:00+00:00,RANGE,0.7665,0.2676,,False,no_fill,0.0,1.14128,1.14439,1.13904,1.14296
