window_start,window_end,sl_pips,tp_r,n,win_rate,sl_rate,timeout_rate,avg_r,expectancy_pips,asset,asset_class
2016-01-04,2016-07-04,9.4,1.0,1614,0.5,0.5,0.0,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,9.4,1.5,1614,0.392,0.608,0.0,-0.021,-0.2,eurusd,fx
2016-01-04,2016-07-04,9.4,2.0,1614,0.329,0.671,0.0,-0.013,-0.12,eurusd,fx
2016-01-04,2016-07-04,9.4,3.0,1614,0.246,0.754,0.0,-0.016,-0.15,eurusd,fx
2016-01-04,2016-07-04,9.4,4.0,1614,0.19,0.81,0.0,-0.049,-0.46,eurusd,fx
2016-01-04,2016-07-04,15.6,1.0,1614,0.5,0.5,0.0,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,15.6,1.5,1614,0.403,0.597,0.0,0.008,0.13,eurusd,fx
2016-01-04,2016-07-04,15.6,2.0,1614,0.342,0.658,0.0,0.026,0.41,eurusd,fx
2016-01-04,2016-07-04,15.6,3.0,1614,0.258,0.742,0.0,0.031,0.48,eurusd,fx
2016-01-04,2016-07-04,15.6,4.0,1614,0.208,0.792,0.0,0.041,0.64,eurusd,fx
2016-01-04,2016-07-04,25.0,1.0,1614,0.5,0.5,0.0,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,25.0,1.5,1614,0.391,0.609,0.0,-0.023,-0.57,eurusd,fx
2016-01-04,2016-07-04,25.0,2.0,1614,0.332,0.668,0.0,-0.004,-0.09,eurusd,fx
2016-01-04,2016-07-04,25.0,3.0,1614,0.254,0.746,0.0,0.016,0.4,eurusd,fx
2016-01-04,2016-07-04,25.0,4.0,1614,0.2,0.798,0.002,0.003,0.08,eurusd,fx
2016-01-04,2016-07-04,37.5,1.0,1614,0.5,0.5,0.0,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,37.5,1.5,1614,0.405,0.595,0.0,0.011,0.43,eurusd,fx
2016-01-04,2016-07-04,37.5,2.0,1614,0.34,0.66,0.0,0.019,0.7,eurusd,fx
2016-01-04,2016-07-04,37.5,3.0,1614,0.241,0.74,0.019,0.005,0.2,eurusd,fx
2016-01-04,2016-07-04,37.5,4.0,1614,0.165,0.772,0.063,-0.009,-0.34,eurusd,fx
2016-01-04,2016-07-04,53.2,1.0,1614,0.5,0.5,0.0,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,53.2,1.5,1614,0.401,0.587,0.012,0.017,0.93,eurusd,fx
2016-01-04,2016-07-04,53.2,2.0,1614,0.324,0.647,0.029,0.014,0.72,eurusd,fx
2016-01-04,2016-07-04,53.2,3.0,1614,0.188,0.695,0.118,-0.005,-0.27,eurusd,fx
2016-01-04,2016-07-04,53.2,4.0,1614,0.098,0.714,0.188,-0.032,-1.7,eurusd,fx
2016-01-04,2016-07-04,75.1,1.0,1614,0.484,0.484,0.032,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,75.1,1.5,1614,0.352,0.558,0.09,-0.012,-0.93,eurusd,fx
2016-01-04,2016-07-04,75.1,2.0,1614,0.235,0.586,0.18,-0.018,-1.33,eurusd,fx
2016-01-04,2016-07-04,75.1,3.0,1614,0.096,0.61,0.294,-0.042,-3.19,eurusd,fx
2016-01-04,2016-07-04,75.1,4.0,1614,0.021,0.611,0.368,-0.073,-5.47,eurusd,fx
2016-01-04,2016-07-04,100.1,1.0,1614,0.44,0.44,0.12,0.0,0.0,eurusd,fx
2016-01-04,2016-07-04,100.1,1.5,1614,0.258,0.478,0.264,-0.01,-1.0,eurusd,fx
2016-01-04,2016-07-04,100.1,2.0,1614,0.128,0.496,0.376,-0.041,-4.1,eurusd,fx
2016-01-04,2016-07-04,100.1,3.0,1614,0.026,0.498,0.476,-0.051,-5.1,eurusd,fx
2016-01-04,2016-07-04,100.1,4.0,1614,0.014,0.498,0.488,-0.04,-4.05,eurusd,fx
2016-07-04,2017-01-04,9.4,1.0,1614,0.502,0.498,0.0,0.004,0.03,eurusd,fx
2016-07-04,2017-01-04,9.4,1.5,1614,0.413,0.587,0.0,0.033,0.31,eurusd,fx
2016-07-04,2017-01-04,9.4,2.0,1614,0.351,0.649,0.0,0.052,0.49,eurusd,fx
2016-07-04,2017-01-04,9.4,3.0,1614,0.255,0.745,0.0,0.019,0.17,eurusd,fx
2016-07-04,2017-01-04,9.4,4.0,1614,0.204,0.796,0.0,0.022,0.21,eurusd,fx
2016-07-04,2017-01-04,15.6,1.0,1614,0.501,0.499,0.0,0.002,0.04,eurusd,fx
2016-07-04,2017-01-04,15.6,1.5,1614,0.402,0.598,0.0,0.005,0.08,eurusd,fx
2016-07-04,2017-01-04,15.6,2.0,1614,0.332,0.668,0.0,-0.004,-0.06,eurusd,fx
2016-07-04,2017-01-04,15.6,3.0,1614,0.242,0.758,0.0,-0.033,-0.52,eurusd,fx
2016-07-04,2017-01-04,15.6,4.0,1614,0.192,0.808,0.0,-0.04,-0.62,eurusd,fx
2016-07-04,2017-01-04,25.0,1.0,1614,0.501,0.499,0.0,0.002,0.06,eurusd,fx
2016-07-04,2017-01-04,25.0,1.5,1614,0.392,0.608,0.0,-0.02,-0.49,eurusd,fx
2016-07-04,2017-01-04,25.0,2.0,1614,0.322,0.678,0.0,-0.033,-0.84,eurusd,fx
2016-07-04,2017-01-04,25.0,3.0,1614,0.227,0.771,0.001,-0.088,-2.2,eurusd,fx
2016-07-04,2017-01-04,25.0,4.0,1614,0.172,0.817,0.011,-0.108,-2.7,eurusd,fx
2016-07-04,2017-01-04,37.5,1.0,1614,0.5,0.5,0.0,0.0,0.0,eurusd,fx
2016-07-04,2017-01-04,37.5,1.5,1614,0.396,0.604,0.0,-0.01,-0.38,eurusd,fx
2016-07-04,2017-01-04,37.5,2.0,1614,0.319,0.678,0.003,-0.038,-1.41,eurusd,fx
2016-07-04,2017-01-04,37.5,3.0,1614,0.206,0.74,0.054,-0.051,-1.92,eurusd,fx
2016-07-04,2017-01-04,37.5,4.0,1614,0.136,0.757,0.107,-0.039,-1.46,eurusd,fx
2016-07-04,2017-01-04,53.2,1.0,1614,0.499,0.499,0.002,0.0,0.0,eurusd,fx
2016-07-04,2017-01-04,53.2,1.5,1614,0.365,0.606,0.029,-0.051,-2.72,eurusd,fx
2016-07-04,2017-01-04,53.2,2.0,1614,0.266,0.646,0.087,-0.062,-3.28,eurusd,fx
2016-07-04,2017-01-04,53.2,3.0,1614,0.138,0.676,0.186,-0.075,-3.97,eurusd,fx
2016-07-04,2017-01-04,53.2,4.0,1614,0.063,0.682,0.255,-0.071,-3.78,eurusd,fx
2016-07-04,2017-01-04,75.1,1.0,1614,0.47,0.47,0.059,0.0,0.0,eurusd,fx
2016-07-04,2017-01-04,75.1,1.5,1614,0.303,0.515,0.182,-0.001,-0.04,eurusd,fx
2016-07-04,2017-01-04,75.1,2.0,1614,0.183,0.535,0.281,-0.011,-0.83,eurusd,fx
2016-07-04,2017-01-04,75.1,3.0,1614,0.055,0.548,0.397,-0.025,-1.89,eurusd,fx
2016-07-04,2017-01-04,75.1,4.0,1614,0.005,0.557,0.438,-0.067,-5.05,eurusd,fx
2016-07-04,2017-01-04,100.1,1.0,1614,0.387,0.387,0.227,0.0,0.0,eurusd,fx
2016-07-04,2017-01-04,100.1,1.5,1614,0.203,0.418,0.38,-0.012,-1.2,eurusd,fx
2016-07-04,2017-01-04,100.1,2.0,1614,0.106,0.43,0.464,-0.02,-2.03,eurusd,fx
2016-07-04,2017-01-04,100.1,3.0,1614,0.006,0.445,0.549,-0.078,-7.82,eurusd,fx
2016-07-04,2017-01-04,100.1,4.0,1614,0.002,0.445,0.553,-0.079,-7.94,eurusd,fx
2017-01-04,2017-07-04,9.4,1.0,1602,0.501,0.499,0.0,0.001,0.01,eurusd,fx
