window_start,window_end,sl_pips,tp_r,n,win_rate,sl_rate,timeout_rate,avg_r,expectancy_pips
2021-07-18,2022-01-18,20.0,1.0,1622,0.445,0.445,0.111,0.0,0.0
2021-07-18,2022-01-18,20.0,1.5,1622,0.263,0.501,0.236,-0.052,-1.04
2021-07-18,2022-01-18,20.0,2.0,1622,0.139,0.513,0.348,-0.089,-1.77
2021-07-18,2022-01-18,20.0,3.0,1622,0.051,0.513,0.436,-0.076,-1.51
2021-07-18,2022-01-18,20.0,4.0,1622,0.028,0.513,0.459,-0.051,-1.02
2021-07-18,2022-01-18,40.0,1.0,1622,0.155,0.155,0.691,0.0,0.0
2021-07-18,2022-01-18,40.0,1.5,1622,0.058,0.155,0.787,0.009,0.36
2021-07-18,2022-01-18,40.0,2.0,1622,0.035,0.155,0.811,0.024,0.98
2021-07-18,2022-01-18,40.0,3.0,1622,0.019,0.155,0.826,0.037,1.46
2021-07-18,2022-01-18,40.0,4.0,1622,0.0,0.155,0.845,0.011,0.45
2021-07-18,2022-01-18,60.0,1.0,1622,0.058,0.058,0.884,0.0,0.0
2021-07-18,2022-01-18,60.0,1.5,1622,0.025,0.058,0.917,0.01,0.59
2021-07-18,2022-01-18,60.0,2.0,1622,0.019,0.058,0.923,0.018,1.1
2021-07-18,2022-01-18,60.0,3.0,1622,0.0,0.058,0.942,0.001,0.09
2021-07-18,2022-01-18,60.0,4.0,1622,0.0,0.058,0.942,0.001,0.09
2021-07-18,2022-01-18,80.0,1.0,1622,0.035,0.035,0.931,0.0,0.0
2021-07-18,2022-01-18,80.0,1.5,1622,0.019,0.035,0.946,0.006,0.49
2021-07-18,2022-01-18,80.0,2.0,1622,0.0,0.035,0.965,-0.007,-0.53
2021-07-18,2022-01-18,80.0,3.0,1622,0.0,0.035,0.965,-0.007,-0.53
2021-07-18,2022-01-18,80.0,4.0,1622,0.0,0.035,0.965,-0.007,-0.53
2021-07-18,2022-01-18,100.0,1.0,1622,0.02,0.02,0.961,0.0,0.0
2021-07-18,2022-01-18,100.0,1.5,1622,0.0,0.02,0.98,-0.006,-0.64
2021-07-18,2022-01-18,100.0,2.0,1622,0.0,0.02,0.98,-0.006,-0.64
2021-07-18,2022-01-18,100.0,3.0,1622,0.0,0.02,0.98,-0.006,-0.64
2021-07-18,2022-01-18,100.0,4.0,1622,0.0,0.02,0.98,-0.006,-0.64
2021-07-18,2022-01-18,150.0,1.0,1622,0.0,0.0,1.0,0.0,0.0
2021-07-18,2022-01-18,150.0,1.5,1622,0.0,0.0,1.0,0.0,0.0
2021-07-18,2022-01-18,150.0,2.0,1622,0.0,0.0,1.0,0.0,0.0
2021-07-18,2022-01-18,150.0,3.0,1622,0.0,0.0,1.0,0.0,0.0
2021-07-18,2022-01-18,150.0,4.0,1622,0.0,0.0,1.0,0.0,0.0
2022-01-18,2022-07-18,20.0,1.0,1590,0.486,0.486,0.029,0.0,0.0
2022-01-18,2022-07-18,20.0,1.5,1590,0.347,0.557,0.097,0.008,0.16
2022-01-18,2022-07-18,20.0,2.0,1590,0.265,0.586,0.149,0.037,0.75
2022-01-18,2022-07-18,20.0,3.0,1590,0.143,0.596,0.262,0.111,2.21
2022-01-18,2022-07-18,20.0,4.0,1590,0.057,0.606,0.338,0.075,1.49
2022-01-18,2022-07-18,40.0,1.0,1590,0.309,0.309,0.382,0.0,0.0
2022-01-18,2022-07-18,40.0,1.5,1590,0.153,0.31,0.537,0.035,1.38
2022-01-18,2022-07-18,40.0,2.0,1590,0.063,0.312,0.625,0.023,0.91
2022-01-18,2022-07-18,40.0,3.0,1590,0.015,0.313,0.672,0.012,0.46
2022-01-18,2022-07-18,40.0,4.0,1590,0.0,0.313,0.687,-0.003,-0.11
2022-01-18,2022-07-18,60.0,1.0,1590,0.153,0.153,0.693,0.0,0.0
2022-01-18,2022-07-18,60.0,1.5,1590,0.036,0.155,0.809,-0.016,-0.97
2022-01-18,2022-07-18,60.0,2.0,1590,0.015,0.155,0.83,-0.016,-0.95
2022-01-18,2022-07-18,60.0,3.0,1590,0.0,0.155,0.845,-0.025,-1.51
2022-01-18,2022-07-18,60.0,4.0,1590,0.0,0.155,0.845,-0.025,-1.51
2022-01-18,2022-07-18,80.0,1.0,1590,0.064,0.064,0.872,0.0,0.0
2022-01-18,2022-07-18,80.0,1.5,1590,0.015,0.064,0.921,-0.006,-0.44
2022-01-18,2022-07-18,80.0,2.0,1590,0.0,0.064,0.936,-0.013,-1.01
2022-01-18,2022-07-18,80.0,3.0,1590,0.0,0.064,0.936,-0.013,-1.01
2022-01-18,2022-07-18,80.0,4.0,1590,0.0,0.064,0.936,-0.013,-1.01
2022-01-18,2022-07-18,100.0,1.0,1590,0.024,0.024,0.952,0.0,0.0
