pair,asset_class,sl_mult,tp_r,n,win_rate,sl_rate,timeout_rate,avg_r
audcad,fx,0.5,1.0,2422,0.516,0.484,0.0,-0.1056
audcad,fx,0.5,1.5,2422,0.406,0.594,0.0,-0.1213
audcad,fx,0.5,2.0,2422,0.332,0.668,0.0,-0.1411
audcad,fx,0.5,3.0,2422,0.251,0.749,0.0,-0.1329
audcad,fx,0.5,4.0,2422,0.194,0.806,0.0,-0.1667
audcad,fx,0.75,1.0,2422,0.509,0.491,0.0,-0.0723
audcad,fx,0.75,1.5,2422,0.412,0.588,0.0,-0.0622
audcad,fx,0.75,2.0,2422,0.345,0.655,0.0,-0.0571
audcad,fx,0.75,3.0,2422,0.245,0.755,0.0,-0.1103
audcad,fx,0.75,4.0,2422,0.188,0.81,0.002,-0.1464
audcad,fx,1.0,1.0,2422,0.507,0.493,0.0,-0.0545
audcad,fx,1.0,1.5,2422,0.41,0.59,0.0,-0.0425
audcad,fx,1.0,2.0,2422,0.336,0.664,0.0,-0.059
audcad,fx,1.0,3.0,2422,0.236,0.761,0.003,-0.1151
audcad,fx,1.0,4.0,2422,0.176,0.81,0.014,-0.1511
audcad,fx,1.25,1.0,2422,0.51,0.49,0.0,-0.035
audcad,fx,1.25,1.5,2422,0.406,0.593,0.001,-0.0381
audcad,fx,1.25,2.0,2422,0.33,0.667,0.003,-0.0593
audcad,fx,1.25,3.0,2422,0.231,0.749,0.019,-0.0921
audcad,fx,1.25,4.0,2422,0.169,0.786,0.045,-0.1013
audcad,fx,1.5,1.0,2422,0.507,0.492,0.001,-0.0308
audcad,fx,1.5,1.5,2422,0.399,0.597,0.004,-0.0422
audcad,fx,1.5,2.0,2422,0.321,0.665,0.014,-0.061
audcad,fx,1.5,3.0,2422,0.217,0.735,0.047,-0.0907
audcad,fx,1.5,4.0,2422,0.144,0.761,0.095,-0.0895
audcad,fx,2.0,1.0,2422,0.508,0.486,0.006,-0.0126
audcad,fx,2.0,1.5,2422,0.39,0.581,0.029,-0.022
audcad,fx,2.0,2.0,2422,0.301,0.636,0.063,-0.0374
audcad,fx,2.0,3.0,2422,0.179,0.676,0.145,-0.0301
audcad,fx,2.0,4.0,2422,0.093,0.686,0.221,-0.0393
audchf,fx,0.5,1.0,923,0.527,0.473,0.0,-0.0768
audchf,fx,0.5,1.5,923,0.389,0.611,0.0,-0.1575
audchf,fx,0.5,2.0,923,0.32,0.68,0.0,-0.171
audchf,fx,0.5,3.0,923,0.232,0.768,0.0,-0.2025
audchf,fx,0.5,4.0,923,0.185,0.815,0.0,-0.2035
audchf,fx,0.75,1.0,923,0.477,0.523,0.0,-0.1331
audchf,fx,0.75,1.5,923,0.368,0.632,0.0,-0.1656
audchf,fx,0.75,2.0,923,0.303,0.697,0.0,-0.1764
audchf,fx,0.75,3.0,923,0.22,0.78,0.0,-0.2067
audchf,fx,0.75,4.0,923,0.174,0.823,0.002,-0.2058
audchf,fx,1.0,1.0,923,0.49,0.51,0.0,-0.0855
audchf,fx,1.0,1.5,923,0.385,0.615,0.0,-0.1033
audchf,fx,1.0,2.0,923,0.321,0.678,0.001,-0.0997
audchf,fx,1.0,3.0,923,0.241,0.753,0.007,-0.0873
audchf,fx,1.0,4.0,923,0.161,0.803,0.036,-0.154
audchf,fx,1.25,1.0,923,0.49,0.51,0.0,-0.0725
audchf,fx,1.25,1.5,923,0.4,0.6,0.0,-0.0525
audchf,fx,1.25,2.0,923,0.326,0.67,0.004,-0.0651
audchf,fx,1.25,3.0,923,0.221,0.739,0.04,-0.0772
audchf,fx,1.25,4.0,923,0.138,0.776,0.087,-0.1433
audchf,fx,1.5,1.0,923,0.499,0.501,0.0,-0.0444
audchf,fx,1.5,1.5,923,0.388,0.606,0.007,-0.0639
audchf,fx,1.5,2.0,923,0.325,0.655,0.02,-0.0371
audchf,fx,1.5,3.0,923,0.194,0.72,0.086,-0.0929
audchf,fx,1.5,4.0,923,0.117,0.744,0.139,-0.1321
audchf,fx,2.0,1.0,923,0.494,0.499,0.007,-0.0356
audchf,fx,2.0,1.5,923,0.386,0.577,0.037,-0.0186
audchf,fx,2.0,2.0,923,0.274,0.621,0.105,-0.0454
audchf,fx,2.0,3.0,923,0.147,0.653,0.199,-0.0629
audchf,fx,2.0,4.0,923,0.093,0.66,0.247,-0.029
audjpy,fx,0.5,1.0,2194,0.486,0.514,0.0,-0.1468
audjpy,fx,0.5,1.5,2194,0.373,0.627,0.0,-0.1865
audjpy,fx,0.5,2.0,2194,0.311,0.689,0.0,-0.1847
audjpy,fx,0.5,3.0,2194,0.218,0.782,0.0,-0.2471
audjpy,fx,0.5,4.0,2194,0.168,0.832,0.0,-0.2776
audjpy,fx,0.75,1.0,2194,0.48,0.52,0.0,-0.1192
audjpy,fx,0.75,1.5,2194,0.378,0.622,0.0,-0.1337
audjpy,fx,0.75,2.0,2194,0.299,0.7,0.0,-0.18
audjpy,fx,0.75,3.0,2194,0.216,0.782,0.003,-0.2128
audjpy,fx,0.75,4.0,2194,0.175,0.819,0.007,-0.1886
audjpy,fx,1.0,1.0,2194,0.484,0.516,0.0,-0.0915
audjpy,fx,1.0,1.5,2194,0.369,0.63,0.001,-0.1351
audjpy,fx,1.0,2.0,2194,0.297,0.7,0.004,-0.1643
audjpy,fx,1.0,3.0,2194,0.219,0.767,0.014,-0.1569
audjpy,fx,1.0,4.0,2194,0.165,0.799,0.036,-0.1531
audjpy,fx,1.25,1.0,2194,0.477,0.523,0.0,-0.0933
audjpy,fx,1.25,1.5,2194,0.372,0.622,0.005,-0.11
audjpy,fx,1.25,2.0,2194,0.295,0.689,0.016,-0.1403
audjpy,fx,1.25,3.0,2194,0.216,0.74,0.045,-0.1024
audjpy,fx,1.25,4.0,2194,0.144,0.769,0.087,-0.1299
audjpy,fx,1.5,1.0,2194,0.479,0.517,0.004,-0.0774
audjpy,fx,1.5,1.5,2194,0.363,0.62,0.016,-0.1109
audjpy,fx,1.5,2.0,2194,0.302,0.667,0.031,-0.0889
audjpy,fx,1.5,3.0,2194,0.195,0.717,0.088,-0.0955
audjpy,fx,1.5,4.0,2194,0.119,0.744,0.137,-0.1345
audjpy,fx,2.0,1.0,2194,0.47,0.51,0.02,-0.069
audjpy,fx,2.0,1.5,2194,0.36,0.588,0.052,-0.0682
audjpy,fx,2.0,2.0,2194,0.27,0.627,0.103,-0.0747
audjpy,fx,2.0,3.0,2194,0.144,0.669,0.188,-0.1131
audjpy,fx,2.0,4.0,2194,0.075,0.685,0.24,-0.1462
audnzd,fx,0.5,1.0,2442,0.572,0.428,0.0,-0.0207
audnzd,fx,0.5,1.5,2442,0.465,0.535,0.0,-0.0027
audnzd,fx,0.5,2.0,2442,0.383,0.617,0.0,-0.017
audnzd,fx,0.5,3.0,2442,0.293,0.707,0.0,0.0072
