sl_mult,sl_dist,tp_r,n,win_rate,sl_rate,timeout_rate,avg_r
2.0,17.1029,4.0,1051,0.066,0.586,0.348,-0.0318
2.0,17.1029,3.0,1051,0.108,0.577,0.315,-0.0405
1.5,12.827175,4.0,1051,0.092,0.673,0.235,-0.0487
1.5,12.827175,1.5,1051,0.349,0.58,0.07,-0.0598
1.25,10.689313,4.0,1051,0.113,0.717,0.169,-0.0626
2.0,17.1029,1.5,1051,0.291,0.533,0.176,-0.0633
1.5,12.827175,2.0,1051,0.254,0.623,0.123,-0.0644
2.0,17.1029,1.0,1051,0.425,0.475,0.1,-0.0672
1.5,12.827175,3.0,1051,0.148,0.661,0.19,-0.0697
2.0,17.1029,2.0,1051,0.2,0.563,0.237,-0.075
1.25,10.689313,1.5,1051,0.366,0.605,0.029,-0.0758
1.5,12.827175,1.0,1051,0.457,0.51,0.033,-0.0776
1.25,10.689313,2.0,1051,0.284,0.656,0.061,-0.0785
1.25,10.689313,1.0,1051,0.462,0.53,0.008,-0.0975
1.25,10.689313,3.0,1051,0.165,0.705,0.13,-0.0998
1.0,8.55145,2.0,1051,0.301,0.677,0.022,-0.1
1.0,8.55145,1.5,1051,0.362,0.629,0.01,-0.117
1.0,8.55145,3.0,1051,0.191,0.741,0.068,-0.1185
0.75,6.413588,1.0,1051,0.459,0.541,0.0,-0.1296
1.0,8.55145,1.0,1051,0.45,0.55,0.0,-0.135
1.0,8.55145,4.0,1051,0.128,0.77,0.102,-0.1361
0.75,6.413588,3.0,1051,0.219,0.769,0.012,-0.1414
0.5,4.275725,1.0,1051,0.463,0.537,0.0,-0.1434
0.75,6.413588,2.0,1051,0.292,0.706,0.002,-0.1683
0.75,6.413588,4.0,1051,0.152,0.811,0.037,-0.1692
0.5,4.275725,1.5,1051,0.359,0.641,0.0,-0.1734
0.75,6.413588,1.5,1051,0.342,0.658,0.0,-0.1928
0.5,4.275725,4.0,1051,0.169,0.829,0.002,-0.2191
0.5,4.275725,3.0,1051,0.208,0.791,0.001,-0.2355
0.5,4.275725,2.0,1051,0.271,0.729,0.0,-0.2567
