pair	ladder	rawTouches	splitDate	cost%	finalTrades	winRate%	Sharpe	PF	CAGR%	maxDD%
NQ	asia	115589	2022-12-22	0.008	1388	74.9	8.8	7.31	34.71	-0.59
NQ	monday	19955	2022-08-21	0.008	68	89.7	19.74	17.41	149.73	-0.83
SPX	asia	58979	2024-04-17	0.008	320	77.5	7.85	5.11	28.66	-0.9
SPX	monday	9448	2024-04-15	0.008	48	89.6	15.51	16	79.84	-0.56
DE30	asia	72797	2023-11-22	0.012	692	78.2	9.43	6	29.07	-1.22
DE30	monday	16120	2022-06-03	0.012	59	91.5	21.29	19.21	93.68	-0.34
UK100	asia	99175	2022-10-13	0.015	623	77.7	7.21	3.98	19.51	-1.58
UK100	monday	13461	2022-10-12	0.015	49	98	26.09	306.27	70.9	-0.03
US2000	asia	134944	2022-12-06	0.015	1110	75.3	9.53	5.42	31.21	-0.6
US2000	monday	17815	2022-07-05	0.015	37	91.9	16.83	20.17	133.48	-0.59
DOW	asia	71663	2024-06-26	0.01	603	75.1	10.72	6.33	22.5	-0.32
DOW	monday	9665	2024-03-06	0.01	53	92.5	15.39	8.15	82.44	-0.79
