Date,Pair,Bot,Dir,Lots,Entry,Close,PnL,Swap,Net,Opened,Closed,Duration
06-10,EURCHF,Regime V2,BUY,3.04,0.92267,0.92260,-19.90,0.00,-19.90,2026-06-10 11:03 UTC,2026-06-10 11:07 UTC,4m
06-10,GBPCHF,Regime V2,BUY,3.06,1.06925,1.06915,-28.62,0.00,-28.62,2026-06-10 11:04 UTC,2026-06-10 11:07 UTC,2m
06-10,CADJPY,Regime V2,BUY,3.08,115.08400,115.08900,+7.17,0.00,+7.17,2026-06-10 11:03 UTC,2026-06-10 11:07 UTC,4m
06-10,EURCHF,Regime V2,BUY,2.75,0.92263,0.92246,-43.73,0.00,-43.73,2026-06-10 11:08 UTC,2026-06-10 11:12 UTC,3m
06-10,USDJPY,Regime V2,BUY,2.90,160.41200,160.38300,-39.17,0.00,-39.17,2026-06-10 11:13 UTC,2026-06-10 11:18 UTC,4m
06-10,GBPCHF,Regime V2,BUY,2.96,1.06916,1.06912,-11.07,0.00,-11.07,2026-06-10 11:08 UTC,2026-06-10 11:19 UTC,11m
06-10,USDJPY,Regime V2,BUY,3.03,160.39400,160.39400,+0.00,0.00,+0.00,2026-06-10 11:19 UTC,2026-06-10 11:23 UTC,4m
06-10,XAUUSD,Regime V2,SELL,0.44,4167.39000,4168.24000,-27.93,0.00,-27.93,2026-06-10 11:08 UTC,2026-06-10 11:33 UTC,25m
06-10,NZDUSD,Regime V2,SELL,3.12,0.58079,0.58111,-74.56,0.00,-74.56,2026-06-10 11:12 UTC,2026-06-10 11:37 UTC,25m
06-10,CADJPY,Regime V2,BUY,2.94,115.09200,115.12100,+39.71,0.00,+39.71,2026-06-10 11:08 UTC,2026-06-10 11:54 UTC,46m
06-10,AUDJPY,Regime V2,BUY,2.62,112.48100,112.47700,-4.88,0.00,-4.88,2026-06-10 11:53 UTC,2026-06-10 11:57 UTC,4m
06-10,AUDUSD,Regime V2,BUY,2.58,0.70117,0.70087,-57.83,0.00,-57.83,2026-06-10 11:48 UTC,2026-06-10 12:01 UTC,13m
06-10,NZDUSD,Regime V2,BUY,2.85,0.58110,0.58094,-34.06,0.00,-34.06,2026-06-10 11:40 UTC,2026-06-10 12:07 UTC,26m
06-10,CADJPY,Regime V2,SELL,3.07,115.14100,115.14700,-8.58,0.00,-8.58,2026-06-10 11:57 UTC,2026-06-10 12:23 UTC,26m
06-10,AUDJPY,Regime V2,SELL,2.71,112.37500,112.46100,-108.52,0.00,-108.52,2026-06-10 12:16 UTC,2026-06-10 12:27 UTC,10m
06-10,AUDJPY,Regime V2,SELL,3.00,112.44300,112.44900,-8.38,0.00,-8.38,2026-06-10 12:27 UTC,2026-06-10 12:30 UTC,2m
06-10,AUDUSD,Regime V2,SELL,3.23,0.70097,0.70077,+48.24,0.00,+48.24,2026-06-10 12:06 UTC,2026-06-10 12:39 UTC,33m
06-10,AUDUSD,Regime V2,BUY,2.69,0.70073,0.70085,+24.10,0.00,+24.10,2026-06-10 12:42 UTC,2026-06-10 13:06 UTC,23m
06-10,NZDUSD,Regime V2,BUY,2.77,0.58121,0.58109,-24.81,0.00,-24.81,2026-06-10 13:05 UTC,2026-06-10 13:08 UTC,3m
06-10,AUDJPY,Regime V2,BUY,3.27,112.45200,112.44100,-16.73,0.00,-16.73,2026-06-10 13:07 UTC,2026-06-10 13:16 UTC,9m
06-10,CADJPY,Regime V2,BUY,2.94,115.21900,115.20700,-16.41,0.00,-16.41,2026-06-10 12:46 UTC,2026-06-10 13:20 UTC,33m
06-10,GBPUSD,Regime V2,BUY,2.88,1.33981,1.33963,-38.70,0.00,-38.70,2026-06-10 12:51 UTC,2026-06-10 13:20 UTC,28m
06-10,EURJPY,Regime V2,BUY,2.54,185.45300,185.43400,-22.45,0.00,-22.45,2026-06-10 12:48 UTC,2026-06-10 13:22 UTC,33m
06-10,EURGBP,Regime V2,SELL,2.63,0.86267,0.86256,+28.93,0.00,+28.93,2026-06-10 12:48 UTC,2026-06-10 13:26 UTC,38m
06-10,GBPJPY,Regime V2,BUY,2.88,214.96400,214.96700,+4.02,0.00,+4.02,2026-06-10 12:51 UTC,2026-06-10 13:27 UTC,36m
06-10,EURUSD,Regime V2,BUY,2.72,1.15583,1.15563,-40.60,0.00,-40.60,2026-06-10 12:55 UTC,2026-06-10 13:28 UTC,33m
06-10,USDCAD,Regime V2,BUY,2.63,1.39277,1.39276,-1.41,0.00,-1.41,2026-06-10 13:43 UTC,2026-06-10 13:52 UTC,8m
06-10,EURCHF,Regime V2,SELL,2.75,0.92236,0.92272,-92.56,0.00,-92.56,2026-06-10 13:36 UTC,2026-06-10 13:59 UTC,22m
06-10,USDJPY,Regime V2,BUY,2.73,160.45800,160.46500,+8.89,0.00,+8.89,2026-06-10 12:42 UTC,2026-06-10 14:03 UTC,1h 20m
06-10,GBPUSD,Regime V2,SELL,2.65,1.33972,1.33881,+180.12,0.00,+180.12,2026-06-10 13:23 UTC,2026-06-10 14:03 UTC,40m
06-10,EURGBP,Regime V2,BUY,2.62,0.86254,0.86246,-20.96,0.00,-20.96,2026-06-10 13:31 UTC,2026-06-10 14:03 UTC,32m
06-10,AUDJPY,Regime V2,BUY,2.85,112.48100,112.41500,-87.57,0.00,-87.57,2026-06-10 13:33 UTC,2026-06-10 14:03 UTC,30m
06-10,GBPJPY,Regime V2,SELL,3.15,214.98700,214.77900,+305.06,0.00,+305.06,2026-06-10 13:34 UTC,2026-06-10 14:04 UTC,29m
06-10,CADJPY,Regime V2,SELL,3.06,115.20800,115.25000,-59.82,0.00,-59.82,2026-06-10 13:23 UTC,2026-06-10 14:06 UTC,42m
06-10,EURUSD,Regime V2,SELL,3.21,1.15558,1.15468,+215.77,0.00,+215.77,2026-06-10 13:33 UTC,2026-06-10 14:21 UTC,48m
06-10,EURUSD,Regime V2,SELL,3.25,1.15473,1.15481,-19.42,0.00,-19.42,2026-06-10 14:22 UTC,2026-06-10 14:22 UTC,0m
06-10,EURUSD,Regime V2,SELL,3.25,1.15479,1.15482,-7.28,0.00,-7.28,2026-06-10 14:23 UTC,2026-06-10 14:23 UTC,0m
06-10,EURUSD,Regime V2,SELL,3.25,1.15480,1.15482,-4.85,0.00,-4.85,2026-06-10 14:24 UTC,2026-06-10 14:24 UTC,0m
06-10,AUDUSD,Regime V2,BUY,2.85,0.70082,0.70035,-100.09,0.00,-100.09,2026-06-10 14:21 UTC,2026-06-10 14:25 UTC,4m
06-10,NZDUSD,Regime V2,SELL,2.79,0.58088,0.58046,+87.56,0.00,+87.56,2026-06-10 14:22 UTC,2026-06-10 14:25 UTC,2m
06-10,NZDUSD,Regime V2,SELL,3.21,0.58059,0.58036,+55.17,0.00,+55.17,2026-06-10 14:26 UTC,2026-06-10 14:26 UTC,0m
06-10,AUDUSD,Regime V2,BUY,2.85,0.70019,0.70032,+27.68,0.00,+27.68,2026-06-10 14:25 UTC,2026-06-10 14:30 UTC,4m
06-10,USDCHF,Regime V2,BUY,3.15,0.79858,0.79876,+53.04,0.00,+53.04,2026-06-10 14:21 UTC,2026-06-10 14:33 UTC,11m
06-10,USDJPY,Regime V2,BUY,3.21,160.48900,160.48300,-8.97,0.00,-8.97,2026-06-10 14:16 UTC,2026-06-10 14:54 UTC,38m
06-10,EURCHF,Regime V2,SELL,2.90,0.92207,0.92199,+21.70,0.00,+21.70,2026-06-10 14:29 UTC,2026-06-10 15:02 UTC,33m
06-10,NZDUSD,Regime V2,SELL,3.32,0.58041,0.58054,-32.25,0.00,-32.25,2026-06-10 14:37 UTC,2026-06-10 15:09 UTC,32m
06-10,AUDJPY,Regime V2,SELL,3.12,112.46600,112.41900,+68.27,0.00,+68.27,2026-06-10 14:21 UTC,2026-06-10 15:09 UTC,47m
06-10,AUDUSD,Regime V2,SELL,3.28,0.70026,0.70037,-26.96,0.00,-26.96,2026-06-10 14:33 UTC,2026-06-10 15:10 UTC,36m
06-10,USDCHF,Regime V2,BUY,2.71,0.79934,0.79900,-86.17,0.00,-86.17,2026-06-10 14:46 UTC,2026-06-10 15:19 UTC,33m
06-10,GBPUSD,Regime V2,SELL,2.53,1.33808,1.33852,-83.17,0.00,-83.17,2026-06-10 15:08 UTC,2026-06-10 15:20 UTC,12m
06-10,EURUSD,Regime V2,SELL,3.25,1.15422,1.15409,+31.57,0.00,+31.57,2026-06-10 14:25 UTC,2026-06-10 15:20 UTC,55m
06-10,EURCHF,Regime V2,BUY,3.18,0.92198,0.92199,+2.97,0.00,+2.97,2026-06-10 15:13 UTC,2026-06-10 15:27 UTC,13m
06-10,GBPJPY,Regime V2,SELL,2.85,214.77900,214.81700,-50.42,0.00,-50.42,2026-06-10 14:54 UTC,2026-06-10 15:28 UTC,34m
