zlb,cls,h,outcome,pred,demean,t,r,n_dates,mde_r,abs_t
126,FX,1,rng,convexity,True,-5.784658394164959,-0.11119281587529116,2675,0.05413724338655716,5.784658394164959
252,FX,1,rng,convexity,True,-5.784658394164959,-0.11119281587529116,2675,0.05413724338655716,5.784658394164959
252,FX,1,rng,updn,True,-5.443541085612548,-0.10470997034929323,2675,0.05413724338655716,5.443541085612548
126,FX,1,rng,updn,True,-5.443541085612548,-0.10470997034929323,2675,0.05413724338655716,5.443541085612548
252,FX,1,rng,skew_ratio,True,-5.4435071569888995,-0.10470932486624676,2675,0.05413724338655716,5.4435071569888995
126,FX,1,rng,skew_ratio,True,-5.4435071569888995,-0.10470932486624676,2675,0.05413724338655716,5.4435071569888995
252,all,1,rng,convexity,True,-4.917185128778997,-0.09468075187224761,2675,0.05413724338655716,4.917185128778997
126,all,1,rng,convexity,True,-4.917185128778997,-0.09468075187224761,2675,0.05413724338655716,4.917185128778997
252,all,1,rng,updn,True,-4.556843335880613,-0.08779792647793547,2675,0.05413724338655716,4.556843335880613
126,all,1,rng,updn,True,-4.556843335880613,-0.08779792647793547,2675,0.05413724338655716,4.556843335880613
126,all,1,rng,skew_ratio,True,-4.556721789679175,-0.08779560266605342,2675,0.05413724338655716,4.556721789679175
252,all,1,rng,skew_ratio,True,-4.556721789679175,-0.08779560266605342,2675,0.05413724338655716,4.556721789679175
126,FX,1,rng,updn,False,-3.286993792143428,-0.06344880681530914,2675,0.05413724338655716,3.286993792143428
252,FX,1,rng,updn,False,-3.286993792143428,-0.06344880681530914,2675,0.05413724338655716,3.286993792143428
126,FX,1,rng,skew_ratio,False,-3.286916504534112,-0.06344732093912855,2675,0.05413724338655716,3.286916504534112
252,FX,1,rng,skew_ratio,False,-3.286916504534112,-0.06344732093912855,2675,0.05413724338655716,3.286916504534112
126,all,1,rng,updn,False,-2.560832190496514,-0.04947087030362177,2675,0.05413724338655716,2.560832190496514
252,all,1,rng,updn,False,-2.560832190496514,-0.04947087030362177,2675,0.05413724338655716,2.560832190496514
126,all,1,rng,skew_ratio,False,-2.5607169087171604,-0.0494686487080944,2675,0.05413724338655716,2.5607169087171604
252,all,1,rng,skew_ratio,False,-2.5607169087171604,-0.0494686487080944,2675,0.05413724338655716,2.5607169087171604
126,FX,1,rng,convexity,False,-2.559322611050748,-0.04944177913530724,2675,0.05413724338655716,2.559322611050748
252,FX,1,rng,convexity,False,-2.559322611050748,-0.04944177913530724,2675,0.05413724338655716,2.559322611050748
252,FX,1,ret,convexity,True,-2.459836523660207,-0.047524304691201676,2675,0.05413724338655716,2.459836523660207
126,FX,1,ret,convexity,True,-2.459836523660207,-0.047524304691201676,2675,0.05413724338655716,2.459836523660207
252,all,1,ret,convexity,True,-2.349494873914636,-0.04539698858557456,2675,0.05413724338655716,2.349494873914636
126,all,1,ret,convexity,True,-2.349494873914636,-0.04539698858557456,2675,0.05413724338655716,2.349494873914636
252,all,1,rng,convexity,False,-2.339983015663946,-0.045213576738122284,2675,0.05413724338655716,2.339983015663946
126,all,1,rng,convexity,False,-2.339983015663946,-0.045213576738122284,2675,0.05413724338655716,2.339983015663946
126,gold,5,ret,vrp_trail20,False,-2.322860013850413,-0.10057691065070067,530,0.12162422797365942,2.322860013850413
252,gold,5,ret,vrp_trail20,False,-2.322860013850413,-0.10057691065070067,530,0.12162422797365942,2.322860013850413
126,gold,21,ret,vrp_trail20,False,-2.1932495848092395,-0.19324696691463458,126,0.2494438257849294,2.1932495848092395
252,gold,21,ret,vrp_trail20,False,-2.1932495848092395,-0.19324696691463458,126,0.2494438257849294,2.1932495848092395
252,FX,21,rng,cvol_z,True,-1.9754755932749646,-0.18270892480642506,115,0.2611013463072879,1.9754755932749646
252,FX,1,ret,updn,True,-1.9401688596421194,-0.03750027630295307,2675,0.05413724338655716,1.9401688596421194
126,FX,1,ret,updn,True,-1.9401688596421194,-0.03750027630295307,2675,0.05413724338655716,1.9401688596421194
126,FX,1,ret,skew_ratio,True,-1.9400220957302394,-0.0374974435863974,2675,0.05413724338655716,1.9400220957302394
252,FX,1,ret,skew_ratio,True,-1.9400220957302394,-0.0374974435863974,2675,0.05413724338655716,1.9400220957302394
252,FX,10,ret,cvol_z,True,-1.938376473866385,-0.12440905116655242,241,0.18036385539223262,1.938376473866385
