decision,checkpointMin,threshold,nAliveWin,nAliveLoss,crossedPctWin,crossedPctLoss,lossRateIfCrossed,lossRateIfNotCrossed,baseLossRatePct,lift
fade,2,0.25,20121,4035,24.2,47.4,28.2,12.2,16.7,1.69
fade,2,0.5,20121,4035,7,21.8,38.3,14.4,16.7,2.29
fade,2,0.75,20121,4035,1.7,8.8,50.6,15.7,16.7,3.03
fade,5,0.25,17945,3486,31.7,60.3,27,10.1,16.3,1.66
fade,5,0.5,17945,3486,9.9,29.9,36.9,13.1,16.3,2.27
fade,5,0.75,17945,3486,2.7,11.7,46.2,15,16.3,2.84
fade,10,0.25,15255,2896,38.6,69.1,25.3,8.7,16,1.59
fade,10,0.5,15255,2896,13.6,37.6,34.4,12.1,16,2.16
fade,10,0.75,15255,2896,3.8,15.6,43.9,14.3,16,2.75
fade,15,0.25,13199,2528,43.5,74.2,24.6,8,16.1,1.53
fade,15,0.5,13199,2528,16.3,45.6,34.9,11.1,16.1,2.17
fade,15,0.75,13199,2528,4.7,19.1,44,14,16.1,2.74
fade,20,0.25,11510,2234,47,78.4,24.4,7.3,16.3,1.5
fade,20,0.5,11510,2234,18.6,50.7,34.6,10.5,16.3,2.13
fade,20,0.75,11510,2234,5.5,23.2,44.9,13.6,16.3,2.76
fade,30,0.25,9044,1741,52.8,83.4,23.3,6.3,16.1,1.44
fade,30,0.5,9044,1741,22.6,59.3,33.6,9.2,16.1,2.08
fade,30,0.75,9044,1741,7.4,29.2,43.2,12.8,16.1,2.68
fade,45,0.25,6491,1236,58.9,87.1,22,5.6,16,1.37
fade,45,0.5,6491,1236,26.8,64.1,31.3,8.5,16,1.96
fade,45,0.75,6491,1236,9.4,35.3,41.8,12,16,2.61
fade,60,0.25,4700,871,64.4,89.7,20.5,5.1,15.6,1.31
fade,60,0.5,4700,871,30.8,67.3,28.8,8.1,15.6,1.84
fade,60,0.75,4700,871,10.8,38.7,39.8,11.3,15.6,2.55
fade,90,0.25,2823,503,70.2,94.8,19.4,3,15.1,1.28
fade,90,0.5,2823,503,36.6,76.3,27.1,6.2,15.1,1.79
fade,90,0.75,2823,503,13.2,43.3,36.8,10.4,15.1,2.43
fade,120,0.25,1690,314,75.4,97.1,19.3,2.1,15.7,1.23
fade,120,0.5,1690,314,41.4,79.9,26.4,6,15.7,1.68
fade,120,0.75,1690,314,14.7,49,38.3,10,15.7,2.44
follow,2,0.25,23916,5850,60.7,77.9,23.9,12.1,19.7,1.22
follow,2,0.5,23916,5850,17.5,36,33.5,16,19.7,1.7
follow,2,0.75,23916,5850,3.4,11.2,44.4,18.4,19.7,2.26
follow,5,0.25,21257,4815,66.3,82.9,22.1,10.3,18.5,1.2
follow,5,0.5,21257,4815,22.9,46.7,31.6,13.5,18.5,1.71
follow,5,0.75,21257,4815,5.7,18.3,42.3,16.4,18.5,2.29
follow,10,0.25,17498,3586,71,86.8,20,8.5,17,1.18
follow,10,0.5,17498,3586,29.4,54.8,27.6,11.6,17,1.62
follow,10,0.75,17498,3586,9,24.9,36.2,14.5,17,2.13
follow,15,0.25,14684,2759,74.4,89.1,18.4,7.4,15.8,1.16
follow,15,0.5,14684,2759,34.7,60.6,24.7,10.2,15.8,1.56
follow,15,0.75,14684,2759,11.9,28.2,30.9,13.3,15.8,1.95
follow,20,0.25,12480,2203,76.9,90.5,17.2,6.7,15,1.15
follow,20,0.5,12480,2203,38.8,63.5,22.4,9.5,15,1.49
follow,20,0.75,12480,2203,14.1,31.5,28.3,12.3,15,1.88
follow,30,0.25,9461,1483,79.9,91.6,15.2,6.1,13.6,1.12
follow,30,0.5,9461,1483,44.5,68.4,19.4,8.2,13.6,1.43
follow,30,0.75,9461,1483,17.5,35.1,24,11,13.6,1.77
follow,45,0.25,6488,948,83.9,93.7,14,5.4,12.7,1.1
follow,45,0.5,6488,948,51.5,74.5,17.4,7.1,12.7,1.37
follow,45,0.75,6488,948,22.1,42.6,21.9,9.7,12.7,1.72
follow,60,0.25,4755,645,86,94.9,13,4.7,11.9,1.09
follow,60,0.5,4755,645,56.3,79.5,16.1,6,11.9,1.35
follow,60,0.75,4755,645,26.2,47,19.6,8.9,11.9,1.64
follow,90,0.25,2752,332,87.9,98.2,11.9,1.8,10.8,1.1
follow,90,0.5,2752,332,62.4,82.5,13.8,5.3,10.8,1.28
follow,90,0.75,2752,332,31.8,50.6,16.1,8,10.8,1.5
follow,120,0.25,1773,181,89.5,98.3,10.1,1.6,9.3,1.09
follow,120,0.5,1773,181,65.5,86.7,11.9,3.8,9.3,1.28
follow,120,0.75,1773,181,34.6,51.4,13.2,7.1,9.3,1.42
