cls,norm,h,outcome,param,t
INDEX,atr,3,rng,binary,-2.6738532285770993
INDEX,atr,2,rng,binary,-2.231810589063655
FX/gold,atr,2,rng,depth_demeaned,-1.9626470527438913
INDEX,atr,3,ret,binary,-1.9275037173339344
FX/gold,atr,2,rng,depth_raw,-1.8883770096952994
FX/gold,atr,3,rng,depth_demeaned,-1.8283706020823989
FX/gold,atr,3,rng,depth_raw,-1.7974047665383694
FX/gold,atr,2,ret,depth_demeaned,-1.773634957608014
INDEX,atr,2,ret,binary,-1.7531532648363863
FX/gold,atr,2,ret,depth_raw,-1.7120427177849007
FX/gold,atr,3,ret,depth_raw,-1.6103001804089465
FX/gold,atr,3,ret,depth_demeaned,-1.607991656670739
INDEX,atr,1,ret,binary,-1.493787015304263
FX/gold,atr,1,ret,depth_demeaned,-1.4580030650449733
all,atr,2,ret,binary,-1.385930565754326
FX/gold,atr,1,rng,depth_demeaned,-1.3353830841772174
FX/gold,cvol,2,rng,depth_demeaned,-1.3081668998688656
all,cvol,2,rng,depth_demeaned,-1.3081668998688656
FX/gold,atr,1,ret,depth_raw,-1.2863342171868895
FX/gold,atr,1,rng,depth_raw,-1.2725537004663192
FX/gold,cvol,2,rng,depth_raw,-1.2597033067807568
all,cvol,2,rng,depth_raw,-1.2597033067807568
FX/gold,cvol,3,rng,depth_demeaned,-1.2586223969005417
all,cvol,3,rng,depth_demeaned,-1.2586223969005417
all,cvol,3,rng,depth_raw,-1.2042627117501599
FX/gold,cvol,3,rng,depth_raw,-1.2042627117501599
INDEX,atr,1,ret,depth_demeaned,-1.1946720742821628
INDEX,atr,1,rng,binary,-1.1900123098577662
FX/gold,cvol,2,ret,depth_demeaned,-1.1339625836338583
all,cvol,2,ret,depth_demeaned,-1.1339625836338583
all,cvol,3,ret,depth_demeaned,-1.10786200745429
FX/gold,cvol,3,ret,depth_demeaned,-1.10786200745429
FX/gold,cvol,3,ret,depth_raw,-1.0989857132756333
all,cvol,3,ret,depth_raw,-1.0989857132756333
all,cvol,2,ret,depth_raw,-1.0969189912506698
FX/gold,cvol,2,ret,depth_raw,-1.0969189912506698
all,atr,2,rng,depth_demeaned,-1.0471819113736094
all,atr,2,ret,depth_demeaned,-1.0309016906082884
INDEX,atr,2,rng,depth_demeaned,-0.9702590246180582
all,atr,3,rng,depth_demeaned,-0.9309283632562212
all,atr,1,ret,binary,-0.914191114043147
all,atr,1,ret,depth_demeaned,-0.8850309430013669
INDEX,atr,3,rng,depth_demeaned,-0.8777926768906779
INDEX,atr,3,ret,depth_demeaned,-0.8757590646173413
all,atr,3,ret,depth_demeaned,-0.8689772387579795
all,atr,3,ret,binary,-0.8524368451398798
all,atr,2,ret,depth_raw,-0.8353515115150502
all,atr,2,rng,depth_raw,-0.8058500040638066
all,cvol,1,rng,depth_raw,-0.7655581049178505
FX/gold,cvol,1,rng,depth_raw,-0.7655581049178505
FX/gold,cvol,1,rng,depth_demeaned,-0.7408731463519621
all,cvol,1,rng,depth_demeaned,-0.7408731463519621
all,atr,1,rng,depth_demeaned,-0.7336407078093329
INDEX,atr,1,rng,depth_demeaned,-0.729013060379961
all,atr,3,ret,depth_raw,-0.720961391371874
all,atr,2,rng,binary,-0.7136644245960401
all,atr,1,ret,depth_raw,-0.7123490635508729
all,atr,3,rng,depth_raw,-0.7001575813849592
INDEX,atr,2,ret,depth_demeaned,-0.6912253539866521
all,cvol,1,ret,depth_demeaned,-0.6537885001908669
FX/gold,cvol,1,ret,depth_demeaned,-0.6537885001908669
FX/gold,atr,1,ret,binary,-0.6407197028088144
all,cvol,1,ret,depth_raw,-0.6017648422197588
FX/gold,cvol,1,ret,depth_raw,-0.6017648422197588
all,atr,1,rng,depth_raw,-0.5277142903823053
FX/gold,atr,2,ret,binary,-0.5159559769457351
all,atr,3,rng,binary,-0.4539497959560353
all,atr,1,rng,binary,-0.2336380938083267
FX/gold,atr,2,rng,binary,-0.19908318499037375
FX/gold,atr,1,rng,binary,-0.14316387974442688
FX/gold,atr,3,ret,binary,-0.13591713281907142
all,cvol,1,ret,binary,0.053726794435576423
FX/gold,cvol,1,ret,binary,0.053726794435576423
all,cvol,2,ret,binary,0.10675387243127958
FX/gold,cvol,2,ret,binary,0.10675387243127958
INDEX,atr,1,ret,depth_raw,0.18300425226343758
FX/gold,atr,3,rng,binary,0.1987556508551351
all,cvol,3,ret,binary,0.22688843887603685
FX/gold,cvol,3,ret,binary,0.22688843887603685
all,cvol,2,rng,binary,0.28494846751117336
FX/gold,cvol,2,rng,binary,0.28494846751117336
all,cvol,1,rng,binary,0.33336406137871805
FX/gold,cvol,1,rng,binary,0.33336406137871805
INDEX,atr,2,ret,depth_raw,0.5651249050575886
INDEX,atr,1,rng,depth_raw,0.5703423478708937
all,cvol,3,rng,binary,0.6195820942430207
FX/gold,cvol,3,rng,binary,0.6195820942430207
INDEX,atr,3,ret,depth_raw,0.7392521731735368
INDEX,atr,2,rng,depth_raw,0.7611907016075762
INDEX,atr,3,rng,depth_raw,0.9962806136105787
