decision,checkpointMin,threshold,nAliveWin,nAliveLoss,crossedPctWin,crossedPctLoss,lossRateIfCrossed,lossRateIfNotCrossed,baseLossRatePct,lift
fade,10,0.25,3711,2495,24.4,46.3,56.1,32.3,40.2,1.4
fade,10,0.5,3711,2495,6.5,17.3,64.3,37.3,40.2,1.6
fade,10,0.75,3711,2495,1.6,5.7,69.8,39.2,40.2,1.74
fade,20,0.25,3476,2328,32.7,62.7,56.2,27.1,40.1,1.4
fade,20,0.5,3476,2328,9.8,30.3,67.4,34.1,40.1,1.68
fade,20,0.75,3476,2328,2.5,11.6,75.4,37.8,40.1,1.88
fade,30,0.25,3239,2147,37.8,71.6,55.7,23.2,39.9,1.4
fade,30,0.5,3239,2147,12.8,39.3,67,31.6,39.9,1.68
fade,30,0.75,3239,2147,3.4,15.1,74.7,36.8,39.9,1.87
fade,45,0.25,2855,1864,43.1,79.5,54.6,19,39.5,1.38
fade,45,0.5,2855,1864,15.9,49.6,67.1,28.1,39.5,1.7
fade,45,0.75,2855,1864,4.2,21,76.5,35,39.5,1.94
fade,60,0.25,2498,1623,46.7,83.5,53.8,16.7,39.4,1.37
fade,60,0.5,2498,1623,18.7,56.1,66.1,26,39.4,1.68
fade,60,0.75,2498,1623,4.8,25,77.3,33.8,39.4,1.96
fade,90,0.25,1942,1266,51.5,87.8,52.6,14.1,39.5,1.33
fade,90,0.5,1942,1266,22.3,66,65.9,22.2,39.5,1.67
fade,90,0.75,1942,1266,6.3,34.6,78.1,31.3,39.5,1.98
fade,120,0.25,1522,950,54.7,90.9,50.9,11.1,38.4,1.33
fade,120,0.5,1522,950,24.8,71.6,64.3,19.1,38.4,1.67
fade,120,0.75,1522,950,7.4,39.4,76.8,29,38.4,2
fade,180,0.25,936,584,59.8,94.5,49.6,7.8,38.4,1.29
fade,180,0.5,936,584,29.7,80.8,62.9,14.5,38.4,1.64
fade,180,0.75,936,584,10.1,51,75.8,25.4,38.4,1.97
fade,240,0.25,553,308,63.1,96.1,45.9,5.6,35.8,1.28
fade,240,0.5,553,308,35.6,83.8,56.7,12.3,35.8,1.59
fade,240,0.75,553,308,14.1,56.8,69.2,21.9,35.8,1.93
fade,360,0.25,161,86,70.2,95.3,42.1,7.7,34.8,1.21
fade,360,0.5,161,86,40.4,91.9,54.9,6.8,34.8,1.58
fade,360,0.75,161,86,20.5,69.8,64.5,16.9,34.8,1.85
follow,10,0.25,8896,4959,25.3,39.9,46.7,31,35.8,1.31
follow,10,0.5,8896,4959,5.3,13.6,58.7,33.7,35.8,1.64
follow,10,0.75,8896,4959,1.1,4.3,68.2,35,35.8,1.9
follow,20,0.25,8423,4765,34.4,53.7,46.9,28.6,36.1,1.3
follow,20,0.5,8423,4765,8.4,20.9,58.5,32.8,36.1,1.62
follow,20,0.75,8423,4765,1.9,6.8,67.4,35,36.1,1.86
follow,30,0.25,7984,4607,40.2,61.4,46.8,27.2,36.6,1.28
follow,30,0.5,7984,4607,11.6,27,57.4,32.3,36.6,1.57
follow,30,0.75,7984,4607,2.6,9.7,68.3,34.8,36.6,1.87
follow,45,0.25,7426,4318,46.4,68.1,46.1,25.7,36.8,1.25
follow,45,0.5,7426,4318,15.5,34.1,56.1,31.2,36.8,1.53
follow,45,0.75,7426,4318,3.8,13,66.7,34.5,36.8,1.82
follow,60,0.25,6851,4047,51.3,73.2,45.7,24.5,37.1,1.23
follow,60,0.5,6851,4047,19.1,39.6,55.1,30.6,37.1,1.48
follow,60,0.75,6851,4047,5,15.2,64.3,34.5,37.1,1.73
follow,90,0.25,5839,3505,59.2,79,44.5,23.6,37.5,1.19
follow,90,0.5,5839,3505,24.9,46.9,53.1,29.8,37.5,1.42
follow,90,0.75,5839,3505,6.9,19.7,63.1,34.1,37.5,1.68
follow,120,0.25,5084,3094,63.8,83,44.2,22.3,37.8,1.17
follow,120,0.5,5084,3094,29,52.7,52.5,28.9,37.8,1.39
follow,120,0.75,5084,3094,8.8,23.6,61.9,33.8,37.8,1.64
follow,180,0.25,3839,2434,71.6,88.2,43.9,20.8,38.8,1.13
follow,180,0.5,3839,2434,36.6,62.2,51.9,27.4,38.8,1.34
follow,180,0.75,3839,2434,12,29.2,60.6,33.8,38.8,1.56
follow,240,0.25,2877,1938,77.9,91.8,44.3,20,40.2,1.1
follow,240,0.5,2877,1938,43.1,69,51.9,26.9,40.2,1.29
follow,240,0.75,2877,1938,14.9,34.8,61.1,34.1,40.2,1.52
follow,360,0.25,1519,1074,87,95.9,43.8,18.3,41.4,1.06
follow,360,0.5,1519,1074,56.2,79.4,50,24.9,41.4,1.21
follow,360,0.75,1519,1074,23.8,47.5,58.5,32.8,41.4,1.41
