combo,target_lag_h,ic_select,n_select
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+leg_hy_ig_credit_yahoo+usd_basket,12,0.4516224320370348,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+usd_basket,12,0.45151495312268475,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix,12,0.45137796656556717,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+leg_hy_ig_credit_yahoo,12,0.4510386043501721,12368
leg_discretionary_staples_yahoo+vix+leg_hy_ig_credit_yahoo+usd_basket,12,0.441045330894834,12368
leg_discretionary_staples_yahoo+vix+leg_hy_ig_credit_yahoo,12,0.4406468126368716,12368
leg_discretionary_staples_yahoo+vix,12,0.4372021767825523,12368
leg_discretionary_staples_yahoo+vix+usd_basket,12,0.43713527566630994,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo,12,0.4089433677285782,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+leg_hy_ig_credit_yahoo,12,0.4086431370981845,12368
jordan_composite_yahoo+vix+leg_hy_ig_credit_yahoo,15,0.40355996994239407,12368
jordan_composite_yahoo+vix,15,0.4032419131670233,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+usd_basket,12,0.4005285989306084,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+leg_hy_ig_credit_yahoo+usd_basket,12,0.40048056948556243,12368
leg_discretionary_staples_yahoo+leg_hy_ig_credit_yahoo,12,0.3877104815575062,12368
leg_discretionary_staples_yahoo+leg_hy_ig_credit_yahoo+usd_basket,12,0.3796974362019642,12368
leg_discretionary_staples_yahoo+usd_basket,12,0.3703430619712039,12368
jordan_composite_yahoo+vix+leg_hy_ig_credit_yahoo+usd_basket,12,0.3699009948792049,12368
jordan_composite_yahoo+vix+usd_basket,12,0.3694027543369978,12368
vix+leg_hy_ig_credit_yahoo,15,0.3685086448378453,12368
vix+leg_hy_ig_credit_yahoo+usd_basket,12,0.341933680630516,12368
vix+usd_basket,12,0.33340752302536225,12368
jordan_composite_yahoo+leg_hy_ig_credit_yahoo,15,0.3157601801227404,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.2877792199514275,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+usd_basket,6,0.2876710467958241,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff,6,0.28671407630842083,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.2866077910447749,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.27829072224317847,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.2779798514817983,12368
jordan_composite_yahoo+leg_hy_ig_credit_yahoo+usd_basket,12,0.2754177919520919,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+usd_basket,6,0.2747889560007638,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff,6,0.2747473026474249,12368
jordan_composite_yahoo+usd_basket,12,0.2692558152136162,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.24948087814206363,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.24890653593938628,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+usd_basket,6,0.2483448204713889,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff,6,0.2474909115094539,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.24160949076704147,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff,6,0.24089693197081233,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.23511663978238903,12368
vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.23460863895786502,12368
vix+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.23451627790267704,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+hy_ig_oas_diff+usd_basket,6,0.23430948068489796,12368
vix+hy_ig_oas_diff+usd_basket,6,0.2313740525831728,12368
vix+hy_ig_oas_diff,6,0.2311173805742477,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.21906124125875678,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff,6,0.21301051843607263,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.20906039348391417,12368
leg_discretionary_staples_yahoo+hy_ig_oas_diff+usd_basket,6,0.20106722466275828,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.17808288439242878,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.17798924780932418,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.17797165165560716,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.17790827021816724,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.17661498500575334,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.17654137133814093,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.17639607354388678,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng,3,0.17637863292128983,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.17597011190142184,12368
