key,label,group,resolution,status,best_lag_h,train_level_corr,full_level_corr,contemp_corr,n_test,ic,nw_t,p_null,hit,ic_h1,ic_h2,stable,verdict
leg_discretionary_staples_yahoo,XLY/XLP leg only,A,yahoo_daily,ok,12,0.6816,0.7658,0.7645,24734,0.3626,12.475,0.0,0.1628,0.3863,0.343,True,REAL
jordan_composite_yahoo,Jordan composite Z(IWM/SPY)+Z(XLY/XLP)+Z(HYG/LQD),A,yahoo_daily,ok,15,0.0896,0.3259,0.3247,24734,0.2854,8.564,0.0,0.2466,0.3119,0.2648,True,REAL
vix,VIX close (FRED VIXCLS),E,fred_daily,ok,45,0.0741,0.0902,0.0883,24734,-0.1185,-2.6,0.0393,0.5638,-0.1843,-0.045,True,REAL
fwd5y5y,5y5y forward breakeven (FRED T5YIFR),C,fred_daily,ok,60,-0.3624,-0.411,-0.4078,24734,0.0638,1.616,0.306,0.377,0.0778,0.0498,True,NO SIGNAL
oil_gold_ratio_oanda,"Oil/Gold ratio, Brent/XAU (OANDA)",G,oanda_m15,ok,60,-0.8118,-0.8099,-0.8086,24734,0.0601,0.623,0.3553,0.474,0.1262,0.0271,True,SPURIOUS-LOOKING-ONLY
hy_ig_oas_diff,HY-IG OAS spread (derived),B,fred_daily,ok,6,-0.7728,-0.7215,-0.7215,24734,-0.0587,-4.649,0.0107,0.1341,-0.07,-0.0528,True,REAL
nas_rvol,NAS100's own realized vol (OANDA-native VIX proxy),G,oanda_m15,ok,3,-0.0637,0.0185,0.0168,24720,0.0553,2.381,0.0053,0.4863,0.0548,0.058,True,REAL
oil,Brent BCO_USD (OANDA),D,oanda_m15,ok,60,-0.6521,-0.0579,-0.0505,24734,0.0494,0.544,0.4933,0.4581,0.1319,0.0126,False,NO SIGNAL
smallcap_largecap_oanda,US2000/SPX500 ratio (OANDA CFDs),B,oanda_m15,ok,60,-0.6891,-0.3615,-0.3527,24734,-0.0423,-0.84,0.5227,0.5174,-0.0064,-0.0782,False,NO SIGNAL
copper_gold_ratio_yahoo,Copper/Gold ratio HG=F / GC=F (Yahoo),D,yahoo_daily,ok,3,-0.6837,-0.739,-0.7389,24734,0.0378,2.302,0.0327,0.0585,0.0399,0.0382,True,REAL
leg_hy_ig_credit_yahoo,HYG/LQD leg only,A,yahoo_daily,ok,15,0.565,0.6275,0.6278,24734,0.034,1.893,0.3793,0.3082,0.1471,-0.0718,False,SPURIOUS-LOOKING-ONLY
hangseng,Hang Seng HK33_HKD (OANDA),F,oanda_m15,ok,3,0.7186,0.8467,0.8468,24728,0.0326,1.672,0.0473,0.3977,0.0378,0.0285,True,REAL
usd_basket,"USD basket (OANDA FX legs, signed avg)",D,oanda_m15,ok,12,-0.1567,-0.4953,-0.4946,24734,-0.0325,-0.388,0.3393,0.5192,-0.0151,-0.0446,False,NO SIGNAL
hy_oas,ICE BofA US HY OAS (FRED BAMLH0A0HYM2),B,fred_daily,ok,3,-0.8216,-0.7805,-0.7805,24734,-0.0304,-2.644,0.094,0.0683,-0.0233,-0.0384,True,SPURIOUS-LOOKING-ONLY
usb02y,OANDA USB02Y_USD bond CFD price,C,oanda_m15,ok,3,0.7093,0.7041,0.7038,24734,0.0246,-0.102,,0.4532,-0.0161,0.0531,False,SPURIOUS-LOOKING-ONLY
slope_2s10s,"2s10s slope, DGS10-DGS2 (FRED)",C,fred_daily,ok,45,0.7512,0.7949,0.7935,24734,0.024,0.824,,0.463,0.0759,-0.0198,False,SPURIOUS-LOOKING-ONLY
ig_oas,ICE BofA US IG OAS (FRED BAMLC0A0CM),B,fred_daily,ok,3,-0.8862,-0.854,-0.854,24734,-0.0229,-1.982,,0.048,-0.0461,-0.003,False,SPURIOUS-LOOKING-ONLY
usb10y,OANDA USB10Y_USD bond CFD price,C,oanda_m15,ok,3,0.3636,0.2746,0.2742,24734,0.0227,0.066,,0.4496,-0.0071,0.045,False,NO SIGNAL
nikkei,Nikkei JP225_USD (OANDA),F,oanda_m15,ok,3,0.8469,0.9278,0.928,24734,0.021,1.09,,0.4827,0.0033,0.0323,False,SPURIOUS-LOOKING-ONLY
