lag_h,train_level_corr,n,key
3,0.08778169580193043,45928,jordan_composite_yahoo
6,0.08840349269698596,45917,jordan_composite_yahoo
9,0.08892734019077204,45905,jordan_composite_yahoo
12,0.08932712522914064,45893,jordan_composite_yahoo
15,0.08950872638525234,45881,jordan_composite_yahoo
18,0.08925533951665672,45869,jordan_composite_yahoo
21,0.08870366798829414,45857,jordan_composite_yahoo
24,0.08851899440104505,45845,jordan_composite_yahoo
27,0.08781563923792991,45836,jordan_composite_yahoo
30,0.08715452837301828,45825,jordan_composite_yahoo
33,0.0865136321306889,45813,jordan_composite_yahoo
36,0.0858269330895138,45801,jordan_composite_yahoo
39,0.08507428029983408,45789,jordan_composite_yahoo
42,0.0843719985470614,45777,jordan_composite_yahoo
45,0.08375434759353387,45765,jordan_composite_yahoo
48,0.08334402625984146,45753,jordan_composite_yahoo
51,0.08234650311347218,45744,jordan_composite_yahoo
54,0.08109498176760396,45744,jordan_composite_yahoo
57,0.07984517446902302,45744,jordan_composite_yahoo
60,0.07862971883168347,45744,jordan_composite_yahoo
3,-0.6811322454385915,45928,leg_smallcap_largecap_yahoo
6,-0.6812250991888563,45917,leg_smallcap_largecap_yahoo
9,-0.6812968652592416,45905,leg_smallcap_largecap_yahoo
12,-0.6813859286152869,45893,leg_smallcap_largecap_yahoo
15,-0.6815005711904549,45881,leg_smallcap_largecap_yahoo
18,-0.6815748413356988,45869,leg_smallcap_largecap_yahoo
21,-0.6816727059603405,45857,leg_smallcap_largecap_yahoo
24,-0.6818130375864654,45845,leg_smallcap_largecap_yahoo
27,-0.6823023434119572,45836,leg_smallcap_largecap_yahoo
30,-0.6827782806225164,45825,leg_smallcap_largecap_yahoo
33,-0.683235397422059,45813,leg_smallcap_largecap_yahoo
36,-0.683714344235507,45801,leg_smallcap_largecap_yahoo
39,-0.6842082935160777,45789,leg_smallcap_largecap_yahoo
42,-0.6847449884283975,45777,leg_smallcap_largecap_yahoo
45,-0.6852241251617597,45765,leg_smallcap_largecap_yahoo
48,-0.6855398341743939,45753,leg_smallcap_largecap_yahoo
51,-0.6862130946311535,45744,leg_smallcap_largecap_yahoo
54,-0.687065326667569,45744,leg_smallcap_largecap_yahoo
57,-0.687919720606192,45744,leg_smallcap_largecap_yahoo
60,-0.6887699224570052,45744,leg_smallcap_largecap_yahoo
3,0.6809967034631081,45928,leg_discretionary_staples_yahoo
6,0.6813142507734233,45917,leg_discretionary_staples_yahoo
9,0.6815072750299337,45905,leg_discretionary_staples_yahoo
12,0.6816048464980157,45893,leg_discretionary_staples_yahoo
15,0.6814840553196594,45881,leg_discretionary_staples_yahoo
18,0.6808315406766601,45869,leg_discretionary_staples_yahoo
21,0.6798110102969939,45857,leg_discretionary_staples_yahoo
24,0.679021322385914,45845,leg_discretionary_staples_yahoo
27,0.6777840066410866,45836,leg_discretionary_staples_yahoo
30,0.6765621969477874,45825,leg_discretionary_staples_yahoo
33,0.675358094458025,45813,leg_discretionary_staples_yahoo
36,0.6741363766753676,45801,leg_discretionary_staples_yahoo
39,0.6728775182606056,45789,leg_discretionary_staples_yahoo
42,0.6716774837653179,45777,leg_discretionary_staples_yahoo
45,0.6705363983253354,45765,leg_discretionary_staples_yahoo
48,0.6700200794748234,45753,leg_discretionary_staples_yahoo
51,0.669242123494849,45744,leg_discretionary_staples_yahoo
54,0.6684434650390648,45744,leg_discretionary_staples_yahoo
57,0.6676459275353807,45744,leg_discretionary_staples_yahoo
60,0.6668869542337682,45744,leg_discretionary_staples_yahoo
3,0.564007506575825,45928,leg_hy_ig_credit_yahoo
6,0.5643997247026332,45917,leg_hy_ig_credit_yahoo
9,0.5647035416662779,45905,leg_hy_ig_credit_yahoo
12,0.5648921012046183,45893,leg_hy_ig_credit_yahoo
15,0.5649824898157106,45881,leg_hy_ig_credit_yahoo
18,0.5648518459802135,45869,leg_hy_ig_credit_yahoo
