combo,ic_select
vix +smallcap_largecap_oanda -slope_2s30s,-0.3977803290210093
jordan_composite_yahoo +xauusd_cvol -nzdjpy,0.3924511592456781
vix +smallcap_largecap_oanda -slope_2s10s,-0.3866460561256783
vix -xauusd_cvol +smallcap_largecap_oanda,-0.38571005276097253
vix +smallcap_largecap_oanda -leg_hy_ig_credit_yahoo,-0.37751789102261846
vix -xauusd_cvol +nzdjpy,-0.37003160672304
jordan_composite_yahoo +xauusd_cvol -smallcap_largecap_oanda,0.35062302647894905
vix -xauusd_cvol -leg_hy_ig_credit_yahoo,-0.3491153021294533
jordan_composite_yahoo -vix +xauusd_cvol,0.34674183138387266
jordan_composite_yahoo -vix -smallcap_largecap_oanda,0.34508946532236223
xauusd_cvol +leg_hy_ig_credit_yahoo -nzdjpy,0.34332068268818633
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo +nfci,-0.34259948742317575
jordan_composite_yahoo -smallcap_largecap_oanda +real10,0.3420690979484583
vix -slope_2s30s -leg_hy_ig_credit_yahoo,-0.3420428078632223
vix +smallcap_largecap_oanda -real10,-0.3416116561057209
jordan_composite_yahoo -vix -leg_smallcap_largecap_yahoo,0.3399178861949475
vix -nas_rvol -leg_hy_ig_credit_yahoo,-0.3394561622875388
vix -leg_hy_ig_credit_yahoo +leg_smallcap_largecap_yahoo,-0.3377083251906257
vix -leg_hy_ig_credit_yahoo -slope_2s10s,-0.3373195819015871
jordan_composite_yahoo +xauusd_cvol -nfci,0.337048798885695
vix -leg_hy_ig_credit_yahoo +nzdjpy,-0.33657318157590393
jordan_composite_yahoo +xauusd_cvol +be10,0.336396417116059
vix +smallcap_largecap_oanda -slope_2s5s,-0.33405815925729254
vix +smallcap_largecap_oanda,-0.3315253987855726
vix +smallcap_largecap_oanda +nzdjpy,-0.33143169358338126
vix +smallcap_largecap_oanda -slope_5s30s,-0.33061123699325434
vix -xauusd_cvol -slope_2s10s,-0.32960540039695263
jordan_composite_yahoo -smallcap_largecap_oanda +slope_2s10s,0.32958268264675206
vix -nas_rvol +smallcap_largecap_oanda,-0.32921735106877537
jordan_composite_yahoo +xauusd_cvol +nas_rvol,0.32865757429789505
jordan_composite_yahoo -smallcap_largecap_oanda +slope_2s30s,0.32830227199200923
vix -xauusd_cvol -slope_2s30s,-0.3269209042508142
leg_hy_ig_credit_yahoo +slope_2s10s -nfci,0.3265539887451094
jordan_composite_yahoo +fwd5y5y +xauusd_cvol,0.32632235411282284
leg_discretionary_staples_yahoo +jordan_composite_yahoo +xauusd_cvol,0.32553367042436127
vix -em_fx_basket -xauusd_cvol,-0.32524923731019323
jordan_composite_yahoo -smallcap_largecap_oanda -nfci,0.3239584342916778
leg_discretionary_staples_yahoo +xauusd_cvol +leg_hy_ig_credit_yahoo,0.3232716883524608
jordan_composite_yahoo +xauusd_cvol +real10,0.3232644350193597
xauusd_cvol +leg_hy_ig_credit_yahoo -nfci,0.323208725791629
vix -xauusd_cvol -nas_rvol,-0.32303604328800906
jordan_composite_yahoo +leg_hy_ig_credit_yahoo -nzdjpy,0.3229729552845533
vix -nas_rvol -slope_2s10s,-0.3219946355032911
jordan_composite_yahoo -vix +nas_rvol,0.3213848669940247
jordan_composite_yahoo +xauusd_cvol +leg_hy_ig_credit_yahoo,0.3202384221208792
jordan_composite_yahoo -vix +slope_2s30s,0.320101577830332
jordan_composite_yahoo +xauusd_cvol +slope_2s10s,0.31984726806248454
vix -nas_rvol -slope_2s30s,-0.31927898821018597
smallcap_largecap_oanda -slope_2s10s -be10,-0.3190033227705905
smallcap_largecap_oanda -slope_2s10s +nfci,-0.3187995737255448
vix +oil -leg_hy_ig_credit_yahoo,-0.3174065056883226
vix +smallcap_largecap_oanda -be10,-0.3173252087260142
slope_2s30s +leg_hy_ig_credit_yahoo -nfci,0.31732370861977893
jordan_composite_yahoo +xauusd_cvol,0.3159434269534022
vix +smallcap_largecap_oanda +xauusd_skew,-0.315602993192418
jordan_composite_yahoo +xauusd_cvol +slope_2s30s,0.3154636543356287
fwd5y5y +xauusd_cvol +leg_hy_ig_credit_yahoo,0.31513957714049556
jordan_composite_yahoo -smallcap_largecap_oanda +slope_2s5s,0.31505267478312016
vix -slope_2s30s -be10,-0.3149638248136037
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo -slope_2s10s,-0.31472600096273096
smallcap_largecap_oanda -slope_2s10s -real10,-0.3142334355895693
vix -slope_2s10s +leg_smallcap_largecap_yahoo,-0.3139506168879428
jordan_composite_yahoo +em_fx_basket +xauusd_cvol,0.3136243586310496
vix -slope_2s30s +nzdjpy,-0.31319251822048233
vix -xauusd_cvol -be10,-0.3128494673146188
jordan_composite_yahoo +xauusd_cvol -oil,0.3126976796219893
leg_discretionary_staples_yahoo +xauusd_cvol -smallcap_largecap_oanda,0.31266859335691244
smallcap_largecap_oanda -slope_2s30s -be10,-0.3121743656383683
vix -xauusd_cvol +oil,-0.31211592976037894
vix -slope_2s10s +nzdjpy,-0.3111572532225851
vix -slope_2s30s +leg_smallcap_largecap_yahoo,-0.31064862229833057
jordan_composite_yahoo -smallcap_largecap_oanda +leg_hy_ig_credit_yahoo,0.31059987063809424
jordan_composite_yahoo -vix -nzdjpy,0.3104726777473804
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo +slope_2s10s,0.3103822318691628
leg_hy_ig_credit_yahoo +slope_2s10s +be10,0.310173348706257
jordan_composite_yahoo -vix +leg_hy_ig_credit_yahoo,0.3097518740884612
leg_discretionary_staples_yahoo -smallcap_largecap_oanda +leg_hy_ig_credit_yahoo,0.3096801078646187
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo -be10,-0.30905393046277657
jordan_composite_yahoo +fwd5y5y -smallcap_largecap_oanda,0.3090009094067994
jordan_composite_yahoo -vix +slope_2s10s,0.30876023390106516
xauusd_cvol +leg_hy_ig_credit_yahoo +be10,0.30853582695255044
jordan_composite_yahoo -smallcap_largecap_oanda +be10,0.3083623341091213
jordan_composite_yahoo +slope_2s30s -nfci,0.30810929150702177
vix -slope_2s5s +nzdjpy,-0.30795297062015825
leg_hy_ig_credit_yahoo +slope_2s5s +be10,0.30790608803923986
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +slope_2s10s,0.30771962277903236
vix -leg_hy_ig_credit_yahoo -hy_oas,-0.3073481523293245
leg_discretionary_staples_yahoo -vix +xauusd_cvol,0.3071595277268162
jordan_composite_yahoo +nas_rvol +leg_hy_ig_credit_yahoo,0.30695335049263545
jordan_composite_yahoo +hy_oas +be10,0.3063566527352929
vix -leg_hy_ig_credit_yahoo -slope_2s5s,-0.30595116157107033
xauusd_cvol -smallcap_largecap_oanda +leg_hy_ig_credit_yahoo,0.3057168001609768
smallcap_largecap_oanda -slope_2s30s +nfci,-0.30540366772668787
vix -leg_hy_ig_credit_yahoo +xauusd_skew,-0.30437677580809896
xauusd_cvol +slope_2s10s -nzdjpy,0.30437351028881554
leg_hy_ig_credit_yahoo +slope_2s5s -nzdjpy,0.3043447391486168
vix -slope_2s30s -real10,-0.30430708651563837
fwd5y5y -smallcap_largecap_oanda +leg_hy_ig_credit_yahoo,0.3039415560085045
jordan_composite_yahoo +leg_hy_ig_credit_yahoo -nfci,0.3038686058969486
vix +smallcap_largecap_oanda +nfci,-0.3035349142504817
xauusd_cvol +leg_hy_ig_credit_yahoo +slope_2s10s,0.303401363780672
vix -xauusd_cvol,-0.3033783304528141
xauusd_cvol -smallcap_largecap_oanda +slope_2s10s,0.3032377424985385
xauusd_cvol +slope_2s10s -nfci,0.30269776375054674
jordan_composite_yahoo +xauusd_cvol +slope_2s5s,0.30242199537589454
jordan_composite_yahoo +slope_2s10s -nfci,0.30239845454573694
vix +nzdjpy -real10,-0.30236225075699563
smallcap_largecap_oanda -slope_2s30s -leg_hy_ig_credit_yahoo,-0.3021100410327776
leg_discretionary_staples_yahoo +xauusd_cvol +real10,0.3020662159016422
jordan_composite_yahoo +slope_2s30s +be10,0.30196749463988426
vix -xauusd_cvol +xauusd_skew,-0.30173283920642485
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo -real10,-0.3017052663920187
slope_2s30s +leg_hy_ig_credit_yahoo +be10,0.30169786018341554
jordan_composite_yahoo -smallcap_largecap_oanda -nzdjpy,0.30169196145150123
jordan_composite_yahoo -nzdjpy +real10,0.3016823375154462
leg_discretionary_staples_yahoo +slope_2s30s +leg_hy_ig_credit_yahoo,0.3013264966779631
leg_discretionary_staples_yahoo +xauusd_cvol +slope_2s10s,0.3007066433699419
vix -slope_5s30s -leg_hy_ig_credit_yahoo,-0.30047094503533484
vix -em_fx_basket -leg_hy_ig_credit_yahoo,-0.3004246007750581
leg_hy_ig_credit_yahoo +slope_2s10s -nzdjpy,0.300422897140903
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +hy_oas,0.29983418374552084
leg_discretionary_staples_yahoo -vix +leg_hy_ig_credit_yahoo,0.2997087169704513
vix -xauusd_cvol -real10,-0.29938164896448766
xauusd_cvol +slope_2s5s -nzdjpy,0.29875134068781933
vix -xauusd_cvol -slope_2s5s,-0.2983430205273866
vix -slope_2s10s -be10,-0.2981822612390527
jordan_composite_yahoo +slope_2s30s +leg_hy_ig_credit_yahoo,0.2979694570412509
jordan_composite_yahoo +slope_2s10s +be10,0.29774874651445926
smallcap_largecap_oanda -slope_2s30s -real10,-0.29736025974703006
