pair,isTouches,isTraded,isWinRatePct,oosTouches,oosTraded,oosWinRatePct
EURUSD,777,468,47.6,489,284,51.8
GBPUSD,747,488,46.1,533,340,53.2
USDJPY,727,469,46.3,531,342,45.9
AUDUSD,847,589,49.1,538,382,50.5
USDCHF,876,579,45.6,565,390,48.2
EURAUD,839,554,48.9,579,363,49.9
EURCHF,904,624,55.3,565,392,52
AUDJPY,772,473,52.2,480,324,53.7
CADJPY,711,474,43.9,539,359,48.7
CHFJPY,760,497,50.9,539,367,54.2
GOLD,736,463,47.1,519,307,51.5
NQ,671,428,41.4,456,290,50.3
SPX,310,157,52.9,243,180,55.6
DOW,275,172,48.8,216,150,51.3
US2000,722,504,49.2,490,341,50.4
DE30,656,411,50.4,394,245,46.5
UK100,693,480,45.8,487,314,52.2
