pair,sessions,from,to,touchedDaysPct,upTouchPct,downTouchPct,nTouches
EURUSD,2757,2016-03-28,2026-08-20,22.5,11.6,11,1266
GBPUSD,2757,2016-03-28,2026-08-20,22.6,11.8,10.8,1280
USDJPY,2757,2016-03-28,2026-08-20,21.7,10.4,11.5,1258
AUDUSD,2757,2016-03-28,2026-08-20,24.2,12.5,11.8,1385
USDCHF,2757,2016-03-28,2026-08-20,24,11.8,12.2,1441
EURAUD,2757,2016-03-28,2026-08-20,23.8,12,11.9,1418
EURCHF,2757,2016-03-28,2026-08-20,20.9,10.5,10.4,1469
AUDJPY,2757,2016-03-28,2026-08-20,22.1,11.1,11.2,1252
CADJPY,2757,2016-03-28,2026-08-20,22.4,11.5,11.1,1250
CHFJPY,2757,2016-03-28,2026-08-20,20.4,10.2,10.4,1299
GOLD,2744,2016-03-29,2026-08-20,23.5,12.5,11.1,1255
NQ,2747,2016-03-29,2026-08-20,21.7,11,10.7,1127
SPX,1293,2021-08-30,2026-06-05,21.7,11.3,10.7,553
DOW,1293,2021-08-30,2026-06-05,19.9,10.4,9.5,491
US2000,2747,2016-03-29,2026-08-20,21.7,11.2,10.7,1212
DE30,2702,2016-03-30,2026-08-20,20.2,10.5,9.8,1050
UK100,2687,2016-03-30,2026-08-20,21,11.2,10,1180
