pair,level,n_touches,pct_mean_reversion,avg_fade_pnl_pips,total_fade_pnl_pips,p_value,significant
chfjpy,0.0,51,64.70588235294117,85.41764705882365,4356.300000000006,0.035691900116804565,True
eurcad,0.0,60,63.33333333333333,72.71833333333335,4363.100000000001,0.038867103812417314,True
cadjpy,0.0,50,62.0,52.83200000000008,2641.600000000004,0.08968602177036455,False
audchf,0.0,27,51.85185185185185,51.937037037036994,1402.2999999999988,0.8473896596867145,False
eurgbp,0.0,66,65.15151515151516,47.1621212121213,3112.7000000000057,0.0138230238203767,True
eurjpy,0.0,53,60.37735849056604,47.11132075471665,2496.8999999999824,0.1307970618068588,False
eurnzd,0.0,54,57.407407407407405,43.67407407407399,2358.3999999999955,0.2763029173374836,False
usdcad,0.0,62,56.451612903225815,28.793548387096596,1785.199999999989,0.3096289027306325,False
nzdjpy,0.0,53,50.943396226415096,24.683018867924556,1308.2000000000014,0.8907458009320663,False
eurusd,0.0,61,52.459016393442624,18.637704918032668,1136.8999999999928,0.7008964458564648,False
euraud,0.0,59,55.932203389830505,15.36101694915239,906.299999999991,0.3621255394916627,False
nzdusd,0.0,67,47.76119402985074,9.853731343283512,660.1999999999953,0.7139857956693814,False
usdchf,0.0,68,58.82352941176471,9.27500000000003,630.7000000000021,0.14561009539686687,False
audnzd,0.0,60,48.333333333333336,0.021666666666756148,1.3000000000053689,0.7962534147376392,False
usdjpy,0.0,55,54.54545454545454,-1.9145454545453917,-105.29999999999654,0.5001842570707948,False
audcad,0.0,66,50.0,-13.068181818181923,-862.5000000000069,1.0,False
audusd,0.0,69,49.275362318840585,-14.126086956521684,-974.6999999999962,0.9041774974987773,False
audjpy,0.0,46,45.65217391304348,-21.265217391304226,-978.1999999999944,0.5553463166714219,False
eurchf,0.0,62,48.38709677419355,-27.356451612903303,-1696.1000000000047,0.7994953618696921,False
gbpusd,0.0,58,50.0,-27.958620689655223,-1621.6000000000029,1.0,False
gbpcad,0.0,59,50.847457627118644,-31.769491525423692,-1874.3999999999978,0.8964169676673137,False
gbpchf,0.0,69,47.82608695652174,-47.30724637681165,-3264.200000000004,0.7179816667337768,False
gbpaud,0.0,55,43.63636363636363,-69.5727272727272,-3826.4999999999964,0.34523107177183987,False
gbpjpy,0.0,46,43.47826086956522,-130.84999999999988,-6019.099999999995,0.3763444934986553,False
gbpnzd,0.0,48,41.66666666666667,-137.89791666666653,-6619.099999999994,0.24821307898992417,False
