pair,base_n,base_full_sh,base_oos_sh,base_oos_n,g1_n,g1_full_sh,g1_oos_sh,g1_oos_n,g2_n,g2_full_sh,g2_oos_sh,g2_oos_n
eurusd,1715,-0.204,-0.91,686,414,0.077,-0.383,166,120,-0.051,0.75,48
gbpusd,1873,-0.674,-0.574,750,473,-0.311,-0.16,190,135,-0.155,-0.388,54
audusd,1727,-1.027,-0.329,691,469,-0.32,0.212,188,127,-0.269,0.071,51
nzdusd,1683,-0.714,-0.165,674,421,-0.575,-0.48,169,115,-0.769,-0.714,46
usdcad,1772,0.055,0.637,709,410,-0.147,-0.393,164,116,-0.222,-0.565,47
usdchf,1721,-0.953,-0.761,689,454,-0.329,-0.46,182,134,-0.013,-0.56,54
usdjpy,1850,-1.23,-1.53,740,458,-0.477,-1.145,184,125,-0.386,-0.496,50
eurjpy,1978,-0.396,-1.069,792,521,-0.444,-0.404,209,152,-0.275,-0.665,61
gbpjpy,2008,-0.947,-0.584,804,545,-0.485,-0.669,218,172,-0.201,-0.324,69
audjpy,1843,-0.599,-0.317,738,504,-0.565,-0.527,202,131,-0.411,-0.88,53
cadjpy,1807,-0.37,-0.149,723,435,-0.296,0.238,174,117,-0.109,-0.36,47
chfjpy,1940,-0.122,-0.779,776,521,0.095,-0.166,209,150,0.262,0.331,60
nzdjpy,1905,-1.038,-1.272,762,477,-0.317,-0.567,191,149,-0.089,0.312,60
eurgbp,1616,-0.66,-0.931,647,435,-0.33,0.025,174,116,0.411,-0.165,47
euraud,2019,-0.698,-0.466,808,524,-0.79,-1.09,210,137,-0.127,-0.281,55
eurcad,1880,-0.284,0.28,752,470,-0.47,0.6,188,143,-0.111,1.108,58
eurchf,1621,-0.371,-0.074,649,389,-0.12,-0.908,156,115,-0.349,-0.883,46
eurnzd,2081,-0.816,-0.189,833,552,-0.664,-1.374,221,163,-0.406,-0.942,66
audnzd,1804,-1.143,-0.953,722,563,-0.436,-0.045,226,148,-0.251,0.132,60
audcad,1790,-0.542,-0.713,716,494,-0.379,-0.373,198,132,-0.154,-0.454,53
audchf,737,-0.889,-1.455,295,204,-0.682,-1.342,82,57,-0.061,-1.016,23
gbpaud,2110,-0.871,-1.21,844,560,-0.573,-0.922,224,154,-0.452,-0.517,62
gbpcad,1973,-0.496,-0.949,790,488,-0.369,-0.838,196,133,-0.196,-0.651,54
gbpchf,1865,-0.513,-0.076,746,481,-0.151,-0.006,193,137,-0.435,0.105,55
gbpnzd,2130,-0.628,-0.36,852,575,-0.311,-0.755,230,161,0.123,0.017,65
gold,1229,-1.285,-1.869,492,297,-0.716,-1.342,119,87,-0.302,-0.845,35
