pair,nTrades,full_sharpe,full_sortino,full_win%,full_PF,full_maxDD,full_expectancy,IS_sharpe,IS_n,OOS_sharpe,OOS_n,OOS_win%,OOS_PF,buyhold_sharpe
eurusd,1715,-0.204,-0.015,50.8,0.965,-17.331,-0.0043,0.3,1029,-0.91,686,49.1,0.854,0.116
gbpusd,1873,-0.674,-0.048,48.7,0.893,-33.921,-0.0162,-0.74,1123,-0.574,750,49.7,0.906,-0.043
audusd,1727,-1.027,-0.077,47,0.834,-51.696,-0.0297,-1.547,1036,-0.329,691,49.5,0.944,0.041
nzdusd,1683,-0.714,-0.054,48,0.882,-39.011,-0.021,-1.135,1009,-0.165,674,49.4,0.971,-0.069
usdcad,1772,0.055,0.004,51.7,1.01,-9.189,0.001,-0.285,1063,0.637,709,53.3,1.116,0.017
usdchf,1721,-0.953,-0.07,48.5,0.847,-38.714,-0.0197,-1.111,1032,-0.761,689,49.6,0.875,-0.245
usdjpy,1850,-1.23,-0.087,47.4,0.807,-55.96,-0.0291,-1.027,1110,-1.53,740,46.1,0.779,0.31
eurjpy,1978,-0.396,-0.028,49.2,0.937,-30.119,-0.0088,0.058,1186,-1.069,792,47.6,0.842,0.39
gbpjpy,2008,-0.947,-0.066,47.4,0.855,-61.679,-0.0252,-1.17,1204,-0.584,804,49.6,0.909,0.204
audjpy,1843,-0.599,-0.044,48.9,0.901,-43.802,-0.0184,-0.781,1105,-0.317,738,49.5,0.948,0.264
cadjpy,1807,-0.37,-0.027,49.4,0.938,-33.924,-0.0101,-0.51,1084,-0.149,723,50.9,0.975,0.293
chfjpy,1940,-0.122,-0.009,50.1,0.98,-15.152,-0.0025,0.345,1164,-0.779,776,47.3,0.882,0.614
nzdjpy,1905,-1.038,-0.075,46.2,0.84,-57.639,-0.0298,-0.891,1143,-1.272,762,45.4,0.814,0.166
eurgbp,1616,-0.66,-0.051,48.5,0.885,-27.605,-0.0133,-0.527,969,-0.931,647,48.1,0.837,0.227
euraud,2019,-0.698,-0.048,49.5,0.891,-39.944,-0.015,-0.85,1211,-0.466,808,50.9,0.927,0.116
eurcad,1880,-0.284,-0.02,50.7,0.954,-24.074,-0.0054,-0.613,1128,0.28,752,53.2,1.048,0.103
eurchf,1621,-0.371,-0.028,51.1,0.934,-12.503,-0.0056,-0.61,972,-0.074,649,52.1,0.987,-0.274
eurnzd,2081,-0.816,-0.057,47.8,0.877,-37.439,-0.0172,-1.189,1248,-0.189,833,50.1,0.971,0.254
audnzd,1804,-1.143,-0.082,47.3,0.822,-32.477,-0.0178,-1.26,1082,-0.953,722,47.2,0.848,0.232
audcad,1790,-0.542,-0.04,50.2,0.911,-22.425,-0.0114,-0.426,1074,-0.713,716,48.6,0.886,0.013
audchf,737,-0.889,-0.064,48.6,0.854,-23.028,-0.0241,-0.463,442,-1.455,295,47.5,0.759,-0.148
gbpaud,2110,-0.871,-0.061,47.2,0.871,-46.062,-0.0197,-0.69,1266,-1.21,844,46.2,0.825,-0.044
gbpcad,1973,-0.496,-0.035,48.5,0.922,-26.201,-0.0106,-0.261,1183,-0.949,790,48.7,0.854,-0.068
gbpchf,1865,-0.513,-0.036,50.1,0.916,-24.272,-0.0112,-0.769,1119,-0.076,746,51.9,0.987,-0.305
gbpnzd,2130,-0.628,-0.043,48.9,0.905,-34.855,-0.0143,-0.778,1278,-0.36,852,49.9,0.945,0.085
gold,1229,-1.285,-0.106,48.3,0.751,-84.026,-0.068,-0.842,737,-1.869,492,46.1,0.676,0.818
