Instrument,Date,Return %,MAE %
gbpusd,2016-03-25,0.12616,0.03445
audusd,2016-03-25,-0.1009,0.20747
usdchf,2016-03-25,-0.03685,0.14555
usdjpy,2016-03-25,-0.07103,0.2642
eurjpy,2016-03-25,-0.11043,0.24096
chfjpy,2016-03-25,0.20863,0.08795
nzdjpy,2016-03-25,0.17164,0.22218
eurnzd,2016-03-25,-0.02359,0.12653
audnzd,2016-03-25,0.10206,0.05421
audcad,2016-03-25,0.08421,0.06743
gbpaud,2016-03-25,-0.04889,0.19888
gbpnzd,2016-03-25,0.29447,0.18318
nzdusd,2016-03-27,0.27935,0.03493
eurjpy,2016-03-27,-0.11773,0.11431
chfjpy,2016-03-27,0.00892,0.01274
eurnzd,2016-03-27,0.17881,0.06062
audnzd,2016-03-27,-0.00835,0.13519
audcad,2016-03-27,-0.06739,0.06448
eurusd,2016-03-28,-0.02078,0.17839
gbpusd,2016-03-28,-0.45462,0.34075
audusd,2016-03-28,-0.54186,0.49155
usdcad,2016-03-28,-0.20915,0.26941
usdchf,2016-03-28,-0.31132,0.27408
cadjpy,2016-03-28,-0.34289,0.41029
nzdjpy,2016-03-28,-0.52146,0.58539
euraud,2016-03-28,-0.18568,0.36506
eurchf,2016-03-28,-0.06093,0.09662
audnzd,2016-03-28,0.33129,0.06557
audcad,2016-03-28,0.03414,0.17998
gbpaud,2016-03-28,-0.07776,0.24428
gbpcad,2016-03-28,-0.04049,0.35531
gbpchf,2016-03-28,-0.37503,0.32066
gbpnzd,2016-03-28,0.13796,0.16218
gold,2016-03-28,-0.31824,0.3389
eurusd,2016-03-29,0.28667,0.166
gbpusd,2016-03-29,0.42171,0.19186
audusd,2016-03-29,0.48019,0.28744
nzdusd,2016-03-29,-0.5709,0.36586
usdcad,2016-03-29,0.41499,0.13593
usdchf,2016-03-29,0.28014,0.02783
usdjpy,2016-03-29,-0.39938,0.33884
eurjpy,2016-03-29,0.32129,0.1404
gbpjpy,2016-03-29,-0.0622,0.30871
audjpy,2016-03-29,0.51831,0.18406
cadjpy,2016-03-29,0.04584,0.23666
chfjpy,2016-03-29,0.32888,0.03783
eurgbp,2016-03-29,0.02183,0.19301
euraud,2016-03-29,0.37927,0.3404
eurcad,2016-03-29,0.33618,0.06781
eurnzd,2016-03-29,-0.43789,0.42143
