instrument,date,R,MAE (R)
gbpusd,2016-03-25,0.2568,0.0701
audusd,2016-03-25,-0.1693,0.3481
usdchf,2016-03-25,-0.0874,0.3453
usdjpy,2016-03-25,-0.149,0.5543
eurjpy,2016-03-25,-0.2352,0.5131
chfjpy,2016-03-25,0.4423,0.1864
nzdjpy,2016-03-25,0.2413,0.3124
eurnzd,2016-03-25,-0.0367,0.1969
audnzd,2016-03-25,0.2262,0.1202
audcad,2016-03-25,0.2145,0.1717
gbpaud,2016-03-25,-0.0895,0.3642
gbpnzd,2016-03-25,0.4947,0.3077
nzdusd,2016-03-27,0.4564,0.0571
eurjpy,2016-03-27,-0.2728,0.2649
chfjpy,2016-03-27,0.0207,0.0296
eurnzd,2016-03-27,0.3133,0.1062
audnzd,2016-03-27,-0.0222,0.3594
audcad,2016-03-27,-0.1943,0.1859
eurusd,2016-03-28,-0.0652,0.5601
gbpusd,2016-03-28,-1.0289,0.7712
audusd,2016-03-28,-1.0246,0.9295
usdcad,2016-03-28,-0.4733,0.6097
usdchf,2016-03-28,-1.0384,0.9142
cadjpy,2016-03-28,-0.6127,0.7332
nzdjpy,2016-03-28,-0.8785,0.9862
euraud,2016-03-28,-0.4194,0.8245
eurchf,2016-03-28,-0.3273,0.519
audnzd,2016-03-28,0.9659,0.1912
audcad,2016-03-28,0.1032,0.544
gbpaud,2016-03-28,-0.1696,0.5327
gbpcad,2016-03-28,-0.0939,0.8236
gbpchf,2016-03-28,-1.0342,0.8843
gbpnzd,2016-03-28,0.2896,0.3405
gold,2016-03-28,-0.3753,0.3997
eurusd,2016-03-29,0.9587,0.5551
gbpusd,2016-03-29,0.9698,0.4412
audusd,2016-03-29,0.9729,0.5824
nzdusd,2016-03-29,-1.0231,0.6557
usdcad,2016-03-29,0.9735,0.3189
usdchf,2016-03-29,0.9579,0.0952
usdjpy,2016-03-29,-1.0284,0.8725
eurjpy,2016-03-29,0.9662,0.4222
gbpjpy,2016-03-29,-0.1325,0.6579
audjpy,2016-03-29,0.9753,0.3463
cadjpy,2016-03-29,0.0888,0.4586
chfjpy,2016-03-29,0.9638,0.1109
eurgbp,2016-03-29,0.067,0.5927
euraud,2016-03-29,0.9712,0.8716
eurcad,2016-03-29,0.967,0.195
eurnzd,2016-03-29,-1.027,0.9884
audnzd,2016-03-29,-1.0353,0.9703
audcad,2016-03-29,0.9628,0.5665
audchf,2016-03-29,0.9698,0.8475
gbpaud,2016-03-29,0.9717,0.4982
gbpcad,2016-03-29,0.9697,0.077
gbpchf,2016-03-29,0.1962,0.7332
gold,2016-03-29,0.9705,0.2518
eurusd,2016-03-30,-1.0379,0.996
gbpusd,2016-03-30,0.4197,0.8267
audusd,2016-03-30,-1.0239,0.6875
usdchf,2016-03-30,-1.0359,0.9845
usdjpy,2016-03-30,-0.2047,0.9508
