Date,Return %,MAE %
2016-01-04,0.66,-0.30
2016-01-05,-0.26,-1.24
2016-01-06,-0.33,-1.38
2016-01-07,-0.16,-1.17
2016-01-11,0.36,-0.78
2016-01-12,0.11,-0.59
2016-01-13,-0.55,-1.04
2016-01-14,-1.20,-2.12
2016-01-19,0.16,-0.89
2016-01-20,0.18,-0.49
2016-01-21,0.50,-0.68
2016-01-25,-0.14,-1.19
2016-01-26,-0.51,-0.76
2016-01-27,-0.11,-1.10
2016-01-28,0.01,-0.83
2016-02-01,-0.35,-0.76
2016-02-02,0.28,-0.43
2016-02-03,0.39,-0.53
2016-02-04,-0.40,-0.70
2016-02-08,0.14,-0.40
2016-02-09,0.26,-0.88
2016-02-10,0.93,-1.73
2016-02-11,0.08,-0.64
2016-02-16,0.67,-0.60
2016-02-17,-0.00,-0.43
2016-02-18,-0.79,-1.12
2016-02-22,0.25,-0.48
2016-02-23,0.14,-0.83
2016-02-24,0.38,-0.35
2016-02-25,0.24,-0.57
2016-02-29,0.24,-0.54
2016-03-01,0.04,-0.53
2016-03-02,0.15,-0.20
2016-03-03,0.35,-0.47
2016-03-07,0.08,-0.46
2016-03-08,-0.77,-1.06
2016-03-09,0.44,-0.78
2016-03-10,0.51,-0.35
2016-03-14,-0.28,-0.72
2016-03-15,0.00,-0.44
2016-03-16,-0.20,-0.64
2016-03-17,-0.31,-0.57
2016-03-21,0.41,-0.42
2016-03-22,-1.48,-1.58
2016-03-23,-0.15,-0.71
2016-03-28,0.18,-0.34
2016-03-29,-0.02,-0.42
2016-03-30,0.18,-0.46
2016-03-31,-1.03,-1.14
2016-04-04,0.24,-0.52
2016-04-05,-0.42,-0.72
2016-04-06,0.54,-0.23
2016-04-07,0.24,-0.46
2016-04-11,-0.37,-0.68
2016-04-12,0.01,-0.77
2016-04-13,-0.29,-0.68
2016-04-14,-0.01,-0.24
2016-04-18,0.91,-0.34
2016-04-19,0.03,-0.42
2016-04-20,0.09,-0.61
2016-04-21,-0.91,-1.01
2016-04-25,0.31,-0.35
2016-04-26,-0.32,-0.48
2016-04-27,0.46,-0.37
2016-04-28,0.18,-0.51
2016-05-02,-0.24,-0.47
2016-05-03,-0.46,-0.92
2016-05-04,0.27,-0.24
2016-05-05,0.22,-0.35
2016-05-09,-0.08,-0.53
2016-05-10,0.32,-0.23
2016-05-11,0.01,-0.59
2016-05-12,-0.36,-0.93
2016-05-16,-0.21,-0.42
2016-05-17,-0.42,-0.60
2016-05-18,-0.88,-0.91
2016-05-19,0.53,-0.13
2016-05-23,-0.46,-0.90
2016-05-24,-0.17,-0.38
2016-05-25,0.28,-0.29
2016-05-26,-0.14,-0.38
2016-05-31,-0.04,-0.18
2016-06-01,-0.24,-0.22
2016-06-02,1.05,-0.34
2016-06-06,-0.27,-0.51
2016-06-07,0.61,-0.21
2016-06-08,-0.25,-0.43
2016-06-09,-0.36,-0.71
2016-06-13,-0.07,-0.61
2016-06-14,0.23,-0.31
2016-06-15,0.14,-0.64
2016-06-16,0.04,-0.46
2016-06-20,-0.83,-1.09
2016-06-21,-0.19,-0.48
2016-06-22,0.03,-0.46
2016-06-23,0.76,-2.81
2016-06-27,0.25,-0.90
2016-06-28,0.68,-0.17
2016-06-29,-0.16,-0.64
2016-06-30,0.57,-0.24
2016-07-05,0.23,-0.27
2016-07-06,-0.15,-0.35
2016-07-07,0.39,-0.98
2016-07-11,-0.16,-0.47
2016-07-12,0.28,-0.38
2016-07-13,-0.62,-1.02
2016-07-14,-0.22,-0.49
2016-07-18,-0.20,-0.37
2016-07-19,-0.38,-0.69
2016-07-20,-0.08,-0.33
2016-07-21,-0.18,-0.39
2016-07-25,0.16,-0.21
2016-07-26,0.71,-0.19
2016-07-27,0.20,-0.22
2016-07-28,0.55,-0.33
2016-08-01,0.21,-0.40
2016-08-02,-0.21,-0.31
2016-08-03,0.18,-0.34
2016-08-04,-0.38,-0.79
2016-08-08,0.23,-0.20
2016-08-09,0.38,-0.17
2016-08-10,0.18,-0.25
2016-08-11,0.25,-0.36
2016-08-15,-0.10,-0.23
2016-08-16,-0.35,-0.45
2016-08-17,0.12,-0.14
2016-08-18,-0.55,-0.75
2016-08-22,0.41,-0.12
2016-08-23,-0.51,-0.64
2016-08-24,-0.47,-0.52
2016-08-25,0.42,-0.10
2016-08-29,-0.37,-0.46
2016-08-30,-0.20,-0.37
2016-08-31,0.02,-0.23
2016-09-01,0.60,-0.52
2016-09-06,0.05,-0.18
2016-09-07,-0.20,-0.27
2016-09-08,-0.65,-0.65
2016-09-12,-0.44,-0.58
2016-09-13,0.34,-0.24
2016-09-14,-0.30,-0.60
2016-09-15,-0.38,-0.66
2016-09-19,-0.08,-0.24
2016-09-20,0.42,-0.47
2016-09-21,0.65,-0.05
2016-09-22,-0.07,-0.21
2016-09-26,-0.37,-0.48
2016-09-27,-0.16,-0.31
2016-09-28,-0.26,-0.39
2016-09-29,0.25,-0.40
2016-10-03,-0.62,-0.86
2016-10-04,0.35,-0.13
2016-10-05,-0.65,-0.74
2016-10-06,0.45,-0.24
2016-10-10,-0.33,-0.47
2016-10-11,0.06,-0.29
2016-10-12,-0.29,-0.50
2016-10-13,-0.21,-0.73
2016-10-17,0.59,-0.15
2016-10-18,0.06,-0.48
2016-10-19,-0.03,-0.16
2016-10-20,0.02,-0.27
2016-10-24,0.15,-0.11
2016-10-25,-0.41,-0.52
2016-10-26,0.26,-0.21
2016-10-27,-0.28,-0.90
2016-10-31,0.13,-0.30
2016-11-01,0.44,-0.31
2016-11-02,-0.12,-0.72
2016-11-03,0.06,-0.56
2016-11-07,0.01,-0.11
2016-11-08,0.56,-2.87
2016-11-09,0.31,-0.07
2016-11-10,-0.71,-1.19
2016-11-14,0.36,-0.29
2016-11-15,-0.20,-0.52
2016-11-16,-0.18,-0.24
2016-11-17,-0.01,-0.50
2016-11-21,0.26,-0.06
2016-11-22,-0.83,-1.09
2016-11-23,-0.04,-0.34
2016-11-28,-0.47,-0.59
2016-11-29,-0.39,-0.60
2016-11-30,-0.57,-0.69
2016-12-01,-0.08,-0.54
2016-12-05,0.13,-0.11
2016-12-06,0.18,-0.28
2016-12-07,-0.14,-0.27
2016-12-08,0.15,-0.41
2016-12-12,0.11,-0.28
2016-12-13,0.20,-0.18
2016-12-14,-0.93,-1.29
2016-12-15,0.12,-0.23
2016-12-19,-0.39,-0.62
2016-12-20,0.19,-0.11
2016-12-21,-0.23,-0.35
2016-12-22,0.10,-0.15
2016-12-27,-0.09,-0.24
2016-12-28,0.05,-0.19
2016-12-29,0.16,-0.07
2017-01-03,0.57,-0.18
2017-01-04,0.47,-0.20
2017-01-05,-0.27,-0.41
2017-01-09,0.04,-0.33
2017-01-10,-0.18,-0.22
2017-01-11,0.18,-0.29
2017-01-12,-0.15,-0.29
2017-01-17,0.04,-0.28
2017-01-18,-0.29,-0.51
2017-01-19,0.14,-0.29
2017-01-23,0.02,-0.21
2017-01-24,-0.17,-0.49
2017-01-25,-0.34,-0.58
2017-01-26,-0.09,-0.51
2017-01-30,0.45,-0.20
2017-01-31,0.00,-0.45
2017-02-01,0.33,-0.31
2017-02-02,0.02,-0.54
2017-02-06,0.06,-0.23
2017-02-07,0.17,-0.21
2017-02-08,0.02,-0.21
2017-02-09,-0.33,-0.51
2017-02-13,0.22,-0.10
2017-02-14,-0.36,-0.55
2017-02-15,0.26,-0.03
2017-02-16,-0.03,-0.24
2017-02-21,-0.02,-0.20
2017-02-22,0.40,-0.08
2017-02-23,0.02,-0.40
2017-02-27,0.06,-0.23
2017-02-28,-0.18,-0.63
2017-03-01,-0.64,-0.68
2017-03-02,-0.40,-0.57
2017-03-06,-0.47,-0.47
2017-03-07,-0.42,-0.56
2017-03-08,-0.30,-0.34
2017-03-09,0.24,-0.33
2017-03-13,-0.21,-0.46
2017-03-14,0.08,-0.09
2017-03-15,0.24,-0.13
2017-03-16,0.12,-0.10
2017-03-20,0.16,-0.42
2017-03-21,0.20,-0.18
2017-03-22,-0.23,-0.34
