Trade Date,PnL ($),Risk ($)
2016-01-04,210.70,1000.00
2016-01-05,1175.20,1000.00
2016-01-06,1082.00,1000.00
2016-01-07,-751.60,1000.00
2016-01-11,-814.70,1000.00
2016-01-12,-459.00,1000.00
2016-01-13,-887.30,1000.00
2016-01-14,1743.10,1000.00
2016-01-19,1034.40,1000.00
2016-01-20,-609.10,1000.00
2016-01-21,-393.50,1000.00
2016-01-25,447.90,1000.00
2016-01-26,-553.10,1000.00
2016-01-27,-1345.40,1000.00
2016-01-28,-141.80,1000.00
2016-02-01,-27.90,1000.00
2016-02-02,0.70,1000.00
2016-02-03,1372.70,1000.00
2016-02-04,-761.90,1000.00
2016-02-08,131.20,1000.00
2016-02-09,-94.70,1000.00
2016-02-10,3896.60,1000.00
2016-02-11,-827.20,1000.00
2016-02-16,271.00,1000.00
2016-02-17,-211.50,1000.00
2016-02-18,-758.60,1000.00
2016-02-22,973.90,1000.00
2016-02-23,1657.80,1000.00
2016-02-24,35.60,1000.00
2016-02-25,-974.30,1000.00
2016-02-29,3.40,1000.00
2016-03-01,140.20,1000.00
2016-03-02,197.40,1000.00
2016-03-03,495.20,1000.00
2016-03-07,428.60,1000.00
2016-03-08,-1423.10,1000.00
2016-03-09,631.70,1000.00
2016-03-10,-200.30,1000.00
2016-03-14,-266.70,1000.00
2016-03-15,-138.50,1000.00
2016-03-16,44.10,1000.00
2016-03-17,-413.90,1000.00
2016-03-21,795.30,1000.00
2016-03-22,-2519.90,1000.00
2016-03-23,109.70,1000.00
2016-03-28,561.30,1000.00
2016-03-29,-655.80,1000.00
2016-03-30,616.00,1000.00
2016-03-31,-1477.90,1000.00
2016-04-04,1234.60,1000.00
2016-04-05,-604.90,1000.00
2016-04-06,1376.80,1000.00
2016-04-07,-503.10,1000.00
2016-04-11,50.00,1000.00
2016-04-12,-682.10,1000.00
2016-04-13,-727.20,1000.00
2016-04-14,155.40,1000.00
2016-04-18,1624.10,1000.00
2016-04-19,-99.40,1000.00
2016-04-20,682.60,1000.00
2016-04-21,-533.60,1000.00
2016-04-25,458.30,1000.00
2016-04-26,96.20,1000.00
2016-04-27,578.70,1000.00
2016-04-28,1158.40,1000.00
2016-05-02,174.30,1000.00
2016-05-03,-77.40,1000.00
2016-05-04,273.30,1000.00
2016-05-05,867.20,1000.00
2016-05-09,-58.10,1000.00
2016-05-10,635.70,1000.00
2016-05-11,-43.20,1000.00
2016-05-12,-291.10,1000.00
2016-05-16,-67.30,1000.00
2016-05-17,-654.60,1000.00
2016-05-18,-1417.30,1000.00
2016-05-19,263.10,1000.00
2016-05-23,-1183.90,1000.00
2016-05-24,-743.70,1000.00
2016-05-25,424.00,1000.00
2016-05-26,-285.50,1000.00
2016-05-31,-234.20,1000.00
2016-06-01,-5.30,1000.00
2016-06-02,2271.00,1000.00
2016-06-06,-434.80,1000.00
2016-06-07,1216.30,1000.00
2016-06-08,45.20,1000.00
2016-06-09,186.70,1000.00
2016-06-13,276.40,1000.00
2016-06-14,-264.40,1000.00
2016-06-15,1296.50,1000.00
2016-06-16,296.40,1000.00
2016-06-20,-1110.40,1000.00
2016-06-21,-400.20,1000.00
2016-06-22,-352.60,1000.00
2016-06-23,4927.50,1000.00
2016-06-27,-930.90,1000.00
2016-06-28,364.00,1000.00
2016-06-29,-357.20,1000.00
2016-06-30,1140.60,1000.00
2016-07-05,655.00,1000.00
2016-07-06,-386.50,1000.00
2016-07-07,-41.60,1000.00
2016-07-11,-709.00,1000.00
2016-07-12,443.70,1000.00
2016-07-13,-1597.60,1000.00
2016-07-14,-725.40,1000.00
2016-07-18,33.50,1000.00
2016-07-19,-1353.20,1000.00
2016-07-20,-145.80,1000.00
2016-07-21,-540.00,1000.00
2016-07-25,217.80,1000.00
2016-07-26,551.90,1000.00
2016-07-27,358.20,1000.00
2016-07-28,744.40,1000.00
2016-08-01,669.40,1000.00
2016-08-02,-345.20,1000.00
2016-08-03,219.10,1000.00
2016-08-04,-1209.10,1000.00
2016-08-08,273.70,1000.00
2016-08-09,725.10,1000.00
2016-08-10,-67.80,1000.00
2016-08-11,823.30,1000.00
2016-08-15,158.00,1000.00
2016-08-16,-517.50,1000.00
2016-08-17,212.80,1000.00
2016-08-18,-816.30,1000.00
2016-08-22,309.10,1000.00
2016-08-23,-800.10,1000.00
2016-08-24,-394.20,1000.00
2016-08-25,545.70,1000.00
2016-08-29,-526.60,1000.00
2016-08-30,-498.40,1000.00
2016-08-31,-217.20,1000.00
2016-09-01,717.40,1000.00
2016-09-06,2.80,1000.00
2016-09-07,-121.30,1000.00
2016-09-08,-379.50,1000.00
2016-09-12,-388.00,1000.00
2016-09-13,279.50,1000.00
2016-09-14,-492.00,1000.00
2016-09-15,-631.50,1000.00
2016-09-19,-66.60,1000.00
2016-09-20,648.60,1000.00
2016-09-21,492.50,1000.00
2016-09-22,27.00,1000.00
2016-09-26,-607.30,1000.00
2016-09-27,-388.00,1000.00
2016-09-28,-351.60,1000.00
2016-09-29,252.70,1000.00
2016-10-03,-1685.20,1000.00
2016-10-04,141.90,1000.00
2016-10-05,-931.20,1000.00
2016-10-06,853.20,1000.00
2016-10-10,-288.40,1000.00
2016-10-11,-113.40,1000.00
2016-10-12,210.10,1000.00
2016-10-13,-678.50,1000.00
2016-10-17,195.70,1000.00
2016-10-18,547.80,1000.00
2016-10-19,226.80,1000.00
2016-10-20,40.90,1000.00
2016-10-24,271.90,1000.00
2016-10-25,-214.10,1000.00
2016-10-26,157.40,1000.00
2016-10-27,-39.90,1000.00
2016-10-31,654.80,1000.00
2016-11-01,1186.40,1000.00
2016-11-02,-167.70,1000.00
2016-11-03,87.40,1000.00
2016-11-07,-55.80,1000.00
2016-11-08,1910.00,1000.00
2016-11-09,62.40,1000.00
2016-11-10,-467.90,1000.00
2016-11-14,260.90,1000.00
2016-11-15,352.90,1000.00
2016-11-16,-50.30,1000.00
2016-11-17,-315.10,1000.00
2016-11-21,43.50,1000.00
2016-11-22,-1376.70,1000.00
2016-11-23,-127.50,1000.00
2016-11-28,-910.30,1000.00
2016-11-29,-519.60,1000.00
2016-11-30,-838.40,1000.00
2016-12-01,97.90,1000.00
2016-12-05,61.70,1000.00
2016-12-06,685.70,1000.00
2016-12-07,-234.40,1000.00
2016-12-08,-358.60,1000.00
2016-12-12,-229.90,1000.00
2016-12-13,520.20,1000.00
2016-12-14,-1623.40,1000.00
2016-12-15,81.90,1000.00
2016-12-19,-1028.20,1000.00
2016-12-20,362.40,1000.00
2016-12-21,-228.40,1000.00
2016-12-22,202.30,1000.00
2016-12-27,-213.40,1000.00
2016-12-28,222.50,1000.00
2016-12-29,206.20,1000.00
2017-01-03,407.90,1000.00
2017-01-04,1158.20,1000.00
2017-01-05,-595.20,1000.00
2017-01-09,60.10,1000.00
2017-01-10,-249.20,1000.00
2017-01-11,727.90,1000.00
2017-01-12,-495.80,1000.00
2017-01-17,-134.40,1000.00
2017-01-18,-835.80,1000.00
2017-01-19,-258.30,1000.00
2017-01-23,-193.10,1000.00
2017-01-24,-816.10,1000.00
2017-01-25,-901.00,1000.00
2017-01-26,-327.10,1000.00
2017-01-30,1199.60,1000.00
2017-01-31,-834.10,1000.00
2017-02-01,874.70,1000.00
2017-02-02,-123.00,1000.00
2017-02-06,-180.70,1000.00
2017-02-07,533.80,1000.00
2017-02-08,88.20,1000.00
2017-02-09,-582.40,1000.00
2017-02-13,542.00,1000.00
2017-02-14,-702.40,1000.00
2017-02-15,484.40,1000.00
2017-02-16,-77.20,1000.00
2017-02-21,13.90,1000.00
2017-02-22,690.40,1000.00
2017-02-23,582.90,1000.00
2017-02-27,72.80,1000.00
2017-02-28,-1025.70,1000.00
2017-03-01,-937.90,1000.00
2017-03-02,-501.80,1000.00
2017-03-06,-668.60,1000.00
2017-03-07,-638.20,1000.00
2017-03-08,-363.30,1000.00
2017-03-09,-145.50,1000.00
2017-03-13,190.00,1000.00
2017-03-14,138.40,1000.00
2017-03-15,567.60,1000.00
2017-03-16,262.20,1000.00
2017-03-20,548.70,1000.00
2017-03-21,405.20,1000.00
2017-03-22,-111.40,1000.00
2017-03-23,56.70,1000.00
2017-03-27,144.70,1000.00
2017-03-28,302.00,1000.00
2017-03-29,-595.60,1000.00
2017-03-30,75.30,1000.00
2017-04-03,273.40,1000.00
2017-04-04,-835.20,1000.00
2017-04-05,-157.60,1000.00
2017-04-06,806.50,1000.00
2017-04-10,814.40,1000.00
2017-04-11,86.90,1000.00
2017-04-12,828.90,1000.00
2017-04-17,-37.90,1000.00
2017-04-18,-606.90,1000.00
2017-04-19,-284.50,1000.00
2017-04-20,67.90,1000.00
2017-04-24,-787.00,1000.00
2017-04-25,-154.60,1000.00
2017-04-26,-239.10,1000.00
2017-04-27,-64.30,1000.00
2017-05-01,-312.30,1000.00
2017-05-02,-352.00,1000.00
2017-05-03,-1660.50,1000.00
2017-05-04,-64.50,1000.00
2017-05-08,-627.40,1000.00
2017-05-09,569.20,1000.00
2017-05-10,213.50,1000.00
2017-05-11,394.30,1000.00
2017-05-15,248.90,1000.00
2017-05-16,1249.80,1000.00
2017-05-17,45.90,1000.00
2017-05-18,496.50,1000.00
2017-05-22,88.70,1000.00
2017-05-23,-108.40,1000.00
2017-05-24,4.70,1000.00
2017-05-25,774.90,1000.00
2017-05-30,71.30,1000.00
2017-05-31,-803.70,1000.00
2017-06-01,618.80,1000.00
2017-06-05,1131.20,1000.00
2017-06-06,-96.90,1000.00
2017-06-07,-179.60,1000.00
2017-06-08,-1089.40,1000.00
2017-06-12,-478.00,1000.00
2017-06-13,761.80,1000.00
2017-06-14,-1173.80,1000.00
2017-06-15,4.60,1000.00
2017-06-19,-34.00,1000.00
2017-06-20,-84.10,1000.00
2017-06-21,413.60,1000.00
2017-06-22,610.50,1000.00
2017-06-26,514.50,1000.00
2017-06-27,11.80,1000.00
2017-06-28,-747.80,1000.00
2017-06-29,-316.30,1000.00
2017-07-03,112.70,1000.00
2017-07-05,126.50,1000.00
2017-07-06,-684.10,1000.00
2017-07-10,-211.40,1000.00
2017-07-11,366.20,1000.00
2017-07-12,-97.20,1000.00
2017-07-13,952.30,1000.00
2017-07-17,497.00,1000.00
2017-07-18,-120.80,1000.00
2017-07-19,-193.60,1000.00
2017-07-20,512.70,1000.00
2017-07-24,-273.20,1000.00
2017-07-25,-260.00,1000.00
2017-07-26,378.80,1000.00
2017-07-27,192.50,1000.00
2017-07-31,-269.70,1000.00
2017-08-01,-376.70,1000.00
2017-08-02,-220.30,1000.00
2017-08-03,-586.70,1000.00
2017-08-07,252.10,1000.00
2017-08-08,1342.00,1000.00
2017-08-09,563.70,1000.00
2017-08-10,-83.90,1000.00
2017-08-14,-1064.70,1000.00
2017-08-15,-200.00,1000.00
2017-08-16,225.50,1000.00
2017-08-17,811.60,1000.00
2017-08-21,-269.60,1000.00
2017-08-22,270.50,1000.00
2017-08-23,-233.80,1000.00
2017-08-24,410.40,1000.00
2017-08-28,962.50,1000.00
2017-08-29,63.30,1000.00
2017-08-30,171.40,1000.00
2017-08-31,353.60,1000.00
2017-09-05,-300.50,1000.00
2017-09-06,620.70,1000.00
2017-09-07,198.10,1000.00
2017-09-11,-312.70,1000.00
2017-09-12,-124.70,1000.00
2017-09-13,-44.40,1000.00
2017-09-14,-190.80,1000.00
2017-09-18,180.70,1000.00
2017-09-19,136.50,1000.00
2017-09-20,-825.30,1000.00
