date,R,MAE (R)
2016-01-04,0.21,-0.25
2016-01-05,1.18,-0.35
2016-01-06,1.08,-0.21
2016-01-07,-0.75,-1.61
2016-01-11,-0.81,-0.97
2016-01-12,-0.46,-0.95
2016-01-13,-0.89,-0.95
2016-01-14,1.74,-0.04
2016-01-19,1.03,-0.13
2016-01-20,-0.61,-0.94
2016-01-21,-0.39,-0.59
2016-01-25,0.45,-0.01
2016-01-26,-0.55,-0.54
2016-01-27,-1.35,-1.51
2016-01-28,-0.14,-0.66
2016-02-01,-0.03,-0.49
2016-02-02,0.00,-0.30
2016-02-03,1.37,-0.03
2016-02-04,-0.76,-0.96
2016-02-08,0.13,-0.75
2016-02-09,-0.09,-0.74
2016-02-10,3.90,-0.17
2016-02-11,-0.83,-0.96
2016-02-16,0.27,-0.64
2016-02-17,-0.21,-0.61
2016-02-18,-0.76,-1.11
2016-02-22,0.97,-0.03
2016-02-23,1.66,-0.09
2016-02-24,0.04,-0.66
2016-02-25,-0.97,-1.12
2016-02-29,0.00,-0.18
2016-03-01,0.14,-0.83
2016-03-02,0.20,-0.23
2016-03-03,0.50,-0.78
2016-03-07,0.43,-0.32
2016-03-08,-1.42,-1.44
2016-03-09,0.63,-1.31
2016-03-10,-0.20,-0.45
2016-03-14,-0.27,-0.70
2016-03-15,-0.14,-0.54
2016-03-16,0.04,-0.56
2016-03-17,-0.41,-0.69
2016-03-21,0.80,-0.12
2016-03-22,-2.52,-2.60
2016-03-23,0.11,-0.74
2016-03-28,0.56,-0.41
2016-03-29,-0.66,-0.81
2016-03-30,0.62,-0.38
2016-03-31,-1.48,-1.59
2016-04-04,1.23,-0.12
2016-04-05,-0.60,-0.94
2016-04-06,1.38,-0.21
2016-04-07,-0.50,-0.88
2016-04-11,0.05,-0.28
2016-04-12,-0.68,-1.38
2016-04-13,-0.73,-1.21
2016-04-14,0.16,-0.15
2016-04-18,1.62,-0.48
2016-04-19,-0.10,-0.52
2016-04-20,0.68,-0.66
2016-04-21,-0.53,-0.67
2016-04-25,0.46,-0.47
2016-04-26,0.10,-0.02
2016-04-27,0.58,-0.72
2016-04-28,1.16,-0.02
2016-05-02,0.17,-0.08
2016-05-03,-0.08,-0.83
2016-05-04,0.27,-0.36
2016-05-05,0.87,-0.05
2016-05-09,-0.06,-0.37
2016-05-10,0.64,-0.18
2016-05-11,-0.04,-0.81
2016-05-12,-0.29,-0.73
2016-05-16,-0.07,-0.32
2016-05-17,-0.65,-0.82
2016-05-18,-1.42,-1.51
2016-05-19,0.26,-0.20
2016-05-23,-1.18,-1.21
2016-05-24,-0.74,-0.71
2016-05-25,0.42,-0.44
2016-05-26,-0.29,-0.69
2016-05-31,-0.23,-0.32
2016-06-01,-0.01,-0.03
2016-06-02,2.27,-0.31
2016-06-06,-0.43,-0.83
2016-06-07,1.22,-0.08
2016-06-08,0.05,-0.32
2016-06-09,0.19,-0.45
2016-06-13,0.28,-0.51
2016-06-14,-0.26,-0.56
2016-06-15,1.30,-0.09
2016-06-16,0.30,-0.73
2016-06-20,-1.11,-1.41
2016-06-21,-0.40,-0.66
2016-06-22,-0.35,-0.57
2016-06-23,4.93,-0.93
2016-06-27,-0.93,-1.63
2016-06-28,0.36,-0.23
2016-06-29,-0.36,-0.77
2016-06-30,1.14,-0.05
2016-07-05,0.66,-0.10
2016-07-06,-0.39,-0.44
2016-07-07,-0.04,-1.87
2016-07-11,-0.71,-0.72
2016-07-12,0.44,-0.51
2016-07-13,-1.60,-1.71
2016-07-14,-0.73,-0.74
2016-07-18,0.03,-0.18
2016-07-19,-1.35,-1.33
2016-07-20,-0.15,-0.50
2016-07-21,-0.54,-0.68
2016-07-25,0.22,-0.26
2016-07-26,0.55,-0.33
2016-07-27,0.36,-0.03
2016-07-28,0.74,-0.50
2016-08-01,0.67,-0.44
2016-08-02,-0.35,-0.33
2016-08-03,0.22,-0.66
2016-08-04,-1.21,-1.53
2016-08-08,0.27,-0.38
2016-08-09,0.73,-0.18
2016-08-10,-0.07,-0.48
2016-08-11,0.82,-0.45
2016-08-15,0.16,-0.07
2016-08-16,-0.52,-0.58
2016-08-17,0.21,-0.13
2016-08-18,-0.82,-1.10
2016-08-22,0.31,-0.23
2016-08-23,-0.80,-0.94
2016-08-24,-0.39,-0.50
2016-08-25,0.55,-0.14
2016-08-29,-0.53,-0.54
2016-08-30,-0.50,-0.70
2016-08-31,-0.22,-0.43
2016-09-01,0.72,-0.76
2016-09-06,0.00,-0.27
2016-09-07,-0.12,-0.26
2016-09-08,-0.38,-0.37
2016-09-12,-0.39,-0.54
2016-09-13,0.28,-0.30
2016-09-14,-0.49,-0.52
2016-09-15,-0.63,-0.77
2016-09-19,-0.07,-0.08
2016-09-20,0.65,-0.52
2016-09-21,0.49,-0.09
2016-09-22,0.03,-0.22
2016-09-26,-0.61,-0.68
2016-09-27,-0.39,-0.40
2016-09-28,-0.35,-0.50
2016-09-29,0.25,-0.22
2016-10-03,-1.69,-1.68
2016-10-04,0.14,-0.19
2016-10-05,-0.93,-1.06
2016-10-06,0.85,-0.08
2016-10-10,-0.29,-0.53
2016-10-11,-0.11,-0.50
2016-10-12,0.21,-0.12
2016-10-13,-0.68,-1.03
2016-10-17,0.20,-0.13
2016-10-18,0.55,-0.17
2016-10-19,0.23,-0.03
2016-10-20,0.04,-0.41
2016-10-24,0.27,-0.15
2016-10-25,-0.21,-0.40
2016-10-26,0.16,-0.13
2016-10-27,-0.04,-0.73
2016-10-31,0.65,-0.20
2016-11-01,1.19,-0.05
2016-11-02,-0.17,-0.85
2016-11-03,0.09,-0.63
2016-11-07,-0.06,-0.14
2016-11-08,1.91,-0.73
2016-11-09,0.06,-0.02
2016-11-10,-0.47,-0.67
2016-11-14,0.26,-0.07
2016-11-15,0.35,-0.20
2016-11-16,-0.05,-0.23
2016-11-17,-0.32,-0.98
2016-11-21,0.04,-0.11
2016-11-22,-1.38,-1.83
2016-11-23,-0.13,-0.58
2016-11-28,-0.91,-0.99
2016-11-29,-0.52,-0.83
2016-11-30,-0.84,-1.04
2016-12-01,0.10,-0.43
2016-12-05,0.06,-0.18
2016-12-06,0.69,-0.25
2016-12-07,-0.23,-0.41
2016-12-08,-0.36,-0.78
2016-12-12,-0.23,-0.46
2016-12-13,0.52,-0.02
2016-12-14,-1.62,-2.09
2016-12-15,0.08,-0.38
2016-12-19,-1.03,-1.03
2016-12-20,0.36,-0.17
2016-12-21,-0.23,-0.33
2016-12-22,0.20,-0.06
2016-12-27,-0.21,-0.22
2016-12-28,0.22,-0.07
2016-12-29,0.21,-0.11
2017-01-03,0.41,-0.27
2017-01-04,1.16,-0.04
2017-01-05,-0.60,-0.77
2017-01-09,0.06,-0.36
2017-01-10,-0.25,-0.23
2017-01-11,0.73,-0.19
2017-01-12,-0.50,-0.49
2017-01-17,-0.13,-0.48
2017-01-18,-0.84,-0.99
2017-01-19,-0.26,-0.57
