Trade Date,PnL ($),Risk ($)
2016-01-04,1112.90,1000.00
2016-01-05,-1691.60,1000.00
2016-01-06,-1740.50,1000.00
2016-01-07,432.50,1000.00
2016-01-11,1526.80,1000.00
2016-01-12,674.30,1000.00
2016-01-13,-210.80,1000.00
2016-01-14,-4146.90,1000.00
2016-01-19,-712.10,1000.00
2016-01-20,969.20,1000.00
2016-01-21,1385.10,1000.00
2016-01-25,-724.50,1000.00
2016-01-26,-456.80,1000.00
2016-01-27,1132.00,1000.00
2016-01-28,158.80,1000.00
2016-02-01,-675.40,1000.00
2016-02-02,567.10,1000.00
2016-02-03,-585.40,1000.00
2016-02-04,-37.60,1000.00
2016-02-08,139.70,1000.00
2016-02-09,615.70,1000.00
2016-02-10,-2039.40,1000.00
2016-02-11,989.50,1000.00
2016-02-16,1071.50,1000.00
2016-02-17,206.10,1000.00
2016-02-18,-821.40,1000.00
2016-02-22,-470.90,1000.00
2016-02-23,-1376.20,1000.00
2016-02-24,726.60,1000.00
2016-02-25,1461.40,1000.00
2016-02-29,472.00,1000.00
2016-03-01,-65.40,1000.00
2016-03-02,93.70,1000.00
2016-03-03,203.00,1000.00
2016-03-07,-266.70,1000.00
2016-03-08,-119.30,1000.00
2016-03-09,241.80,1000.00
2016-03-10,1219.30,1000.00
2016-03-14,-298.60,1000.00
2016-03-15,141.00,1000.00
2016-03-16,-450.40,1000.00
2016-03-17,-210.30,1000.00
2016-03-21,30.10,1000.00
2016-03-22,-438.80,1000.00
2016-03-23,-400.20,1000.00
2016-03-28,-194.70,1000.00
2016-03-29,616.70,1000.00
2016-03-30,-262.40,1000.00
2016-03-31,-589.00,1000.00
2016-04-04,-749.10,1000.00
2016-04-05,-231.70,1000.00
2016-04-06,-303.20,1000.00
2016-04-07,973.60,1000.00
2016-04-11,-780.70,1000.00
2016-04-12,705.10,1000.00
2016-04-13,148.90,1000.00
2016-04-14,-171.70,1000.00
2016-04-18,192.50,1000.00
2016-04-19,163.10,1000.00
2016-04-20,-496.90,1000.00
2016-04-21,-1293.90,1000.00
2016-04-25,154.70,1000.00
2016-04-26,-742.00,1000.00
2016-04-27,347.50,1000.00
2016-04-28,-788.60,1000.00
2016-05-02,-655.10,1000.00
2016-05-03,-849.60,1000.00
2016-05-04,268.20,1000.00
2016-05-05,-432.70,1000.00
2016-05-09,-95.10,1000.00
2016-05-10,3.30,1000.00
2016-05-11,59.70,1000.00
2016-05-12,-434.90,1000.00
2016-05-16,-352.00,1000.00
2016-05-17,-176.40,1000.00
2016-05-18,-341.00,1000.00
2016-05-19,800.00,1000.00
2016-05-23,262.10,1000.00
2016-05-24,394.40,1000.00
2016-05-25,143.60,1000.00
2016-05-26,11.20,1000.00
2016-05-31,155.50,1000.00
2016-06-01,-473.10,1000.00
2016-06-02,-168.10,1000.00
2016-06-06,-110.60,1000.00
2016-06-07,6.40,1000.00
2016-06-08,-550.70,1000.00
2016-06-09,-906.00,1000.00
2016-06-13,-423.10,1000.00
2016-06-14,721.00,1000.00
2016-06-15,-1018.40,1000.00
2016-06-16,-225.90,1000.00
2016-06-20,-552.90,1000.00
2016-06-21,21.20,1000.00
2016-06-22,409.40,1000.00
2016-06-23,-3413.50,1000.00
2016-06-27,1437.70,1000.00
2016-06-28,988.90,1000.00
2016-06-29,27.60,1000.00
2016-06-30,5.30,1000.00
2016-07-05,-197.10,1000.00
2016-07-06,88.80,1000.00
2016-07-07,822.30,1000.00
2016-07-11,391.90,1000.00
2016-07-12,123.90,1000.00
2016-07-13,357.20,1000.00
2016-07-14,286.50,1000.00
2016-07-18,-429.20,1000.00
2016-07-19,597.20,1000.00
2016-07-20,-19.90,1000.00
2016-07-21,186.40,1000.00
2016-07-25,106.00,1000.00
2016-07-26,877.00,1000.00
2016-07-27,36.80,1000.00
2016-07-28,356.50,1000.00
2016-08-01,-241.90,1000.00
2016-08-02,-76.00,1000.00
2016-08-03,131.70,1000.00
2016-08-04,451.20,1000.00
2016-08-08,179.90,1000.00
2016-08-09,37.20,1000.00
2016-08-10,418.20,1000.00
2016-08-11,-314.80,1000.00
2016-08-15,-358.70,1000.00
2016-08-16,-181.40,1000.00
2016-08-17,26.20,1000.00
2016-08-18,-277.00,1000.00
2016-08-22,519.90,1000.00
2016-08-23,-220.40,1000.00
2016-08-24,-551.10,1000.00
2016-08-25,284.80,1000.00
2016-08-29,-206.70,1000.00
2016-08-30,92.10,1000.00
2016-08-31,255.90,1000.00
2016-09-01,480.50,1000.00
2016-09-06,96.80,1000.00
2016-09-07,-281.10,1000.00
2016-09-08,-926.70,1000.00
2016-09-12,-493.60,1000.00
2016-09-13,401.50,1000.00
2016-09-14,-117.90,1000.00
2016-09-15,-122.90,1000.00
2016-09-19,-85.70,1000.00
2016-09-20,196.90,1000.00
2016-09-21,811.70,1000.00
2016-09-22,-162.70,1000.00
2016-09-26,-129.20,1000.00
2016-09-27,77.20,1000.00
2016-09-28,-166.20,1000.00
2016-09-29,238.70,1000.00
2016-10-03,452.20,1000.00
2016-10-04,563.00,1000.00
2016-10-05,-360.40,1000.00
2016-10-06,42.00,1000.00
2016-10-10,-364.40,1000.00
2016-10-11,226.20,1000.00
2016-10-12,-785.60,1000.00
2016-10-13,253.20,1000.00
2016-10-17,993.80,1000.00
2016-10-18,-431.70,1000.00
2016-10-19,-292.90,1000.00
2016-10-20,-2.70,1000.00
2016-10-24,35.50,1000.00
2016-10-25,-606.90,1000.00
2016-10-26,362.60,1000.00
2016-10-27,-525.30,1000.00
2016-10-31,-404.40,1000.00
2016-11-01,-306.40,1000.00
2016-11-02,-82.10,1000.00
2016-11-03,37.00,1000.00
2016-11-07,83.90,1000.00
2016-11-08,-787.90,1000.00
2016-11-09,559.90,1000.00
2016-11-10,-950.80,1000.00
2016-11-14,462.80,1000.00
2016-11-15,-747.50,1000.00
2016-11-16,-301.20,1000.00
2016-11-17,302.50,1000.00
2016-11-21,475.30,1000.00
2016-11-22,-276.10,1000.00
2016-11-23,39.70,1000.00
2016-11-28,-23.60,1000.00
2016-11-29,-265.10,1000.00
2016-11-30,-300.00,1000.00
2016-12-01,-251.10,1000.00
2016-12-05,205.00,1000.00
2016-12-06,-330.40,1000.00
2016-12-07,-49.00,1000.00
2016-12-08,661.10,1000.00
2016-12-12,455.30,1000.00
2016-12-13,-120.80,1000.00
2016-12-14,-229.90,1000.00
2016-12-15,162.60,1000.00
2016-12-19,253.60,1000.00
2016-12-20,20.60,1000.00
2016-12-21,-241.40,1000.00
2016-12-22,-9.60,1000.00
2016-12-27,40.40,1000.00
2016-12-28,-130.70,1000.00
2016-12-29,104.50,1000.00
2017-01-03,729.30,1000.00
2017-01-04,-225.80,1000.00
2017-01-05,65.00,1000.00
2017-01-09,25.70,1000.00
2017-01-10,-115.50,1000.00
2017-01-11,-359.80,1000.00
2017-01-12,192.50,1000.00
2017-01-17,218.40,1000.00
2017-01-18,259.20,1000.00
2017-01-19,535.20,1000.00
2017-01-23,232.80,1000.00
2017-01-24,483.50,1000.00
2017-01-25,217.50,1000.00
2017-01-26,150.00,1000.00
2017-01-30,-299.80,1000.00
2017-01-31,839.50,1000.00
2017-02-01,-210.20,1000.00
2017-02-02,164.40,1000.00
2017-02-06,303.20,1000.00
2017-02-07,-184.80,1000.00
2017-02-08,-41.50,1000.00
2017-02-09,-68.70,1000.00
2017-02-13,-110.40,1000.00
2017-02-14,-22.90,1000.00
2017-02-15,25.70,1000.00
2017-02-16,26.10,1000.00
2017-02-21,-55.00,1000.00
2017-02-22,112.70,1000.00
2017-02-23,-536.70,1000.00
2017-02-27,49.80,1000.00
2017-02-28,663.60,1000.00
2017-03-01,-343.10,1000.00
2017-03-02,-289.50,1000.00
2017-03-06,-276.80,1000.00
2017-03-07,-208.00,1000.00
2017-03-08,-244.10,1000.00
2017-03-09,625.20,1000.00
2017-03-13,-605.50,1000.00
