kind,events,mean_r_long,mean_r_short,best_dir_mean_r,median_wick_atr,median_conf
m15_swing_high,39219,-0.2203241117078227,-0.2553071556406104,-0.2203241117078227,0.365874949870441,6.0
m15_swing_low,37807,-0.2357761663826053,-0.2298290801250883,-0.2298290801250883,0.38041455352003856,6.0
round_10,16764,-0.1596862280507489,-0.18485921779066775,-0.1596862280507489,0.35097563186498903,6.0
h1_swing_high,8875,-0.20450601053522394,-0.24867502461973098,-0.20450601053522394,0.433850645959636,7.0
dopen,8632,-0.25311185474685566,-0.267708703681054,-0.25311185474685566,0.38225417049663213,6.0
pdc,8500,-0.2515199569079595,-0.27081407455501827,-0.2515199569079595,0.39242706944241373,6.0
h1_swing_low,8464,-0.2280910547499957,-0.210132642651697,-0.210132642651697,0.4372737865258668,7.0
d1_poc,7649,-0.2529686239428373,-0.23911060328654238,-0.23911060328654238,0.33122957232572325,7.0
d1_vah,7543,-0.21433953636810288,-0.2668385420687525,-0.21433953636810288,0.3488379927122098,6.0
d1_val,7291,-0.22814478367535054,-0.25008964720573046,-0.22814478367535054,0.3595650413117293,7.0
pd_mid,7047,-0.24950451486425243,-0.24184167961521028,-0.24184167961521028,0.34879573981161655,7.0
d1_cam_r1,6931,-0.2578489533697978,-0.26160021581388954,-0.2578489533697978,0.34044042847791167,5.0
m15_fvg_bull,6864,-0.2024520235038246,-0.24557556662736774,-0.2024520235038246,0.042083835519758424,5.0
d1_cam_s1,6827,-0.27319391191239806,-0.24741392070103144,-0.24741392070103144,0.33365284993025623,6.0
m15_fvg_bear,6193,-0.2492916153125526,-0.2163511987131662,-0.2163511987131662,0.02491105714852602,5.0
d1_pp,6158,-0.26076585967876786,-0.25362068267324656,-0.25362068267324656,0.3200476187302609,7.0
pdh,6094,-0.19468996342820238,-0.2718150044521604,-0.19468996342820238,0.4107530882322482,7.0
d1_cam_r2,5989,-0.2251068266357281,-0.27987389960283443,-0.2251068266357281,0.33268633766213473,5.0
asia_mid,5845,-0.23788416502292078,-0.24951804012984977,-0.23788416502292078,0.3649430013861803,6.0
d1_cam_s2,5820,-0.2556937722697419,-0.25191370354121956,-0.25191370354121956,0.34315690077164435,5.0
london_mid,5653,-0.2326133343262681,-0.20784772314636363,-0.20784772314636363,0.37845736273891695,7.0
pdl,5616,-0.2262431569684177,-0.2312289119541727,-0.2262431569684177,0.4031749870650184,7.0
d1_cam_r3,5155,-0.22000451543593574,-0.2719928762506787,-0.22000451543593574,0.3325350493025388,5.0
asia_high,5153,-0.2645912428672342,-0.21491144469141427,-0.21491144469141427,0.3961402871756537,7.0
d1_cam_s3,4963,-0.24347520972077077,-0.2462960841918568,-0.24347520972077077,0.3441834614659371,5.0
asia_low,4903,-0.24261104176888482,-0.23363694427755297,-0.23363694427755297,0.40855441506674334,7.0
london_high,4881,-0.19585458975198683,-0.23969806444979463,-0.19585458975198683,0.40040338389116364,7.0
london_low,4666,-0.2195828649297842,-0.2140106403262694,-0.2140106403262694,0.43643903469778167,7.0
m15_ob_bear,4245,-0.23798044245881328,-0.21065417626328917,-0.21065417626328917,-0.11651807091511208,5.0
m15_ob_bull,4238,-0.21298594589567088,-0.22808740884989456,-0.21298594589567088,-0.04180555388718053,6.0
round_50,3913,-0.1353412010204801,-0.15527475583775585,-0.1353412010204801,0.3652163878330784,7.0
d1_r1,3566,-0.20610956596566518,-0.25770799557867696,-0.20610956596566518,0.35334944911358374,5.0
d1_s1,3338,-0.24098564679494133,-0.21462255512328166,-0.21462255512328166,0.3593373776002024,5.0
d1_cam_r4,3232,-0.2151805082987626,-0.24364585483341605,-0.2151805082987626,0.3469504374749174,5.0
d1_cam_s4,3094,-0.2621598402535699,-0.18782241297496619,-0.18782241297496619,0.3575700830818716,5.0
d1_npoc,2279,-0.257384222394177,-0.2301793079580208,-0.2301793079580208,0.36575704467669234,6.0
d1_r2,1870,-0.12701272180873763,-0.30883090362691945,-0.12701272180873763,0.3490729093262331,3.0
d1_s2,1694,-0.2535780464699406,-0.19218489416769738,-0.19218489416769738,0.35926464813369985,4.0
wopen,1494,-0.24110699059485782,-0.2370909263378297,-0.2370909263378297,0.37630900750764407,10.0
pwc,1487,-0.24404191886460216,-0.2332819995639969,-0.2332819995639969,0.38886250910337383,10.0
w1_pp,1258,-0.2560685538692105,-0.1908857239804983,-0.1908857239804983,0.34443245244553083,6.0
pw_mid,1123,-0.24752574989684656,-0.1940974328888323,-0.1940974328888323,0.3667438961343379,6.0
w1_vah,1119,-0.17083296337533166,-0.26734770868364266,-0.17083296337533166,0.34998436755084233,5.0
d1_r3,1115,-0.13593646814040652,-0.29916516769197604,-0.13593646814040652,0.3250146437596482,2.0
