time,entry_time,day,r,direction,sl_atr,tp_r,cell,r_bench,r_excess,fold
2020-06-18 00:00:00+00:00,2020-06-18 00:15:00+00:00,2020-06-18 00:00:00+00:00,-1.2688971152553417,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0821629849166876,0
2020-06-22 00:00:00+00:00,2020-06-22 00:15:00+00:00,2020-06-22 00:00:00+00:00,0.8365001140778932,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0232342444165472,0
2020-06-22 01:00:00+00:00,2020-06-22 01:15:00+00:00,2020-06-22 00:00:00+00:00,-1.1735584235272811,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9868242931886271,0
2020-06-24 00:00:00+00:00,2020-06-24 00:15:00+00:00,2020-06-24 00:00:00+00:00,-1.2225768753361372,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0358427449974832,0
2020-06-24 05:00:00+00:00,2020-06-24 05:15:00+00:00,2020-06-24 00:00:00+00:00,0.7818087684186479,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9685428987573019,0
2020-06-26 17:00:00+00:00,2020-06-26 17:15:00+00:00,2020-06-26 00:00:00+00:00,0.8750200456081341,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0617541759467881,0
2020-06-29 02:30:00+00:00,2020-06-29 02:45:00+00:00,2020-06-29 00:00:00+00:00,-1.1788174173185813,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9920832869799272,0
2020-07-02 01:45:00+00:00,2020-07-02 02:00:00+00:00,2020-07-02 00:00:00+00:00,0.7964890989252873,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9832232292639413,0
2020-07-02 07:30:00+00:00,2020-07-02 07:45:00+00:00,2020-07-02 00:00:00+00:00,0.7390111091270013,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9257452394656553,0
2020-07-09 01:45:00+00:00,2020-07-09 02:00:00+00:00,2020-07-09 00:00:00+00:00,0.7284139135921051,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9151480439307591,0
2020-07-09 04:00:00+00:00,2020-07-09 04:15:00+00:00,2020-07-09 00:00:00+00:00,-1.3281055818053082,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.1413714514666542,0
2020-07-12 22:00:00+00:00,2020-07-12 22:15:00+00:00,2020-07-12 00:00:00+00:00,-1.2055460100854598,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0188118797468058,0
2020-07-15 00:00:00+00:00,2020-07-15 00:15:00+00:00,2020-07-15 00:00:00+00:00,0.717386429423738,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.904120559762392,0
2020-07-15 01:15:00+00:00,2020-07-15 01:30:00+00:00,2020-07-15 00:00:00+00:00,0.7441536213381053,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9308877516767593,0
2020-07-15 02:00:00+00:00,2020-07-15 02:15:00+00:00,2020-07-15 00:00:00+00:00,0.7415951575514863,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9283292878901404,0
2020-07-19 22:15:00+00:00,2020-07-19 22:30:00+00:00,2020-07-19 00:00:00+00:00,0.7059111851779237,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.8926453155165778,0
2020-07-20 05:30:00+00:00,2020-07-20 05:45:00+00:00,2020-07-20 00:00:00+00:00,0.5956453254001282,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.7823794557387822,0
2020-07-20 06:15:00+00:00,2020-07-20 06:30:00+00:00,2020-07-20 00:00:00+00:00,-1.3734147579252762,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.1866806275866222,0
2020-07-21 06:00:00+00:00,2020-07-21 06:15:00+00:00,2020-07-21 00:00:00+00:00,-1.334700503999595,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.147966373660941,0
2020-07-23 04:15:00+00:00,2020-07-23 04:30:00+00:00,2020-07-23 00:00:00+00:00,0.8264415764727189,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.013175706811373,0
2020-07-23 05:00:00+00:00,2020-07-23 05:15:00+00:00,2020-07-23 00:00:00+00:00,0.8211825826814186,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0079167130200728,0
2020-07-28 14:45:00+00:00,2020-07-28 15:00:00+00:00,2020-07-28 00:00:00+00:00,0.9401507514456091,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.1268848817842632,0
2020-07-29 01:00:00+00:00,2020-07-29 01:15:00+00:00,2020-07-29 00:00:00+00:00,0.9091015660941919,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.095835696432846,0
2020-07-30 01:00:00+00:00,2020-07-30 01:15:00+00:00,2020-07-30 00:00:00+00:00,0.8868572776909197,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0735914080295739,0
2020-08-02 22:00:00+00:00,2020-08-02 22:15:00+00:00,2020-08-02 00:00:00+00:00,0.8660045725917587,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0527387029304127,0
2020-08-05 06:30:00+00:00,2020-08-05 06:45:00+00:00,2020-08-05 00:00:00+00:00,-1.1225173555454033,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9357832252067493,0
