kind,events,mean_r_long,mean_r_short,best_dir_mean_r,median_wick_atr,median_conf
round_10,8941,-0.0215294883823041,-0.0680567224724506,-0.0215294883823041,-0.23529498697425597,11.0
h1_swing_high,7679,-0.019856765877709192,-0.10398230305702942,-0.019856765877709192,-0.32482622629104124,13.0
h1_swing_low,7231,-0.038625014062943525,-0.08675113769729562,-0.038625014062943525,-0.3389524839950242,13.0
dopen,6560,-0.0526675163892333,-0.06486263834045282,-0.0526675163892333,-0.0465820782578341,15.0
pdc,6478,-0.056458703310618294,-0.06047228775026016,-0.056458703310618294,-0.054203574295433786,15.0
d1_poc,6389,-0.053776530082313555,-0.06974146982249199,-0.053776530082313555,-0.2272312362371192,16.0
d1_vah,6266,-0.02114544731780011,-0.10157953605064403,-0.02114544731780011,-0.25579465316766814,15.0
d1_val,6066,-0.05571916326326536,-0.06495094697576125,-0.05571916326326536,-0.2582200642634579,15.0
pd_mid,5310,-0.05036921490445359,-0.07221478929240085,-0.05036921490445359,-0.2209830610754772,17.0
pdh,4595,-0.017663068406823957,-0.10689048951672603,-0.017663068406823957,-0.26490090205124656,14.0
pdl,4231,-0.037159174258292765,-0.08962903953836839,-0.037159174258292765,-0.29883111298174553,14.0
london_mid,3747,-0.06913375914808641,-0.04724958514221504,-0.04724958514221504,0.24017238787724798,15.0
d1_cam_r1,3539,-0.030175033674344928,-0.08386251601398889,-0.030175033674344928,-0.06752350866531324,12.0
d1_cam_s1,3455,-0.05250603630201358,-0.05945249071590649,-0.05250603630201358,-0.045018475157419455,12.0
london_high,3322,-0.03389981537055556,-0.08507380694189812,-0.03389981537055556,-0.09187438651974761,15.0
asia_mid,3294,-0.04860677223915407,-0.06742887302846798,-0.04860677223915407,-0.07718250791247341,17.0
london_low,3205,-0.0649836815354987,-0.06061550680850961,-0.06061550680850961,-0.10267013502744729,15.0
d1_pp,3124,-0.051772163112529614,-0.06009482636477033,-0.051772163112529614,-0.09190935199523227,15.0
d1_cam_r2,3069,-0.02814686002062663,-0.08419117412945687,-0.02814686002062663,-0.17237773076243632,13.0
d1_cam_s2,2988,-0.029710929730925574,-0.08526648528648112,-0.029710929730925574,-0.14542996042346373,13.0
asia_high,2985,-0.011627989283162955,-0.10878041809388322,-0.011627989283162955,-0.13955810960647666,15.0
asia_low,2824,-0.07275191021954648,-0.047964374808781615,-0.047964374808781615,-0.1673945745159896,15.0
d1_cam_r3,2657,-0.03297528126319501,-0.08114991430798237,-0.03297528126319501,-0.2268958653113435,12.0
d1_cam_s3,2535,-0.055267051662459585,-0.056056006297568066,-0.055267051662459585,-0.21586299429749645,13.0
round_50,2153,-0.01736170590268349,-0.06009277882418836,-0.01736170590268349,-0.26814881576884436,12.0
h4_swing_high,1960,-0.0010276599155955165,-0.1347011293033506,-0.0010276599155955165,-0.4239845690270569,12.0
