kind,events,mean_r_long,mean_r_short,best_dir_mean_r,median_wick_atr,median_conf
m15_swing_high,39160,-0.2606768071586714,-0.2870813015406939,-0.2606768071586714,-0.40651847171533184,6.0
m15_swing_low,37736,-0.23448325319962834,-0.3124738916411203,-0.23448325319962834,-0.4252607830969114,6.0
round_10,16749,-0.1893280512994251,-0.2136877145629035,-0.1893280512994251,-0.3793905208706405,6.0
h1_swing_high,8862,-0.2479451019646227,-0.3149728609355097,-0.2479451019646227,-0.47997717497910103,6.0
dopen,8615,-0.28341801885881224,-0.25834547097721033,-0.25834547097721033,-0.1574995896280155,5.0
pdc,8480,-0.2731392121671368,-0.27337506122374056,-0.2731392121671368,-0.16705984037284377,5.0
h1_swing_low,8450,-0.23739639736852294,-0.33538456304899633,-0.23739639736852294,-0.5108716028319388,7.0
d1_poc,7627,-0.27120663580823173,-0.2735666725199139,-0.27120663580823173,-0.36204952833842863,7.0
d1_vah,7520,-0.26312240088466443,-0.28333516684211124,-0.26312240088466443,-0.3816232667471514,6.0
d1_val,7275,-0.22669257756119573,-0.314390172062914,-0.22669257756119573,-0.39812593651751493,6.0
pd_mid,7033,-0.23763882962137708,-0.3044666413660095,-0.23763882962137708,-0.37637740342061327,6.0
d1_cam_r1,6907,-0.265456927407691,-0.28543665811566843,-0.265456927407691,-0.33267477861685446,5.0
m15_fvg_bull,6835,-0.06202017390273886,-0.20457684766055925,-0.06202017390273886,-0.6856589408576067,5.0
d1_cam_s1,6808,-0.25700071563464155,-0.2913720434842303,-0.25700071563464155,-0.31637503814714657,5.0
m15_fvg_bear,6165,-0.1816636477670146,-0.09514049593477725,-0.09514049593477725,-0.6605696710975449,5.0
d1_pp,6146,-0.2565840725933296,-0.297260935593655,-0.2565840725933296,-0.32356181878771484,6.0
pdh,6084,-0.25645278826571516,-0.3083923017436902,-0.25645278826571516,-0.4511184860499361,6.0
d1_cam_r2,5973,-0.3025313118077011,-0.2456084924539425,-0.2456084924539425,-0.3656055222127867,5.0
asia_mid,5835,-0.2596476937871802,-0.2757573767349094,-0.2596476937871802,-0.3626852144684335,6.0
