EUR/USD (EUU|6E) MO4N6 (0.20 DTE) vs 1.1426 (+0.0032) - Settles
Call		Put	Volatility	Open Interest
Chg	Prior	Settle	Strike	Settle	Prior	Chg	Settle	Prior	Chg	Call	Call Chg	Put	Put Chg
0.0694	0	0.0694	1.07	0	0	0	15.69	0.00	15.69	0	0	0	0
-0.0007	0.0651	0.0644	1.075	0	0	0	14.79	12.89	1.90	0	0	0	0
-0.0007	0.0601	0.0594	1.08	0	0	0	13.90	12.19	1.71	0	0	0	0
-0.0007	0.0551	0.0544	1.085	0	0	0	13.00	11.49	1.51	0	0	0	0
-0.0007	0.0501	0.0494	1.09	0	0	0	12.10	10.79	1.31	0	0	0	0
-0.0007	0.0451	0.0444	1.095	0	0	0	11.21	10.09	1.12	0	0	0	0
-0.0007	0.0401	0.0394	1.1	0	0	0	10.31	9.39	0.92	0	0	0	0
-0.0007	0.0351	0.0344	1.105	0	0	0	9.42	8.69	0.73	0	0	0	0
-0.0007	0.0301	0.0294	1.11	0	0	0	8.52	7.99	0.53	0	0	0	0
-0.0007	0.0251	0.0244	1.115	0	0	0	7.62	7.29	0.34	0	0	0	0
-0.0007	0.0201	0.0194	1.12	0	0	0	6.73	6.58	0.14	0	0	0	0
-0.0007	0.0176	0.0169	1.1225	0	0	0	6.28	6.23	0.05	0	0	48	0
-0.0007	0.0151	0.0144	1.125	0	0	0	5.83	5.88	-0.05	0	0	0	0
-0.0007	0.0126	0.0119	1.1275	0	0.0001	-0.0001	5.38	5.53	-0.15	0	0	0	0
-0.0008	0.0102	0.0094	1.13	0	0.0001	-0.0001	4.94	5.18	-0.25	0	0	73	0
-0.0008	0.0078	0.007	1.1325	0.0001	0.0002	-0.0001	4.49	4.81	-0.32	0	0	79	0
-0.0009	0.0055	0.0046	1.135	0.0003	0.0004	-0.0002	4.04	4.42	-0.38	1	0	439	317
-0.001	0.0035	0.0025	1.1375	0.0006	0.0009	-0.0003	3.49	4.27	-0.78	1	0	18	0
-0.0009	0.0018	0.0009	1.14	0.0015	0.0017	-0.0002	3.06	3.87	-0.81	12	4	16	10
-0.0006	0.0008	0.0002	1.1425	0.0033	0.0032	0.0001	2.95	3.85	-0.90	26	12	23	1
-0.0003	0.0003	0.0001	1.145	0.0056	0.0052	0.0004	3.29	3.90	-0.61	419	400	480	0
-0.0001	0.0001	0	1.1475	0.0081	0.0075	0.0006	3.63	3.52	0.12	0	0	41	0
0	0	0	1.15	0.0106	0.0099	0.0007	3.97	3.52	0.46	6	0	0	0
0	0	0	1.1525	0.0131	0.0124	0.0007	4.32	3.52	0.80	130	0	1	0
0	0	0	1.155	0.0156	0.0149	0.0007	4.66	3.52	1.14	66	0	0	0
0	0	0	1.1575	0.0181	0.0174	0.0007	5.00	3.52	1.48	0	0	0	0
0	0	0	1.16	0.0206	0.0199	0.0007	5.34	3.52	1.82	2	0	0	0
0	0	0	1.1625	0.0231	0.0224	0.0007	5.68	3.52	2.16	1	0	0	0
0	0	0	1.165	0.0256	0.0249	0.0007	6.02	3.52	2.51	0	0	0	0
0	0	0	1.1675	0.0281	0.0274	0.0007	6.36	3.52	2.85	0	0	0	0
0	0	0	1.17	0.0306	0.0299	0.0007	6.70	3.52	3.19	0	0	0	0
0	0	0	1.175	0.0356	0.0349	0.0007	7.38	3.52	3.87	0	0	1	0
0	0	0	1.18	0.0406	0.0399	0.0007	8.07	3.52	4.55	0	0	1	0
0	0	0	1.185	0.0456	0.0449	0.0007	8.75	3.52	5.23	0	0	0	0
0	0	0	1.19	0.0506	0.0499	0.0007	9.43	3.52	5.92	0	0	0	0
0	0	0	1.195	0.0556	0.0549	0.0007	10.11	3.52	6.60	0	0	0	0
0	0	0	1.2	0.0606	0.0599	0.0007	10.80	3.52	7.28	0	0	0	0
0	0	0	1.205	0.0656	0.0649	0.0007	11.48	3.52	7.96	0	0	0	0
0	0	0	1.21	0.0706	0.0699	0.0007	12.16	3.52	8.64	0	0	0	0
0	0	0	1.215	0.0756	0.0749	0.0007	12.84	3.52	9.33	0	0	0	0
0	0	0	1.22	0.0806	0.0799	0.0007	13.52	3.52	10.01	0	0	0	0
