instrument,calc,level,bucket,side,is_wr,oos_wr,is_net_r,oos_net_r,is_n,oos_n,new_vs_unconditioned
nq,cog,close_dn_75,low,follow,56.7,65.7,0.088,0.282,38,39,False
eurusd,cog,close_up_med,mid,follow,57.7,66.7,0.064,0.247,98,113,True
eurusd,cog,close_dn_75,low,follow,60.0,66.7,0.104,0.245,50,57,True
gold,cog,close_dn_75,low,fade,63.8,65.2,0.163,0.207,73,57,True
eurjpy,cog,close_dn_75,low,follow,58.9,65.4,0.038,0.183,67,60,True
nq,cog,close_up_75,mid,follow,55.9,59.5,0.073,0.156,238,266,False
nq,original,close_dn_med,low,follow,55.5,58.4,0.081,0.139,398,474,False
audjpy,cog,close_up_75,low,follow,65.0,61.5,0.186,0.128,38,37,True
nq,cog,close_dn_med,low,follow,55.4,56.9,0.066,0.106,432,466,False
usdjpy,cog,close_up_75,low,follow,63.6,58.3,0.178,0.095,56,49,False
eurjpy,original,proj_H_med,high,fade,61.1,61.1,0.092,0.089,43,50,True
gbpusd,cog,close_up_med,mid,follow,55.4,59.3,0.024,0.088,107,112,True
chfjpy,cog,close_up_75,low,fade,63.0,62.5,0.068,0.082,35,45,True
nq,cog,close_up_med,low,follow,53.8,55.7,0.032,0.081,490,484,False
nq,original,close_up_med,low,follow,53.5,55.4,0.041,0.081,428,470,False
cadjpy,cog,close_dn_med,low,follow,57.5,60.5,0.009,0.073,511,493,True
nq,original,close_up_75,mid,follow,58.6,53.7,0.146,0.047,162,203,False
nq,cog,close_up_75,low,follow,66.7,53.8,0.283,0.041,48,35,False
eurjpy,cog,close_up_med,mid,follow,57.1,58.1,0.007,0.04,98,98,True
audusd,original,close_up_med,low,follow,54.8,55.7,0.004,0.033,464,442,True
nq,cog,close_dn_75,mid,follow,56.2,53.3,0.081,0.032,250,279,False
gbpjpy,cog,close_dn_75,low,follow,60.0,58.7,0.067,0.032,64,58,True
nq,original,proj_H_75,mid,follow,51.7,52.7,0.012,0.029,100,134,True
nzdusd,cog,close_up_med,low,follow,56.1,56.2,0.023,0.029,528,519,True
nq,cog,proj_H_med,mid,follow,53.9,52.8,0.035,0.021,337,392,False
audjpy,original,close_dn_med,low,follow,59.6,56.4,0.079,0.019,424,435,True
gbpusd,cog,proj_L_75,mid,fade,55.0,55.7,0.015,0.017,186,204,True
audjpy,original,close_up_med,low,follow,58.0,56.2,0.044,0.014,411,440,True
nzdusd,cog,close_dn_75,low,fade,55.3,55.3,0.002,0.009,54,63,True
usdjpy,cog,close_dn_75,mid,follow,58.4,54.3,0.07,0.007,235,235,True
nzdusd,original,close_up_med,low,follow,55.5,55.0,0.01,0.006,443,443,True
