instrument,calc,level,bucket,side,is_wr,oos_wr,is_net_r,oos_net_r,is_n,oos_n,new_vs_unconditioned
usdjpy,original,close_up_75,low_convexity,follow,58.5,66.0,0.079,0.237,78,86,True
usdcad,original,close_dn_75,mid_convexity,follow,57.9,65.7,0.021,0.176,80,137,True
usdjpy,original,close_dn_75,mid_convexity,follow,61.9,61.5,0.145,0.16,137,143,True
gold,cog,proj_H_med,low_convexity,follow,60.9,63.2,0.098,0.158,76,105,True
audusd,original,close_up_75,high_convexity,follow,55.3,62.1,0.014,0.152,57,104,True
eurusd,original,close_up_med,high_convexity,follow,55.1,61.7,0.012,0.148,178,198,True
audusd,cog,close_up_75,high_convexity,follow,64.9,61.3,0.207,0.14,48,96,True
gbpusd,cog,open,low_convexity,follow,54.8,60.7,0.016,0.113,358,428,True
gbpusd,original,open,low_convexity,follow,54.8,60.7,0.016,0.113,358,428,True
eurusd,original,close_up_med,low_convexity,follow,57.3,60.0,0.066,0.111,154,183,True
usdchf,cog,close_dn_75,high_convexity,follow,60.9,60.3,0.089,0.104,61,99,True
eurusd,cog,close_up_med,high_convexity,follow,55.0,59.2,0.009,0.099,168,189,True
usdjpy,cog,close_dn_75,mid_convexity,follow,60.0,58.3,0.106,0.095,127,128,True
usdchf,original,proj_L_75,mid_convexity,follow,60.7,60.0,0.082,0.093,75,152,True
usdjpy,cog,close_up_75,mid_convexity,follow,63.3,57.7,0.172,0.08,113,134,False
audusd,original,proj_L_med,high_convexity,follow,57.4,58.4,0.055,0.079,83,155,True
eurusd,cog,proj_L_75,low_convexity,fade,64.1,56.8,0.2,0.051,47,56,True
usdchf,original,proj_L_med,high_convexity,follow,65.1,57.4,0.171,0.044,106,166,True
gbpusd,cog,proj_L_75,low_convexity,fade,57.9,56.8,0.069,0.039,43,52,True
audusd,cog,proj_L_med,high_convexity,follow,61.0,56.3,0.123,0.037,55,107,True
gbpusd,cog,proj_L_75,mid_convexity,fade,55.1,56.5,0.02,0.033,90,80,True
eurusd,original,close_dn_med,high_convexity,fade,59.9,55.9,0.106,0.028,204,195,True
usdcad,cog,close_dn_75,mid_convexity,follow,60.4,58.1,0.075,0.023,71,121,True
gbpusd,original,proj_L_med,low_convexity,follow,57.0,55.9,0.053,0.02,109,150,True
audusd,cog,close_up_med,high_convexity,follow,58.2,55.2,0.074,0.018,103,191,True
usdchf,original,close_dn_75,high_convexity,follow,66.0,56.0,0.189,0.018,65,109,True
gbpusd,cog,proj_H_75,mid_convexity,fade,60.8,55.2,0.135,0.012,91,83,True
usdjpy,cog,close_dn_75,low_convexity,follow,58.8,54.7,0.086,0.012,76,85,True
audusd,cog,close_dn_med,mid_convexity,follow,55.9,54.4,0.025,0.007,156,287,True
audusd,original,close_up_med,high_convexity,follow,56.2,54.6,0.031,0.006,109,200,True
