date,time,zone_id,tf,direction,score,entry,sl,tp1,tp2,sl_pips,tp1_pips,tp2_pips,rr,close_reason,close_price,pnl_pips,result,vu_components,vu_confidence,composition
2026-06-30,03:00:48,M30_long_3942_4019,M30,LONG,17.5,3966.7,3937.9,3995.5,4053.11,28.8,28.8,86.4,3.0,TP2_HIT,4053.95,87.2,WIN,2,MEDIUM,M30 long GP; M30 786 cluster; M30 886 cluster; M30 50pct cluster; M30 .886 @ 3969.4; M30 .886 @ 3969.4; M30 .886 @ 3969.4; M30 .886 @ 3969.4; M30 .886 @ 3969.4; M30 .5 @ 3972.3; M30 .5 @ 3972.3; M30 .5 @ 3972.3; M30 .5 @ 3972.3; M30 .5 @ 3972.3; Session H/L; HTF BULL; M30 .786 @ 3964.2; POC 3962.5; Daily open; M30 gp cluster; 4 impulse legs (4M30)
2026-06-30,18:59:16,M30_long_3942_4086_382,M30,LONG,31.0,4029.03,3989.03,4069.03,4149.03,40.0,40.0,120.0,3.0,EXPIRED,4006.99,-22.0,EXPIRED,2,MEDIUM,M30 long GP; H4 886 cluster; H4 886 cluster; M30 382 cluster; M30 382 cluster; M30 retest cluster; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; M30 .382 @ 4030.5; M30 .382 @ 4030.5; M30 .382 @ 4030.5; M30 .382 @ 4030.5; M30 .382 @ 4030.5; POC 4029.5; Daily open; HTF BULL; H4 long GP; M30 .382 @ 4030.9; M30 50pct cluster; M30 .5 @ 4039.5; 4 impulse legs (2H4+2M30)
2026-07-01,12:20:01,M30_long_4005_4086,M30,LONG,41.0,4027.38,4002.52,4052.24,4101.95,24.9,24.9,74.6,3.0,TP2_HIT,4102.84,75.5,WIN,2,MEDIUM,M30 long GP; H4 886 cluster; H4 886 cluster; M30 retest cluster; M30 382 cluster; M30 gp cluster; M30 gp cluster; M30 382 cluster; M30 gp cluster; M30 gp cluster; M30 50pct cluster; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4030.8; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; M30 .382 @ 4037.4; M30 .382 @ 4037.4; M30 .382 @ 4037.4; M30 .382 @ 4037.4; M30 .382 @ 4037.4; M30 .382 @ 4030.9; M30 .382 @ 4030.9; M30 .382 @ 4030.9; M30 .382 @ 4030.9; M30 .382 @ 4030.9; Daily open; HTF BULL; H4 long GP; M30 .5 @ 4042.9; M30 .5 @ 4040.5; 10 impulse legs (2H4+8M30)
2026-07-01,15:40:00,H4_long_4024_4589_886,H4,LONG,22.5,4080.66,4040.66,4120.66,4200.66,40.0,40.0,120.0,3.0,SL_HIT,4034.48,-46.2,LOSS,2,MEDIUM,H4 long GP; H4 786 cluster; H4 886 cluster; M30 786 cluster; M30 886 cluster; H4 .886 @ 4088.9; H4 .886 @ 4088.9; H4 .886 @ 4088.9; H4 .886 @ 4088.9; H4 .886 @ 4088.9; M30 .886 @ 4089.2; M30 .886 @ 4089.2; M30 .886 @ 4089.2; M30 .886 @ 4089.2; M30 .886 @ 4089.2; HTF BULL; H4 .886 @ 4088.2; H4 .786 @ 4082.2; H4 .786 @ 4083.6; M30 .786 @ 4083.2; H4 .786 @ 4080.9; H4 .786 @ 4095.1; Daily open; H4 .786 @ 4093.8; 6 impulse legs (6H4)
2026-07-02,05:25:02,M30_long_4039_4076_382,M30,LONG,26.0,4061.64,4037.1,4086.18,4135.25,24.5,24.5,73.6,3.0,TP2_HIT,4136.24,74.6,WIN,2,MEDIUM,M30 long GP; M30 gp cluster; M30 382 cluster; M30 50pct cluster; M30 382 cluster; M30 gp cluster; M30 786 cluster; M30 886 cluster; M30 .382 @ 4058.7; M30 .382 @ 4058.7; M30 .382 @ 4058.7; M30 .382 @ 4058.7; M30 .382 @ 4058.7; M30 .886 @ 4065.3; M30 .886 @ 4065.3; M30 .886 @ 4065.3; M30 .886 @ 4065.3; M30 .886 @ 4065.3; VAH; Daily open; HTF BULL; M30 .382 @ 4056.1; M30 .5 @ 4054.0; 2 impulse legs (2M30)
2026-07-02,15:00:04,H4_long_4024_4580_786,H4,LONG,14.05,4128.41,4088.41,4168.41,4248.41,40.0,40.0,120.0,3.0,EXPIRED,4126.19,-2.2,EXPIRED,2,MEDIUM,H4 long GP; H4 786 cluster; H4 .786 @ 4146.0; H4 .786 @ 4146.0; H4 .786 @ 4146.0; H4 .786 @ 4146.0; H4 .786 @ 4146.0; VWAP anchor 4144.1 (LONDON 9d DOWN); H1 ascending TL (3t @ 4140.7); Session H/L; HTF BULL; H4 .786 @ 4142.9; 2 impulse legs (2H4)
2026-07-03,05:30:02,H4_long_3942_4580,H4,LONG,22.5,4175.35,4135.35,4215.35,4295.35,40.0,40.0,120.0,3.0,EXPIRED,4175.17,-0.2,EXPIRED,2,MEDIUM,H4 long GP; H4 gp cluster; M30 886 cluster; M30 886 cluster; M30 .886 @ 4174.6; M30 .886 @ 4174.6; M30 .886 @ 4174.6; M30 .886 @ 4174.6; M30 .886 @ 4174.6; M30 .886 @ 4174.1; M30 .886 @ 4174.1; M30 .886 @ 4174.1; M30 .886 @ 4174.1; M30 .886 @ 4174.1; Daily open; HTF BULL; POC 4180.0; Session H/L; 2 impulse legs (2H4)
2026-07-07,14:35:02,H4_long_4024_4595_786,H4,LONG,30.0,4151.47,4111.47,4191.47,4271.47,40.0,40.0,120.0,3.0,SL_HIT,4111.24,-40.2,LOSS,2,MEDIUM,H4 long GP; H4 786 cluster; M30 gp cluster; M30 gp cluster; M30 gp cluster; M30 gp cluster; M30 50pct cluster; M30 50pct cluster; M30 50pct cluster; M30 50pct cluster; H4 .786 @ 4142.9; H4 .786 @ 4142.9; H4 .786 @ 4142.9; H4 .786 @ 4142.9; H4 .786 @ 4142.9; M30 .5 @ 4147.8; M30 .5 @ 4147.8; M30 .5 @ 4147.8; M30 .5 @ 4147.8; M30 .5 @ 4147.8; M30 .5 @ 4147.1; M30 .5 @ 4147.1; M30 .5 @ 4147.1; M30 .5 @ 4147.1; M30 .5 @ 4147.1; M30 .5 @ 4143.3; M30 .5 @ 4143.3; M30 .5 @ 4143.3; M30 .5 @ 4143.3; M30 .5 @ 4143.3; HTF BULL; M30 382 cluster; H4 .786 @ 4146.0; M30 .382 @ 4139.5; 2 impulse legs (2H4)
2026-07-08,03:15:01,M30_long_4117_4195_786,M30,LONG,46.85,4128.86,4111.67,4146.05,4180.42,17.2,17.2,51.6,3.0,SL_HIT,4109.72,-19.1,LOSS,2,MEDIUM,M30 long GP; M30 382 cluster; M30 382 cluster; M30 382 cluster; M30 gp cluster; M30 886 cluster; M30 50pct cluster; M30 786 cluster; M30 .382 @ 4136.6; M30 .382 @ 4136.6; M30 .382 @ 4136.6; M30 .382 @ 4136.6; M30 .382 @ 4136.6; M30 .382 @ 4133.9; M30 .382 @ 4133.9; M30 .382 @ 4133.9; M30 .382 @ 4133.9; M30 .382 @ 4133.9; M30 .382 @ 4131.0; M30 .382 @ 4131.0; M30 .382 @ 4131.0; M30 .382 @ 4131.0; M30 .382 @ 4131.0; M30 .886 @ 4133.8; M30 .886 @ 4133.8; M30 .886 @ 4133.8; M30 .886 @ 4133.8; M30 .886 @ 4133.8; M30 .5 @ 4137.9; M30 .5 @ 4137.9; M30 .5 @ 4137.9; M30 .5 @ 4137.9; M30 .5 @ 4137.9; M30 .786 @ 4131.6; M30 .786 @ 4131.6; M30 .786 @ 4131.6; M30 .786 @ 4131.6; M30 .786 @ 4131.6; M30 .886 @ 4132.8; M30 .886 @ 4132.8; M30 .886 @ 4132.8; VWAP anchor 4131.1 (LONDON 1d UP); HTF BULL; M30 .786 @ 4133.5; M30 .886 @ 4125.6; M30 .886 @ 4124.6; 5 impulse legs (5M30)
2026-07-08,10:15:00,H4_long_3959_4580_886,H4,LONG,24.55,4044.35,4004.35,4084.35,4164.35,40.0,40.0,120.0,3.0,SL_HIT,4044.35,0.0,BREAKEVEN,2,MEDIUM,H4 long GP; H4 886 cluster; H4 886 cluster; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4031.5; H4 .886 @ 4025.4; H4 .886 @ 4025.4; H4 .886 @ 4025.4; H4 .886 @ 4025.4; H4 .886 @ 4025.4; nPOC 4029.5 (8d); VWAP anchor 4031.5 (NY 9d UP); HTF BULL; H4 .886 @ 4029.8; VWAP anchor 4023.9 (NY 8d UP); 3 impulse legs (3H4)
