1.14105
Strike	10 DTE	38 DTE
Strike	EUUQ6	EUUU6
	C	P	C	P
0.99	0	0	0	0
1	0	0	0	0
1.01	0	6	0	18
1.02	0	26	0	0
1.03	0	102	0	306
1.04	0	109	0	0
1.05	0	855	0	2565
1.06	0	24	0	0
1.07	0	89	0	267
1.075	0	0	0	0
1.08	0	608	0	1824
1.085	0	10	0	0
1.09	0	75	0	225
1.095	0	20	0	0
1.1	0	1350	0	4050
1.105	0	2441	0	0
1.11	0	493	0	1479
1.115	0	971	0	0
1.12	0	2101	0	6303
1.1225	0	167	0	0
1.125	0	3329	0	9987
1.1275	0	2265	0	0
1.13	6	7597	12	22791
1.1325	1	2133	0	0
1.135	82	3249	164	9747
1.1375	22	866	0	0
1.14	309	12037	618	36111
1.1425	396	350	0	0
1.145	1630	8173	3260	24519
1.1475	595	66	0	0
1.15	3529	1791	7058	5373
1.1525	1216	35	0	0
1.155	2777	1228	5554	3684
1.1575	122	0	0	0
1.16	6881	915	13762	2745
1.1625	75	0	0	0
1.165	2831	1664	5662	4992
1.1675	1306	0	0	0
1.17	1714	2718	3428	8154
1.175	1033	1004	0	0
1.18	1375	1269	2750	3807
1.185	554	317	0	0
1.19	812	682	1624	2046
1.195	337	158	0	0
1.2	620	1169	1240	3507
1.205	303	1	0	0
1.21	1248	7	2496	21
1.215	316	0	0	0
1.22	116	1	232	3
1.225	1484	0	0	0
1.23	1112	3	2224	9
1.235	1315	0	0	0
1.24	20	0	40	0
1.245	1808	0	0	0
1.25	221	0	442	0
1.255	453	0	0	0
1.26	1009	0	2018	0
1.27	169	0	0	0
1.28	14	0	28	0
1.29	72	0	0	0
1.3	127	0	254	0
1.31	9	0	0	0
1.32	8	0	16	0
1.33	41	0	0	0
1.34	15	0	30	0
1.35	1	0	0	0
1.36	5	0	10	0
