1.14105
Strike	10 DTE
Strike	EUUQ6
	C	P
0.99	0	0
1	0	0
1.01	0	6
1.02	0	26
1.03	0	102
1.04	0	109
1.05	0	855
1.06	0	24
1.07	0	89
1.075	0	0
1.08	0	608
1.085	0	10
1.09	0	75
1.095	0	20
1.1	0	1350
1.105	0	2441
1.11	0	493
1.115	0	971
1.12	0	2101
1.1225	0	167
1.125	0	3329
1.1275	0	2265
1.13	6	7597
1.1325	1	2133
1.135	82	3249
1.1375	22	866
1.14	309	12037
1.1425	396	350
1.145	1630	8173
1.1475	595	66
1.15	3529	1791
1.1525	1216	35
1.155	2777	1228
1.1575	122	0
1.16	6881	915
1.1625	75	0
1.165	2831	1664
1.1675	1306	0
1.17	1714	2718
1.175	1033	1004
1.18	1375	1269
1.185	554	317
1.19	812	682
1.195	337	158
1.2	620	1169
1.205	303	1
1.21	1248	7
1.215	316	0
1.22	116	1
1.225	1484	0
1.23	1112	3
1.235	1315	0
1.24	20	0
1.245	1808	0
1.25	221	0
1.255	453	0
1.26	1009	0
1.27	169	0
1.28	14	0
1.29	72	0
1.3	127	0
1.31	9	0
1.32	8	0
1.33	41	0
1.34	15	0
1.35	1	0
1.36	5	0
