date,mode,side,regime,entry,sl,tp1,tp2,outcome,total_r,exit_reason,hold_bars
2020-09-04,fade,sell,PIN,1.24,1.244399,1.18,,never_filled,,,
2020-09-08,break,sell,BREAKOUT,1.153827,1.164115,1.133252,,never_filled,,,
2020-09-08,break,buy,BREAKOUT,1.206173,1.195885,1.215,,never_filled,,,
2020-09-08,break,buy,BREAKOUT,1.221173,1.210885,1.24,,never_filled,,,
2020-09-08,break,buy,BREAKOUT,1.246173,1.235885,1.266748,,never_filled,,,
2020-09-09,break,sell,BREAKOUT,1.163909,1.174061,1.143604,,never_filled,,,
2020-09-09,break,buy,BREAKOUT,1.206091,1.195939,1.215,,never_filled,,,
2020-09-09,break,buy,BREAKOUT,1.221091,1.210939,1.24,,never_filled,,,
2020-09-09,break,buy,BREAKOUT,1.246091,1.235939,1.266396,,never_filled,,,
2020-09-10,fade,buy,PIN,1.18,1.176001,,1.19,traded,-1.017504376094024,barrier,389.0
2020-09-10,fade,sell,PIN,1.19,1.193999,1.18,1.18,traded,2.4831207801949975,barrier,1852.0
2020-09-10,fade,buy,PIN,1.17,1.166001,1.18,1.19,never_filled,,,
2020-09-10,fade,sell,PIN,1.2,1.203999,1.18,1.18,never_filled,,,
2020-09-11,fade,buy,PIN,1.18,1.176063,,1.19,traded,-1.0177800355600717,barrier,388.0
2020-09-11,fade,sell,PIN,1.19,1.193937,1.18,1.18,traded,2.5222250444500407,barrier,1852.0
2020-09-11,fade,buy,PIN,1.17,1.166063,1.18,1.19,never_filled,,,
2020-09-11,fade,sell,PIN,1.2,1.203937,1.18,1.18,never_filled,,,
2020-09-14,fade,sell,PIN,1.19,1.193727,1.18,1.18,traded,2.6643412932653376,barrier,1852.0
2020-09-14,fade,buy,PIN,1.18,1.176273,,1.19,traded,-1.0187818620874696,barrier,384.0
2020-09-14,fade,sell,PIN,1.2,1.203727,1.18,1.18,never_filled,,,
2020-09-14,fade,buy,PIN,1.17,1.166273,1.18,1.19,traded,-1.0187818620874696,barrier,1631.0
2020-09-15,fade,buy,PIN,1.18,1.176356,,1.19,traded,-1.0192096597145994,barrier,384.0
2020-09-15,fade,sell,PIN,1.19,1.193644,1.18,1.18,never_filled,,,
