surface,feature,target,train_ic,train_p,train_n,val_ic,val_p,val_n,test_ic,test_p,test_n,same_sign_train_test
all,dist_call_wall_pct,fwd_ret_1d,0.0012713737454818114,0.9695497466134564,904,0.03366699346124211,0.5600219236964538,302,0.207367365896201,0.0002921414398325365,301,True
all,dist_call_wall_pct,fwd_abs_ret_1d,0.07713566127722819,0.020370428952222203,904,-0.012954876099256349,0.8225958190764247,302,-0.049555367123001924,0.3916091995104566,301,False
all,dist_put_wall_pct,fwd_ret_1d,-0.026672525601075466,0.4231404062370494,904,-0.039617915023029325,0.492776067472261,302,-0.011792485002524743,0.8385505937507532,301,True
all,dist_put_wall_pct,fwd_abs_ret_1d,0.15797523670143207,1.8131441419145186e-06,904,-0.005744192498087954,0.920812523136329,302,-0.11877763691785136,0.039452428640109345,301,False
all,dist_gamma_flip_pct,fwd_ret_1d,-0.052557364995264554,0.22663056933388376,531,-0.05209684787574235,0.4649115772610422,199,0.058970846354724084,0.48729876276635037,141,False
all,dist_gamma_flip_pct,fwd_abs_ret_1d,-0.043500023123047855,0.3170678944042619,531,-0.07277295568752855,0.30702859534792715,199,-0.013527976368851403,0.8735009190087526,141,True
all,pc_oi_ratio_z,fwd_ret_1d,-0.02980531533569616,0.37582211717046865,885,-0.019126897838625475,0.7406128217329332,302,-0.027098193659105412,0.6395944081807737,301,True
all,pc_oi_ratio_z,fwd_abs_ret_1d,0.0508186263755455,0.13088014608151946,885,-0.24842660499796215,1.2541375960952307e-05,302,-0.10665375899320148,0.06460976667186157,301,False
all,net_gex_z,fwd_ret_1d,0.0008162784097905289,0.980653906834572,885,-0.06823647095958635,0.23709289330585476,302,-0.020462036038811027,0.7236664149945774,301,False
all,net_gex_z,fwd_abs_ret_1d,0.0534165974647943,0.11229187105472198,885,0.08646347682445965,0.13383402664289637,302,-0.056634617500165026,0.3274456923232992,301,False
all,call_oi_chg_z,fwd_ret_1d,-0.015185551834925514,0.6518873944693496,885,0.07754428607807648,0.17894444521476963,302,0.03167939099249742,0.5840575991286358,301,False
all,call_oi_chg_z,fwd_abs_ret_1d,0.010403111312144117,0.7572815216051513,885,0.05997079653401085,0.2989002402707995,302,0.0638758223141405,0.2692802373753198,301,True
all,put_oi_chg_z,fwd_ret_1d,-0.047203105356750825,0.16060484009567713,885,0.029778778190243396,0.6062258395800542,302,-0.11071747596312514,0.055011274362178286,301,True
all,put_oi_chg_z,fwd_abs_ret_1d,-0.042051413135632786,0.21138353167940882,885,-0.005446187178837573,0.9249083017149385,302,0.0545149721678291,0.3459033200138276,301,False
all,call_wall_oi_pctile,fwd_ret_1d,0.021632593694900625,0.5159542090496172,904,0.11500377406178373,0.04583662119275212,302,-0.0019205329704537113,0.9735299346117031,301,False
all,call_wall_oi_pctile,fwd_abs_ret_1d,0.06621867906321077,0.04654686406760651,904,0.053534602100667766,0.3538542907748584,302,0.06554256046503028,0.2569586273183383,301,True
all,put_wall_oi_pctile,fwd_ret_1d,-0.009373008103648555,0.7783800937693937,904,0.004006501197367638,0.9447212872910578,302,-0.049675594911488256,0.3904598287499682,301,True
all,put_wall_oi_pctile,fwd_abs_ret_1d,0.07637478725830549,0.02164689006097414,904,0.009626538408703422,0.8676836069139847,302,-0.03230739816105472,0.5766217845456447,301,False
all,yday_ret,fwd_ret_1d,-0.04229480694675437,0.20391734955118448,904,-0.05000597967433539,0.38651791280811126,302,0.03208950298123254,0.5791967006812573,301,False
all,yday_ret,fwd_abs_ret_1d,0.10823143665797681,0.0011171648118443965,904,-0.03742840456407085,0.5170068994007163,302,-0.02968823568238323,0.6079221901627447,301,False
