date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m,kind,k,pair
2020-09-10,call,0.73,2020-09-10 12:36:00,0.72934,0.000411330792223108,reject,0.001645323168892432,break,-0.0019469657498559778,reject,,,wall,0.0,AUD_USD
2020-09-10,call,0.73,2020-09-10 12:53:00,0.72973,-1.3703698628186878e-05,reject,0.003590369040604058,break,-0.0030833321913583678,reject,,,wall,0.0,AUD_USD
2020-09-10,call,0.73,2020-09-10 13:09:00,0.72981,0.0015757525931408,break,0.002178649237472907,break,-0.0018497965223824853,reject,,,wall,0.0,AUD_USD
2020-09-10,call,0.73,2020-09-10 14:51:00,0.72988,-0.0007946511755357877,reject,-0.0014522935277031523,reject,-0.004548692935825049,reject,,,wall,0.0,AUD_USD
2020-09-11,call,0.73,2020-09-11 08:42:00,0.72977,-0.0007125532702084714,reject,-0.0002055442125601381,reject,-0.0016580566479850178,reject,,,wall,0.0,AUD_USD
2020-09-11,call,0.73,2020-09-11 09:06:00,0.72976,-0.0006577504933127365,reject,-0.0002055470291602024,reject,-0.0008495943871956735,reject,,,wall,0.0,AUD_USD
2020-09-11,call,0.73,2020-09-11 09:46:00,0.72985,-0.0005069534835925316,reject,0.0003836404740700239,break,-0.0005343563745975333,reject,,,wall,0.0,AUD_USD
2020-09-11,call,0.73,2020-09-11 10:22:00,0.72982,0.0006302924008660948,break,0.0005480803485791164,break,-0.0004658682962922489,reject,,,wall,0.0,AUD_USD
2020-09-14,call,0.73,2020-09-14 14:19:00,0.72978,-0.00035627175313113213,reject,0.00010962207788645095,reject,-0.0009591931815068344,reject,,,wall,0.0,AUD_USD
2020-09-14,call,0.73,2020-09-14 15:06:00,0.72984,0.00010961306587731201,reject,0.00010961306587731201,reject,-0.0008220979940809503,reject,,,wall,0.0,AUD_USD
2020-09-15,call,0.73,2020-09-15 01:42:00,0.7299,0.0007261268666940435,break,0.0012741471434443152,break,0.004493766269352051,break,,,wall,0.0,AUD_USD
2020-09-15,call,0.73,2020-09-15 15:41:00,0.72979,0.0,reject,0.0005892105948286375,break,0.0005069951629921299,break,,,wall,0.0,AUD_USD
2020-09-15,call,0.73,2020-09-15 15:52:00,0.72974,0.00010962808671588498,reject,0.0008222106503685822,break,0.0004933263902211493,break,,,wall,0.0,AUD_USD
2020-09-15,call,0.73,2020-09-15 16:01:00,0.72988,-0.00015070970570496556,reject,0.0005617361758096795,break,0.00024661588206287277,break,,,wall,0.0,AUD_USD
2020-09-16,call,0.73,2020-09-16 00:02:00,0.72985,-0.000931698294170058,reject,-0.000835788175652552,reject,0.002891005001027791,break,,,wall,0.0,AUD_USD
2020-09-16,call,0.73,2020-09-16 00:32:00,0.72994,-0.00034249390360863163,reject,0.0007397868317944312,break,0.0024385565936926312,break,,,wall,0.0,AUD_USD
2020-09-16,call,0.73,2020-09-16 01:21:00,0.7297,0.0010826367000136283,break,0.002192681924078288,break,0.001863779635466578,break,,,wall,0.0,AUD_USD
2020-09-16,call,0.73,2020-09-16 17:38:00,0.72969,0.001329331633981523,break,0.0042072660993024424,break,0.0013567405336514238,break,,,wall,0.0,AUD_USD
2020-09-16,call,0.73,2020-09-16 18:58:00,0.72988,-0.0009042582342302374,reject,-0.0014248917630294011,reject,,,,,wall,0.0,AUD_USD
2020-09-16,call,0.73,2020-09-16 20:13:00,0.72974,5.4814043357831466e-05,reject,0.0009318387370842451,break,,,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 01:30:00,0.7301,-0.0013696753869333333,reject,-0.003136556636077259,reject,-0.004081632653061162,reject,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 08:23:00,0.7297,-0.00035631081266274123,reject,-0.0002603809784843536,reject,0.0009181855557076624,break,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 08:55:00,0.72975,-0.00027406646111682864,reject,-4.110996916750764e-05,reject,-0.0008770126755738294,reject,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 09:13:00,0.72986,-0.0008494779820786835,reject,-0.0005891540843449006,reject,-0.0021922012440741545,reject,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 09:56:00,0.72982,-0.00035625222657642563,reject,-0.0008495245402977414,reject,-0.00021923213943175757,reject,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 11:15:00,0.72991,1.3700319217546664e-05,reject,0.0006165143647847149,break,4.1100957652417947e-05,reject,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 14:11:00,0.72978,-0.0011236262983363998,reject,-0.0003288662336594639,reject,0.0008358683438844938,break,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 14:51:00,0.72954,0.0001919017463059003,reject,-0.0011925322806151106,reject,0.0015077994352605817,break,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 15:15:00,0.72994,-8.219853686608491e-05,reject,-0.0014658739074444593,reject,0.0008082856125160021,break,,,wall,0.0,AUD_USD
2020-09-17,call,0.73,2020-09-17 17:55:00,0.72986,0.000726166662099681,break,0.0011783081686900232,break,0.002589537719562829,break,,,wall,0.0,AUD_USD
2020-09-18,call,0.73,2020-09-18 12:02:00,0.72951,-0.0013570752971172606,reject,-0.00028786445696427077,reject,0.0019602198736139442,break,,,wall,0.0,AUD_USD
2020-09-18,call,0.73,2020-09-18 14:08:00,0.72979,0.0011510160457117724,break,0.0016854163526494048,break,0.0009591800380930326,break,,,wall,0.0,AUD_USD
2020-09-21,call,0.73,2020-09-21 00:15:00,0.72976,0.0009866257399693268,break,0.0010140320105240797,break,0.003179127384345559,break,,,wall,0.0,AUD_USD
2020-11-30,call,0.735,2020-11-30 22:25:00,0.73478,0.00027219031546854566,reject,0.0007213043359917126,break,,,,,wall,0.0,AUD_USD
2020-12-01,call,0.735,2020-12-01 11:12:00,0.73472,0.0005716463414633388,break,0.0005172038327525552,break,0.0010752395470383647,break,,,wall,0.0,AUD_USD
2020-12-01,call,0.735,2020-12-01 14:36:00,0.73486,0.001211115042321076,break,0.0005715374357022629,break,0.002381405982091911,break,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 07:16:00,0.77974,-0.0003719188447431909,reject,-0.0003847436324928566,reject,0.0018724190114653982,break,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 07:41:00,0.7798,-7.694280584769064e-05,reject,-0.0004616568350859218,reject,0.0017183893305974252,break,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 09:13:00,0.77991,0.00021797386877975278,break,0.0015642830583015854,break,-0.0003974817607159675,reject,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 13:19:00,0.77978,-0.0006540306240221394,reject,-0.003308625509759189,reject,-0.0007437995332016945,reject,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 17:54:00,0.77969,0.0001539073221408227,reject,0.0005130244071360757,break,0.0012825610178404112,break,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 18:40:00,0.77998,0.00017949178184051284,break,-0.0013205466806840427,reject,0.0009743839585629743,break,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 19:21:00,0.77966,-0.0008336967396045392,reject,-0.00015391324423463804,reject,0.002360003078264894,break,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 20:12:00,0.77986,0.00016669658656676134,reject,0.00048726694534928505,break,,,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 20:26:00,0.7798,-0.0001667094126700519,reject,0.00035906642728900096,break,,,,,wall,0.0,AUD_USD
2021-01-06,call,0.78,2021-01-06 20:42:00,0.77968,0.00024368971885890822,reject,0.0015390929612149051,break,,,,,wall,0.0,AUD_USD
2021-01-08,call,0.78,2021-01-08 14:26:00,0.77974,-0.001308128350475779,reject,-0.00604047503013827,reject,-0.006643240054376998,reject,,,wall,0.0,AUD_USD
2021-01-08,call,0.78,2021-01-08 14:31:00,0.77959,-0.002629587347195317,reject,-0.005451583524673231,reject,-0.0067086545491860106,reject,,,wall,0.0,AUD_USD
2021-02-10,call,0.775,2021-02-10 07:31:00,0.77486,-0.00018067779986064014,reject,-0.00126474459902437,reject,-0.0016131946416126919,reject,,,wall,0.0,AUD_USD
2021-02-10,call,0.775,2021-02-10 08:52:00,0.7747,-0.0008519426874921132,reject,-0.0026332773977023605,reject,-0.0025558280624758956,reject,,,wall,0.0,AUD_USD
2021-02-10,call,0.775,2021-02-10 13:31:00,0.77498,-0.00012903558801513615,reject,0.000335492528839465,break,-0.0026065188779065274,reject,,,wall,0.0,AUD_USD
2021-02-10,call,0.775,2021-02-10 14:05:00,0.7749,0.00015485869144415965,break,0.00023228803716612845,break,-0.002013162988772743,reject,,,wall,0.0,AUD_USD
2021-02-10,call,0.775,2021-02-10 15:02:00,0.77482,0.00010324978704745469,reject,-0.0021166206344699345,reject,-0.0024392762189927586,reject,,,wall,0.0,AUD_USD
2021-02-11,call,0.775,2021-02-11 06:41:00,0.77496,-3.8711675441227555e-05,reject,-0.00012903891813764723,reject,-0.001109734695984299,reject,,,wall,0.0,AUD_USD
2021-02-11,call,0.775,2021-02-11 12:04:00,0.7749,3.871467286087338e-05,reject,0.00126467931345986,break,0.0010065814943864826,break,,,wall,0.0,AUD_USD
2021-02-11,call,0.775,2021-02-11 12:15:00,0.7748,0.0004646360351057144,break,0.0023489932885905063,break,0.0010841507485801483,break,,,wall,0.0,AUD_USD
