date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m,kind,k,pair
2020-10-12,call,12200.0,2020-10-12 18:23:00,12198.0,-0.0008198065256599385,reject,-0.0073782587309394465,reject,-0.006607640596819175,reject,,,wall,0.0,NAS100_USD
2020-10-12,call,12200.0,2020-10-12 18:46:00,12194.2,-0.0019025438323138077,reject,-0.007675780288989853,reject,,,,,wall,0.0,NAS100_USD
2020-10-12,call,12200.0,2020-10-12 18:50:00,12193.4,-0.0035757048895304067,reject,-0.009546147916085768,reject,,,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 09:07:00,12194.8,-4.920129891416991e-05,reject,0.0010660281431429386,break,-0.0035424935218288933,reject,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 09:11:00,12196.4,0.00031156734774206996,break,0.002787707848217469,break,-0.004903086156570757,reject,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 09:14:00,12201.0,0.00036062617818211073,break,0.00211458077206772,break,-0.0038029669699204405,reject,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 09:24:00,12196.2,0.0008199275184073151,break,0.004230825994981924,break,-0.002115412997491073,reject,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 10:51:00,12199.2,0.0005983998950749303,break,0.0011476162371302223,break,-0.00698406452882161,reject,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 11:03:00,12188.2,0.003806960830967654,break,0.0018214338458508728,break,-0.005070478003314727,reject,,,wall,0.0,NAS100_USD
2020-10-13,call,12200.0,2020-10-13 11:06:00,12206.5,0.001761356654241597,break,0.00015565477409573703,break,-0.006578462294678955,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 00:58:00,12308.2,0.0027217627272875244,break,0.0016005589769421125,break,0.007929672900992779,break,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 09:31:00,12300.8,6.503642039557e-05,break,0.00013820239334028095,break,-0.01058467741935476,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 09:37:00,12298.5,0.00021140789527174242,break,0.0005122575923892647,break,-0.006634955482375915,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 09:42:00,12297.6,-0.0005610850897735942,reject,0.00043911007025765336,break,-0.0015450169138693237,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 09:49:00,12299.4,-0.0003008276826510503,reject,0.0012358326422428068,break,-0.004431110460672905,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 10:06:00,12297.8,0.00030899835742981274,break,0.0010408365723950652,break,-0.01066044333132743,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 10:29:00,12300.2,0.0018536283962862221,break,-6.503959285220073e-05,reject,-0.008097429310092497,reject,,,wall,0.0,NAS100_USD
2020-11-09,call,12300.0,2020-11-09 11:56:00,12327.4,-0.01117835066599604,reject,-0.01954994564952872,reject,-0.014358258838035542,reject,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 03:00:00,13747.8,0.0004946245944805749,break,5.819112876248589e-05,reject,1.4547782190676983e-05,reject,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 04:19:00,13747.8,-0.00013093003971542672,reject,0.0001454778219061037,reject,0.0010037969711518269,break,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 13:31:00,13750.0,0.0005236363636365038,break,0.0007854545454544226,break,-0.008960000000000079,reject,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 14:33:00,13751.2,-0.0008290185583804677,reject,-0.011155390075048066,reject,-0.007315725173075882,reject,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 14:39:00,13746.4,-0.0006983646627480855,reject,-0.009937147180352657,reject,-0.007158237793167599,reject,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 14:49:00,13746.2,0.0007711222010444718,break,-0.013560111157992827,reject,-0.008642388441896798,reject,,,wall,0.0,NAS100_USD
2021-02-10,call,13750.0,2021-02-10 14:59:00,13746.0,-0.002327949949076147,reject,-0.009326349483486207,reject,-0.008176924196129809,reject,,,wall,0.0,NAS100_USD
2021-02-11,call,13750.0,2021-02-11 15:50:00,13750.8,-0.0018471652558396112,reject,-0.0003199813829013465,reject,-0.00413066876109025,reject,,,wall,0.0,NAS100_USD
2021-02-11,call,13750.0,2021-02-11 16:38:00,13747.8,-0.0011347270108671426,reject,-0.004611646954421733,reject,-0.0029822953490740156,reject,,,wall,0.0,NAS100_USD
2021-02-11,call,13750.0,2021-02-11 16:42:00,13747.6,-0.0017894032412930638,reject,-0.0054991416683639605,reject,-0.0033023945997846527,reject,,,wall,0.0,NAS100_USD
2021-02-11,call,13750.0,2021-02-11 16:50:00,13746.4,-0.0004364779142175257,reject,-0.004946749694465513,reject,-0.002604318221497981,reject,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 00:10:00,13750.2,-0.0006690811770011518,reject,-0.0007418073918925572,reject,-0.001992698288024952,reject,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 16:12:00,13748.2,-7.27367946349311e-05,reject,0.0004946102035174871,break,5.818943570790047e-05,reject,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 16:15:00,13746.4,0.0008147587732061368,break,0.0006256183437118867,break,0.0004073793866030684,break,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 16:24:00,13748.6,0.0,reject,0.0002472979066958647,break,0.00039276726357595493,break,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 16:49:00,13746.2,0.0008438695785015771,break,0.0003637368872853042,break,0.003302730936549647,break,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 17:32:00,13747.2,0.0003346135940409667,break,-0.00020367783985109078,reject,0.005732076350092985,break,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 17:45:00,13747.2,0.0004510009310985108,break,-0.00030551675977663617,reject,,,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 17:56:00,13750.6,-0.0004072549561473515,reject,-0.0017744680232134602,reject,,,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 18:15:00,13748.0,-0.0005528076811173177,reject,-0.0013529240616817484,reject,,,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 18:33:00,13748.0,-0.0005237125400058273,reject,-0.0008146639511201759,reject,,,,,wall,0.0,NAS100_USD
2021-02-12,call,13750.0,2021-02-12 19:48:00,13749.6,-0.00013091289928446326,reject,0.002909175539651976,break,,,,,wall,0.0,NAS100_USD
2021-02-16,call,13750.0,2021-02-16 17:12:00,13752.2,0.002399616061430132,break,0.0036939544218379528,break,0.00049446633993111,break,,,wall,0.0,NAS100_USD
2021-02-16,call,13750.0,2021-02-16 23:13:00,13748.6,0.00032730605298003645,break,,,,,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 13:36:00,13294.6,0.001293758368059228,break,0.002391948610714012,break,-6.017480781683737e-05,reject,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 14:06:00,13303.0,0.0015334886867623965,break,0.0004209576787190805,break,-7.51710140569628e-05,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 15:19:00,13296.4,0.0002857916428506968,break,0.001173249902229223,break,0.000706958274420133,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 15:40:00,13293.2,0.0004664038756656552,reject,0.001008034182890416,break,0.001534619203803489,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 15:48:00,13302.8,0.0003006885768410683,break,0.0007066181555763773,break,0.0017439937456775745,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 16:00:00,13297.8,7.520040909025916e-05,reject,0.001473928018168369,break,0.002977936199972886,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 17:21:00,13297.4,-0.0002707296163160233,reject,0.0009926752598252708,break,0.003842856498262881,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 17:38:00,13298.0,0.0003007971123476505,break,0.0015491051285907442,break,0.003910362460520345,break,,,wall,0.0,NAS100_USD
2021-04-01,call,13300.0,2021-04-01 17:50:00,13299.2,0.00040603946102013566,break,0.001503849855630346,break,0.004045356111645804,break,,,wall,0.0,NAS100_USD
2021-06-17,call,14000.0,2021-06-17 13:35:00,13998.0,0.0017716816688098103,break,0.00930132876125156,break,0.012773253321903155,break,,,wall,0.0,NAS100_USD
2021-08-23,call,15200.0,2021-08-23 13:40:00,15196.0,0.0008160042116345245,break,0.004738088970781762,break,0.007501974203737882,break,,,wall,0.0,NAS100_USD
2021-08-23,call,15200.0,2021-08-23 13:46:00,15202.0,0.0010130246020261247,break,0.004828312064202089,break,0.007604262597026734,break,,,wall,0.0,NAS100_USD
2021-09-01,call,15700.0,2021-09-01 13:48:00,15698.2,-0.0017709036704846026,reject,-0.0009682638773872432,reject,-0.0008918219923302884,reject,,,wall,0.0,NAS100_USD
2021-09-01,call,15700.0,2021-09-01 13:53:00,15695.6,-0.0010958485180561084,reject,-0.0010448788195417391,reject,-0.0008792272993706218,reject,,,wall,0.0,NAS100_USD
