EXPERIMENT B  TRANSITION LATENCY  (Q20 reframed)
  Enter after price retraces X ATR from the RUNNING extreme - causal, implementable.
  Question: is there an X where expected move beats cost BEFORE the edge decays?

XAUUSD  1m   (spread 0.565 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        25,995   +0.0417   -0.5235    6.847    6.982   0.517
  0.10        25,995   +0.0413   -0.5238    6.847    6.983   0.517
  0.20        25,995   +0.0404   -0.5248    6.847    6.982   0.517
  0.30        25,995   +0.0408   -0.5244    6.849    6.981   0.517
  0.40        25,995   +0.0408   -0.5243    6.851    6.981   0.517
  0.50        25,995   +0.0380   -0.5272    6.851    6.983   0.516
  0.75        25,995   +0.0326   -0.5325    6.857    6.988   0.516
  1.00        25,995   +0.0222   -0.5430    6.859    7.000   0.514

XAUUSD  15m   (spread 0.125 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,733   -0.2672   -0.3918    6.596    6.991   0.504
  0.10         1,733   -0.2672   -0.3918    6.596    6.991   0.504
  0.20         1,733   -0.2673   -0.3919    6.596    6.991   0.504
  0.30         1,733   -0.2666   -0.3912    6.597    6.990   0.504
  0.40         1,733   -0.2661   -0.3907    6.597    6.991   0.505
  0.50         1,733   -0.2698   -0.3944    6.600    6.988   0.504
  0.75         1,733   -0.2886   -0.4132    6.600    7.000   0.503
  1.00         1,733   -0.3177   -0.4423    6.592    7.024   0.499

EURUSD  1m   (spread 0.428 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        27,556   +0.2297   -0.1979    7.273    7.077   0.514
  0.10        27,556   +0.2299   -0.1978    7.273    7.078   0.514
  0.20        27,556   +0.2297   -0.1980    7.273    7.078   0.514
  0.30        27,556   +0.2288   -0.1988    7.272    7.080   0.514
  0.40        27,556   +0.2259   -0.2018    7.270    7.083   0.514
  0.50        27,556   +0.2218   -0.2059    7.270    7.085   0.513
  0.75        27,556   +0.2139   -0.2137    7.270    7.093   0.513
  1.00        27,556   +0.2150   -0.2127    7.270    7.101   0.513

EURUSD  15m   (spread 0.093 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,842   +0.1329   +0.0401    6.735    6.679   0.507 <-- POSITIVE
  0.10         1,842   +0.1328   +0.0399    6.735    6.679   0.507 <-- POSITIVE
  0.20         1,842   +0.1349   +0.0420    6.735    6.678   0.507 <-- POSITIVE
  0.30         1,842   +0.1301   +0.0372    6.734    6.680   0.507 <-- POSITIVE
  0.40         1,842   +0.1304   +0.0375    6.734    6.683   0.507 <-- POSITIVE
  0.50         1,842   +0.1298   +0.0369    6.735    6.684   0.508 <-- POSITIVE
  0.75         1,842   +0.1066   +0.0137    6.743    6.692   0.505 <-- POSITIVE
  1.00         1,842   +0.1021   +0.0092    6.749    6.724   0.508 <-- POSITIVE

NQ  1m   (spread 0.296 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        26,139   +0.0096   -0.2859    7.406    7.552   0.504
  0.10        26,139   +0.0103   -0.2852    7.407    7.552   0.504
  0.20        26,139   +0.0116   -0.2839    7.407    7.551   0.504
  0.30        26,139   +0.0120   -0.2835    7.407    7.552   0.504
  0.40        26,139   +0.0119   -0.2836    7.409    7.553   0.503
  0.50        26,139   +0.0095   -0.2860    7.408    7.556   0.504
  0.75        26,139   +0.0141   -0.2814    7.415    7.554   0.504
  1.00        26,139   +0.0193   -0.2762    7.424    7.560   0.503

NQ  15m   (spread 0.056 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,721   -0.5061   -0.5622    7.156    7.742   0.476
  0.10         1,721   -0.5061   -0.5622    7.156    7.742   0.476
  0.20         1,721   -0.5031   -0.5593    7.158    7.740   0.476
  0.30         1,721   -0.5044   -0.5606    7.160    7.742   0.477
  0.40         1,721   -0.5083   -0.5644    7.161    7.745   0.476
  0.50         1,721   -0.5052   -0.5613    7.167    7.745   0.478
  0.75         1,721   -0.4994   -0.5556    7.188    7.752   0.476
  1.00         1,721   -0.5260   -0.5821    7.227    7.766   0.471

GBPUSD  1m   (spread 0.467 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        27,272   +0.1787   -0.2879    7.437    7.212   0.509
  0.10        27,272   +0.1761   -0.2905    7.435    7.214   0.509
  0.20        27,272   +0.1729   -0.2937    7.434    7.217   0.509
  0.30        27,272   +0.1688   -0.2978    7.434    7.220   0.509
  0.40        27,272   +0.1679   -0.2987    7.433    7.224   0.509
  0.50        27,272   +0.1681   -0.2985    7.434    7.226   0.508
  0.75        27,272   +0.1598   -0.3068    7.431    7.240   0.508
  1.00        27,272   +0.1583   -0.3083    7.435    7.247   0.509

GBPUSD  15m   (spread 0.102 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,826   -0.0605   -0.1628    6.718    6.904   0.508
  0.10         1,826   -0.0608   -0.1631    6.718    6.904   0.508
  0.20         1,826   -0.0595   -0.1618    6.719    6.904   0.508
  0.30         1,826   -0.0563   -0.1586    6.718    6.905   0.508
  0.40         1,826   -0.0531   -0.1554    6.719    6.904   0.508
  0.50         1,826   -0.0502   -0.1525    6.720    6.904   0.507
  0.75         1,826   -0.0598   -0.1621    6.718    6.923   0.506
  1.00         1,826   -0.0554   -0.1577    6.718    6.943   0.508
