EXPERIMENT B  TRANSITION LATENCY  (Q20 reframed)
  Enter after price retraces X ATR from the RUNNING extreme - causal, implementable.
  Question: is there an X where expected move beats cost BEFORE the edge decays?

XAUUSD  1m   (spread 0.565 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        25,995   +0.0417   -0.5235    6.847    6.982   0.517
  0.10        25,995   +0.0012   -0.5639    6.822    7.003   0.513
  0.20        25,995   -0.0060   -0.5711    6.822    7.007   0.512
  0.30        25,995   -0.0081   -0.5732    6.818    7.010   0.512
  0.40        25,995   -0.0201   -0.5853    6.813    7.020   0.511
  0.50        25,995   -0.0326   -0.5978    6.805    7.030   0.510
  0.75        25,995   -0.0593   -0.6244    6.800    7.052   0.508
  1.00        25,995   -0.0666   -0.6317    6.800    7.058   0.508

XAUUSD  15m   (spread 0.125 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,733   -0.2672   -0.3918    6.596    6.991   0.504
  0.10         1,733   -0.3092   -0.4338    6.549    6.957   0.500
  0.20         1,733   -0.3355   -0.4601    6.538    6.969   0.501
  0.30         1,733   -0.3342   -0.4588    6.529    6.973   0.500
  0.40         1,733   -0.3211   -0.4457    6.545    6.960   0.500
  0.50         1,733   -0.3399   -0.4645    6.547    6.981   0.496
  0.75         1,733   -0.3090   -0.4336    6.570    6.960   0.491
  1.00         1,733   -0.3325   -0.4571    6.550    7.023   0.488

EURUSD  1m   (spread 0.428 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        27,556   +0.2297   -0.1979    7.273    7.077   0.514
  0.10        27,556   +0.1915   -0.2362    7.245    7.103   0.510
  0.20        27,556   +0.1807   -0.2469    7.236    7.113   0.509
  0.30        27,556   +0.1770   -0.2506    7.237    7.120   0.509
  0.40        27,556   +0.1696   -0.2581    7.236    7.126   0.509
  0.50        27,556   +0.1614   -0.2663    7.229    7.136   0.508
  0.75        27,556   +0.1603   -0.2673    7.221    7.159   0.507
  1.00        27,556   +0.1510   -0.2767    7.230    7.174   0.507

EURUSD  15m   (spread 0.093 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,842   +0.1329   +0.0401    6.735    6.679   0.507 <-- POSITIVE
  0.10         1,842   +0.0551   -0.0378    6.679    6.729   0.507
  0.20         1,842   +0.0455   -0.0474    6.665    6.745   0.506
  0.30         1,842   +0.0353   -0.0576    6.665    6.750   0.505
  0.40         1,842   +0.0269   -0.0660    6.669    6.761   0.501
  0.50         1,842   +0.0183   -0.0746    6.674    6.760   0.502
  0.75         1,842   +0.0106   -0.0823    6.676    6.779   0.508
  1.00         1,842   +0.0036   -0.0893    6.704    6.809   0.505

NQ  1m   (spread 0.296 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        26,139   +0.0096   -0.2859    7.406    7.552   0.504
  0.10        26,139   +0.0109   -0.2846    7.402    7.558   0.502
  0.20        26,139   +0.0074   -0.2881    7.402    7.561   0.502
  0.30        26,139   +0.0152   -0.2803    7.407    7.564   0.502
  0.40        26,139   +0.0123   -0.2832    7.409    7.573   0.502
  0.50        26,139   +0.0105   -0.2850    7.412    7.576   0.502
  0.75        26,139   +0.0093   -0.2862    7.428    7.582   0.503
  1.00        26,139   +0.0144   -0.2811    7.450    7.600   0.502

NQ  15m   (spread 0.056 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,721   -0.5061   -0.5622    7.156    7.742   0.476
  0.10         1,721   -0.4624   -0.5186    7.157    7.720   0.476
  0.20         1,721   -0.4346   -0.4907    7.178    7.708   0.477
  0.30         1,721   -0.4002   -0.4563    7.198    7.699   0.478
  0.40         1,721   -0.4047   -0.4608    7.213    7.692   0.475
  0.50         1,721   -0.4328   -0.4889    7.207    7.719   0.482
  0.75         1,721   -0.4017   -0.4578    7.265    7.687   0.476
  1.00         1,721   -0.3961   -0.4523    7.339    7.659   0.479

GBPUSD  1m   (spread 0.467 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00        27,272   +0.1787   -0.2879    7.437    7.212   0.509
  0.10        27,272   +0.1410   -0.3256    7.412    7.230   0.507
  0.20        27,272   +0.1320   -0.3346    7.403    7.242   0.506
  0.30        27,272   +0.1227   -0.3439    7.400    7.249   0.505
  0.40        27,272   +0.1171   -0.3495    7.395    7.262   0.505
  0.50        27,272   +0.1130   -0.3536    7.390    7.272   0.504
  0.75        27,272   +0.0945   -0.3721    7.389    7.290   0.502
  1.00        27,272   +0.0751   -0.3915    7.385    7.315   0.500

GBPUSD  15m   (spread 0.102 ATR)
  wait ATR         n     gross       NET      MFE      MAE     hit
  0.00         1,826   -0.0605   -0.1628    6.718    6.904   0.508
  0.10         1,826   -0.0693   -0.1716    6.698    6.913   0.509
  0.20         1,826   -0.0564   -0.1587    6.707    6.909   0.512
  0.30         1,826   -0.0477   -0.1501    6.717    6.908   0.512
  0.40         1,826   -0.0316   -0.1340    6.724    6.891   0.510
  0.50         1,826   -0.0694   -0.1717    6.722    6.908   0.505
  0.75         1,826   -0.0637   -0.1660    6.718    6.939   0.508
  1.00         1,826   -0.0939   -0.1962    6.718    6.953   0.506
